,ECA2_0023_01.a_p1,ECA2_0023_02.a_p1,ECA2_0023_03.a_p1,ECA2_0023_05.a_p1,ECA2_0023_08.a_p1,ECA2_0023_09.a_p1,ECA2_0023_10.a_p15
ECA2_0023_01.a_p1,0,0.712418300653595,0.769547325102881,0.74468085106383,0.683189655172414,0.742230347349177,0.90295358649789
ECA2_0023_02.a_p1,0.712418300653595,0,0.784745762711864,0.771230502599653,0.62781954887218,0.596521739130435,0.916949152542373
ECA2_0023_03.a_p1,0.769547325102881,0.784745762711864,0,0.732743362831858,0.789819376026273,0.809941520467836,0.912457912457913
ECA2_0023_05.a_p1,0.74468085106383,0.771230502599653,0.732743362831858,0,0.774789915966387,0.811209439528023,0.868794326241135
ECA2_0023_08.a_p1,0.683189655172414,0.62781954887218,0.789819376026273,0.774789915966387,0,0.593537414965986,0.896147403685092
ECA2_0023_09.a_p1,0.742230347349177,0.596521739130435,0.809941520467836,0.811209439528023,0.593537414965986,0,0.936416184971098
ECA2_0023_10.a_p15,0.90295358649789,0.916949152542373,0.912457912457913,0.868794326241135,0.896147403685092,0.936416184971098,0
