,ECA2_0038_01.a_p1,ECA2_0038_02.b_p1,ECA2_0038_03.a_p1,ECA2_0038_04.a_p1,ECA2_0038_05.a_p1,ECA2_0038_06.a_p1,ECA2_0038_07.a_p1,ECA2_0038_08.a_p1,ECA2_0038_09.a_p1,ECA2_0038_10.a_p1
ECA2_0038_01.a_p1,0,0.22473887788181,0.42007351601102,0.241586947313808,0.354767092510701,0.354316601459168,0.261431471105069,0.24482362062007,0.33107568451973,0.349392923170844
ECA2_0038_02.b_p1,0.22473887788181,0,0.433674674894606,0.255120008248776,0.355252759751258,0.355040309250797,0.292287083210875,0.270168343549019,0.36993091674987,0.405140905832378
ECA2_0038_03.a_p1,0.42007351601102,0.433674674894606,0,0.471932652385003,0.492976544573986,0.542002434769749,0.510057335454792,0.459316540460068,0.479679010765498,0.438261374093629
ECA2_0038_04.a_p1,0.241586947313808,0.255120008248776,0.471932652385003,0,0.338267768748013,0.34316157843171,0.225482675535527,0.252858700724096,0.409818347196772,0.40321843747251
ECA2_0038_05.a_p1,0.354767092510701,0.355252759751258,0.492976544573986,0.338267768748013,0,0.346498614258385,0.372069269178796,0.386517105961228,0.492741620290363,0.463604273317452
ECA2_0038_06.a_p1,0.354316601459168,0.355040309250797,0.542002434769749,0.34316157843171,0.346498614258385,0,0.380282171188509,0.363989775358859,0.421467706506339,0.410972127776683
ECA2_0038_07.a_p1,0.261431471105069,0.292287083210875,0.510057335454792,0.225482675535527,0.372069269178796,0.380282171188509,0,0.294644260329247,0.411153582472918,0.432274426508118
ECA2_0038_08.a_p1,0.24482362062007,0.270168343549019,0.459316540460068,0.252858700724096,0.386517105961228,0.363989775358859,0.294644260329247,0,0.409241808139132,0.417951803415038
ECA2_0038_09.a_p1,0.33107568451973,0.36993091674987,0.479679010765498,0.409818347196772,0.492741620290363,0.421467706506339,0.411153582472918,0.409241808139132,0,0.33455522041633
ECA2_0038_10.a_p1,0.349392923170844,0.405140905832378,0.438261374093629,0.40321843747251,0.463604273317452,0.410972127776683,0.432274426508118,0.417951803415038,0.33455522041633,0
