,ECA2_0061_01.a_p1,ECA2_0061_02.a_p1,ECA2_0061_03.a_p1,ECA2_0061_04.a_p1,ECA2_0061_05.a_p1,ECA2_0061_06.a_p1,ECA2_0061_07.a_p1,ECA2_0061_08.a_p1,ECA2_0061_09.a_p1,ECA2_0061_10.a_p1
ECA2_0061_01.a_p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0061_02.a_p1,8.16388612888113,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0061_03.a_p1,6.02609459026364,8.71877413833914,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0061_04.a_p1,6.91518464490523,6.88401447625427,13.1250994072292,NA,NA,NA,NA,NA,NA,NA
ECA2_0061_05.a_p1,6.00827389870127,8.60574720565072,10.3234986582794,7.03596637307863,NA,NA,NA,NA,NA,NA
ECA2_0061_06.a_p1,7.19529607525308,7.30650620856602,10.862517104969,2.50320000968526,3.52907828670925,NA,NA,NA,NA,NA
ECA2_0061_07.a_p1,7.4595425387972,6.73534985919765,7.83053935070491,4.19433500718439,3.5325781060623,3.06326286862772,NA,NA,NA,NA
ECA2_0061_08.a_p1,4.05330468751784,6.5598358752143,10.1933356922978,5.92262111578863,4.42902032381603,4.41514850094261,4.01409881509789,NA,NA,NA
ECA2_0061_09.a_p1,8.21580559939788,8.79669701807875,12.6598145368319,1.77546149148417,4.67321387565362,1.90756569407513,3.99462793644939,2.63282217737296,NA,NA
ECA2_0061_10.a_p1,8.52424093509466,10.8806540267204,15.0272789129267,2.50989717980613,5.31361841367589,3.61733388060408,7.07101862885377,4.27830476500503,-1.84568928509148,NA
