,ECA2_0039_01.a_p1,ECA2_0039_02.a_p1,ECA2_0039_03.a_p1,ECA2_0039_04.a_p1,ECA2_0039_05.a_p1,ECA2_0039_06.a_p1,ECA2_0039_07.a_p1,ECA2_0039_08.a_p1,ECA2_0039_09.a_p1,ECA2_0039_10.a_p1
ECA2_0039_01.a_p1,0,0.713333333333333,0.586124401913876,0.585365853658537,0.631578947368421,0.689822294022617,0.68936170212766,0.664902998236332,0.6721044045677,0.718944099378882
ECA2_0039_02.a_p1,0.713333333333333,0,0.723735408560311,0.67139175257732,0.589937106918239,0.591812865497076,0.737171464330413,0.560700876095119,0.513546798029557,0.558579881656805
ECA2_0039_03.a_p1,0.586124401913876,0.723735408560311,0,0.599147121535181,0.63436928702011,0.688783570300158,0.711967545638945,0.640980735551664,0.662921348314607,0.701538461538462
ECA2_0039_04.a_p1,0.585365853658537,0.67139175257732,0.599147121535181,0,0.545787545787546,0.5968,0.602459016393443,0.581034482758621,0.576051779935275,0.618604651162791
ECA2_0039_05.a_p1,0.631578947368421,0.589937106918239,0.63436928702011,0.545787545787546,0,0.558867362146051,0.65034965034965,0.498355263157895,0.505392912172573,0.548816568047337
ECA2_0039_06.a_p1,0.689822294022617,0.591812865497076,0.688783570300158,0.5968,0.558867362146051,0,0.684615384615385,0.564841498559078,0.545580110497238,0.57372654155496
ECA2_0039_07.a_p1,0.68936170212766,0.737171464330413,0.711967545638945,0.602459016393443,0.65034965034965,0.684615384615385,0,0.691176470588235,0.673879443585781,0.735080058224163
ECA2_0039_08.a_p1,0.664902998236332,0.560700876095119,0.640980735551664,0.581034482758621,0.498355263157895,0.564841498559078,0.691176470588235,0,0.481762917933131,0.521229868228404
ECA2_0039_09.a_p1,0.6721044045677,0.513546798029557,0.662921348314607,0.576051779935275,0.505392912172573,0.545580110497238,0.673879443585781,0.481762917933131,0,0.48005698005698
ECA2_0039_10.a_p1,0.718944099378882,0.558579881656805,0.701538461538462,0.618604651162791,0.548816568047337,0.57372654155496,0.735080058224163,0.521229868228404,0.48005698005698,0
