,ECA2_0027_01.a_p1,ECA2_0027_02.a_p1,ECA2_0027_03.a_p1,ECA2_0027_04.a_p1,ECA2_0027_05.a_p1,ECA2_0027_06.a_p1,ECA2_0027_07.a_p1,ECA2_0027_08.a_p1,ECA2_0027_09.a_p1,ECA2_0027_10.a_p1
ECA2_0027_01.a_p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0027_02.a_p1,4.18054117159241,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0027_03.a_p1,3.70302584590579,3.09489168630473,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0027_04.a_p1,8.3435153345635,13.4214994605565,13.3688055218791,NA,NA,NA,NA,NA,NA,NA
ECA2_0027_05.a_p1,7.56639345347765,4.37791371885707,4.89031870521281,21.2465667979248,NA,NA,NA,NA,NA,NA
ECA2_0027_06.a_p1,2.23311007298129,1.88425030572752,2.0107049140504,8.0797039133469,-1.2447915418789,NA,NA,NA,NA,NA
ECA2_0027_07.a_p1,7.33266084475156,4.62899498027846,3.47863669322182,15.5646295683137,-0.160898779981438,1.2665803778801,NA,NA,NA,NA
ECA2_0027_08.a_p1,1.47117782871409,-0.296750811813786,-0.615327984170635,5.50770553878944,-1.85127429831561,1.47295463090127,-0.620702017381013,NA,NA,NA
ECA2_0027_09.a_p1,10.9100107236961,7.83962122759225,8.69112485233978,16.2787742326841,6.92001122015373,0.340121351358865,2.49969954145605,-0.514478509376597,NA,NA
ECA2_0027_10.a_p1,5.54197260149579,6.33053360605888,6.5995425280576,15.2661560387996,3.65676857514997,0.853232545369931,2.69533012063356,0.188477463111398,2.12303934009036,NA
