,ECA2_0058_03.a_p1,ECA2_0058_04.a_p1,ECA2_0058_05.a_p1,ECA2_0058_06.a_p1,ECA2_0058_07.a_p1,ECA2_0058_08.a_p1,ECA2_0058_09.a_p1,ECA2_0058_10.a_p1
ECA2_0058_03.a_p1,0,0.660051768766178,0.453180843459614,0.447528774542993,0.464885496183206,0.64906580016247,0.551937984496124,0.478232618583496
ECA2_0058_04.a_p1,0.660051768766178,0,0.662631154156578,0.695398100803506,0.62648401826484,0.556803995006242,0.599794238683128,0.748294679399727
ECA2_0058_05.a_p1,0.453180843459614,0.662631154156578,0,0.432308698495749,0.455076698319942,0.637625289128759,0.544649446494465,0.467418546365915
ECA2_0058_06.a_p1,0.447528774542993,0.695398100803506,0.432308698495749,0,0.455609084652443,0.671338472319552,0.53486750348675,0.435601458080194
ECA2_0058_07.a_p1,0.464885496183206,0.62648401826484,0.455076698319942,0.455609084652443,0,0.614592274678112,0.527125506072874,0.49934554973822
ECA2_0058_08.a_p1,0.64906580016247,0.556803995006242,0.637625289128759,0.671338472319552,0.614592274678112,0,0.53922542204568,0.727094240837696
ECA2_0058_09.a_p1,0.551937984496124,0.599794238683128,0.544649446494465,0.53486750348675,0.527125506072874,0.53922542204568,0,0.639240506329114
ECA2_0058_10.a_p1,0.478232618583496,0.748294679399727,0.467418546365915,0.435601458080194,0.49934554973822,0.727094240837696,0.639240506329114,0
