Site,Sample_Number,Min_bNTI,Max_bNTI,Mean_bNTI,Median_bNTI,SD_bNTI,Skew_bNTI,Kurt_bNTI,Var_Selection,Hom_Selection,Stochasticity,Process_Tot_Check,bMNTD_Jacc_pval,bMNTD_Jacc_Rsq,bMNTD_Jacc_Slope
ECA2_0001,10,2.26692361860466,24.4446969066198,10.306227618284,8.41498627522214,6.02873051022309,0.93324058336664,2.64736889380487,1,0,0,1,2.48194315570538e-25,0.92,0.0537
ECA2_0002,10,2.83957560203251,18.9960882656925,8.97817702664607,7.74585234571957,4.21210124610379,1.03862681109156,2.99996691252898,1,0,0,1,8.61270516170834e-38,0.98,0.0131
ECA2_0003,10,-0.218911374887277,18.3349700295647,7.55588925760208,7.76106052689071,4.2725211880747,0.236842432535919,2.63467758507298,0.888888888888889,0,0.111111111111111,1,2.63161707602207e-11,0.65,0.099
ECA2_0005,10,1.60249470130369,13.8065714311188,5.92451705218331,5.62133532860176,2.66855115074313,0.736909447354953,3.43569470003051,0.955555555555556,0,0.0444444444444444,1,6.369861507833e-22,0.89,0.0919
ECA2_0006,9,5.83053819837944,29.6400195516108,15.1515271168004,14.2094402560816,6.72665855361757,0.607381016412985,2.42560666645527,1,0,0,1,4.36356167282257e-26,0.96,0.0346
ECA2_0007,10,-1.55214615736447,15.6519347810165,5.9006651600964,5.14860058372187,4.05116596528736,0.348033555346592,2.48450770278186,0.822222222222222,0,0.177777777777778,1,2.94984334202122e-12,0.68,0.1172
ECA2_0008,10,0.121008755141165,10.3101341342934,4.61899985141896,4.05103562333292,2.68226802781058,0.242955174526,2.20145176513809,0.844444444444444,0,0.155555555555556,1,3.74340724968516e-07,0.46,0.1927
ECA2_0009,10,-3.69357258900496,13.1792877621344,2.02023523889191,0.86528723591935,4.30212594769563,1.09400383962554,3.21431490701956,0.355555555555556,0.111111111111111,0.533333333333333,1,1.38658349003269e-11,0.66,0.2609
ECA2_0010,10,3.15298552351982,29.4395473228013,10.5264807559634,8.76132524862541,6.92836112739995,1.39902201424232,4.22660003983055,1,0,0,1,2.36638754596051e-20,0.87,0.042
ECA2_0011,10,3.81766084422104,19.7354611849171,9.87161014000312,9.37444861761755,3.37374618986895,0.774605985115632,3.68471727602864,1,0,0,1,1.17354560227475e-15,0.78,0.0656
ECA2_0013,10,0.680075719792759,14.0063609447966,8.14563997928378,8.8615883819866,2.548575070143,-0.647572946016357,3.63135090166729,0.977777777777778,0,0.0222222222222222,1,1.00124962012668e-07,0.49,0.1023
ECA2_0016,10,4.17989043084237,14.6241666605959,8.40245240755959,8.00634853575141,2.50509567100143,0.441732547684299,2.67865521445768,1,0,0,1,8.26898688701255e-12,0.67,0.0289
ECA2_0017,10,-3.73716318718298,13.993225000981,4.79320761676877,4.31630005620146,4.29990589986638,0.14560966911473,2.33478597481787,0.755555555555556,0.0444444444444444,0.2,1,1.0104167797973e-10,0.63,0.2534
