Site,Sample_Number,Min_bNTI,Max_bNTI,Mean_bNTI,Median_bNTI,SD_bNTI,Skew_bNTI,Kurt_bNTI,Var_Selection,Hom_Selection,Stochasticity,Process_Tot_Check,bMNTD_Jacc_pval,bMNTD_Jacc_Rsq,bMNTD_Jacc_Slope
ECA2_0018,9,3.60893254971378,23.772200155952,12.51623899548,11.8001416754169,4.98951195122929,0.515747341932638,2.67606673972811,1,0,0,1,7.4050091235588e-16,0.86,0.0594
ECA2_0019,8,0.164637091593076,14.6101818315676,6.74158547061607,7.20741503223778,3.62905184563368,0.0760604659869242,2.21776189766871,0.928571428571429,0,0.0714285714285714,1,5.20660067341847e-08,0.69,0.118
ECA2_0021,10,2.88566101725243,15.9369653644218,8.92678965054382,8.20185896812669,3.15991001230792,0.78949078402016,2.83444482895477,1,0,0,1,5.82598633521038e-18,0.83,0.0427
ECA2_0022,10,4.14924801637613,21.4804928359703,11.2373582352941,10.7262947677623,4.57175945557781,0.667773295881451,2.59745732451944,1,0,0,1,7.81757953964999e-24,0.91,0.0349
ECA2_0023,7,-2.05134347311278,16.5083900075595,6.27102484543374,6.27107841760018,5.61177328499416,0.16718347445101,1.99163223347415,0.714285714285714,0.0476190476190476,0.238095238095238,1,1.64460580512607e-11,0.91,0.152
ECA2_0024,7,-0.0401467944994898,11.8863087605659,4.1406644905167,3.86414315818488,2.77643945452839,1.04228233045275,4.14328058301927,0.80952380952381,0,0.19047619047619,1,1.80146091065426e-10,0.89,0.1063
ECA2_0026,10,4.66762372900226,19.5501571742097,10.7544483231183,9.49455902640204,4.46121486173693,0.40012001422997,1.79698263347772,1,0,0,1,2.31802466137803e-24,0.91,0.0256
ECA2_0027,10,-1.85127429831561,21.2465667979248,5.12343940867469,3.70302584590579,5.3046839262173,1.10178639089665,3.75225187241734,0.688888888888889,0,0.311111111111111,1,1.25490853285116e-19,0.85,0.0653
ECA2_0028,10,-1.0141939327324,13.1769183302096,5.1814898228156,4.92299932087713,3.4731645218742,0.423765557072921,2.72181152252767,0.844444444444444,0,0.155555555555556,1,7.60100161979129e-14,0.73,0.0958
ECA2_0029,10,-2.45998617631704,22.6205627443145,7.44234071814698,5.81823941558289,6.07144579572288,0.560329883236153,2.5958772420854,0.8,0.0222222222222222,0.177777777777778,1,3.57728954562138e-20,0.86,0.0609
ECA2_0033,9,7.04265675145494,54.8998044949697,20.129029213982,15.6086758049919,12.5118032744856,1.3340680636741,3.89230072057298,1,0,0,1,4.94697217889302e-22,0.94,0.0222
ECA2_0034,10,-1.61258019595166,26.9142792023117,7.72361613920604,5.17161310469863,6.26122835473886,1.21713430188476,3.7524452286898,0.955555555555556,0,0.0444444444444444,1,6.30466295710165e-18,0.83,0.0853
ECA2_0035,8,-0.401872508027185,21.1387846141236,8.90433738859487,6.88467729844973,6.68177775471878,0.423565227340084,1.89962261320955,0.821428571428571,0,0.178571428571429,1,5.06291114933238e-11,0.82,0.1439
ECA2_0036,10,0.0597314570125434,29.1640128310339,11.476300623848,10.5022712829818,6.18118834701003,0.976185651547197,3.84897701874473,0.977777777777778,0,0.0222222222222222,1,2.07603966236636e-17,0.82,0.0636
ECA2_0037,10,-2.36540311731671,9.91349370176761,3.34637882660946,2.98675345800615,3.18106452747773,0.302274538178322,2.17222632070257,0.6,0.0222222222222222,0.377777777777778,1,3.65759551614546e-16,0.79,0.0612
ECA2_0038,10,1.22858160582046,14.478963261899,7.63790533260465,7.85389466470552,2.85170737725199,0.10085733844626,2.91861846990267,0.977777777777778,0,0.0222222222222222,1,1.27729259205513e-13,0.72,0.0586
ECA2_0039,10,-0.174176399097021,11.9270748045571,4.21757835834617,3.97873258904994,2.95713685523916,0.626629662620615,2.71911439984024,0.711111111111111,0,0.288888888888889,1,4.08592369328845e-14,0.74,0.0893
ECA2_0040,10,1.13028338688674,16.2636108990794,7.79661472364159,7.15496298436576,3.42099549230473,0.14845655843211,2.69050479953427,0.955555555555556,0,0.0444444444444444,1,1.42012246347062e-08,0.53,0.0999
ECA2_0041,10,1.37889421444975,34.1927604902937,15.2019852740114,15.6995246769116,8.31340616540092,0.427495836453425,2.47739319710755,0.955555555555556,0,0.0444444444444444,1,1.51179755105051e-21,0.88,0.0464
ECA2_0042,10,4.17805697445753,20.4142007834626,11.4769266064581,11.0938770362338,4.20427228970378,0.247816602556038,2.32267541720304,1,0,0,1,8.07234791100725e-19,0.84,0.0517
ECA2_0043,10,0.287697918634276,22.7299494171606,9.47481649423791,8.94876126136551,7.22012879558146,0.245060395047177,1.54318829782506,0.844444444444444,0,0.155555555555556,1,1.45965119618003e-13,0.72,0.1143
ECA2_0044,10,-0.105801699150622,12.0347361087698,5.65264140039588,4.93334491146772,3.13986622059706,0.482976120520189,2.27614205210253,0.911111111111111,0,0.0888888888888889,1,5.51069214574585e-22,0.89,0.0713
ECA2_0045,10,4.07343512447142,22.2641995003005,10.4949144920716,8.98685230240352,4.41937269417165,1.06170740082388,3.39623160217438,1,0,0,1,6.2305420981592e-25,0.92,0.0416
ECA2_0047,10,5.68919972452754,22.4151357752709,11.6595246999931,11.5522312701917,3.5799490967595,0.613612972351192,3.32871167019341,1,0,0,1,4.51243717194435e-34,0.97,0.0264
ECA2_0048,10,4.92131989051392,20.2527855309128,11.4791963953568,11.618920210453,3.70815962061482,0.29323007276644,2.5741935156943,1,0,0,1,3.35589076325571e-23,0.9,0.0297
ECA2_0049,10,4.27647281039754,17.8810122572033,11.0925503608569,10.9462947509893,3.06027296502287,0.244722664627841,2.9016618216291,1,0,0,1,3.49797324389462e-16,0.79,0.0479
ECA2_0050,10,-0.246987171862263,9.36268265794244,5.13632288198886,5.76137886139831,2.67311275067158,-0.31732946201097,1.83183883848953,0.866666666666667,0,0.133333333333333,1,8.09193050657897e-27,0.93,0.041
ECA2_0051,10,-2.13365275846041,17.7068772322279,4.18863507231244,2.31359265525201,5.05317929962062,1.21809472600318,3.7934080003922,0.577777777777778,0.0222222222222222,0.4,1,5.81253821539192e-15,0.76,0.125
ECA2_0052,3,2.96806487589356,8.27415065642149,5.51784102854525,5.31130755332071,2.65906536867212,0.14183073607039,1.5,1,0,0,1,0.935824866344386,0.01,1.8018
ECA2_0053,10,0.760790632007416,14.1019387724736,7.4861561579869,7.29426473771816,3.43676411096476,0.175541624708316,2.29693492533438,0.955555555555556,0,0.0444444444444444,1,1.93565582464302e-19,0.85,0.054
ECA2_0054,5,9.11771606006319,36.1720055576011,20.7003033947843,19.8565334483029,6.92123749633707,0.733487307302287,4.0822198212293,1,0,0,1,0.00423784754369341,0.66,0.7411
ECA2_0055,10,5.05147252016004,33.3074023914348,15.0946623978848,14.62661594557,6.28570566420335,0.653273558614626,3.25739026738551,1,0,0,1,2.85937044699423e-23,0.9,0.041
ECA2_0056,10,-3.18732757073325,11.0126903575954,2.75470801351924,1.65455393517275,3.95543475434072,0.555275576723952,2.15190683427038,0.444444444444444,0.0888888888888889,0.466666666666667,1,2.17336564443344e-18,0.83,0.1461
ECA2_0058,8,3.79967598573322,15.6828234842369,7.63462727007209,7.35219979887724,2.4927346553554,1.27636517390184,5.30809227994611,1,0,0,1,2.77615145838443e-20,0.96,0.0232
ECA2_0061,10,-1.84568928509148,15.0272789129267,6.34752834966564,6.5598358752143,3.33638574063,0.319491756655308,3.23536634895593,0.933333333333333,0,0.0666666666666667,1,5.52873665257685e-18,0.83,0.0636
