,ECA2_0054_04.a_p15,ECA2_0054_05.a_p1,ECA2_0054_06.a_p15,ECA2_0054_09.a_p15,ECA2_0054_10.a_p15
ECA2_0054_04.a_p15,NA,NA,NA,NA,NA
ECA2_0054_05.a_p1,23.1420524396479,NA,NA,NA,NA
ECA2_0054_06.a_p15,9.11771606006319,23.3834600252647,NA,NA,NA
ECA2_0054_09.a_p15,20.8129717165213,36.1720055576011,18.9000951800845,NA,NA
ECA2_0054_10.a_p15,16.6200349378878,17.5499748338648,23.3550630176299,17.9496601792783,NA
