,ECA2_0018_01.a_p1,ECA2_0018_02.a_p1,ECA2_0018_03.a_p1,ECA2_0018_04.a_p1,ECA2_0018_05.a_p1,ECA2_0018_06.a_p1,ECA2_0018_07.a_p1,ECA2_0018_09.a_p1,ECA2_0018_10.a_p1
ECA2_0018_01.a_p1,0,0.251696853257686,0.263713905228913,0.247478909358626,0.351444966177906,0.290456166017546,0.22966409427305,0.393519938304964,0.524499820193887
ECA2_0018_02.a_p1,0.251696853257686,0,0.279723062576647,0.221122908901807,0.313798707980758,0.24415183365078,0.251400417737989,0.34197378422461,0.527586091815998
ECA2_0018_03.a_p1,0.263713905228913,0.279723062576647,0,0.237933150492394,0.316022032024477,0.280615153385076,0.269180731393288,0.280670543074894,0.570501471697675
ECA2_0018_04.a_p1,0.247478909358626,0.221122908901807,0.237933150492394,0,0.282988215838648,0.209630023986869,0.227528331827949,0.289189907994854,0.553823721194521
ECA2_0018_05.a_p1,0.351444966177906,0.313798707980758,0.316022032024477,0.282988215838648,0,0.290503191001999,0.269979731358405,0.356587735224472,0.495589600799355
ECA2_0018_06.a_p1,0.290456166017546,0.24415183365078,0.280615153385076,0.209630023986869,0.290503191001999,0,0.258755384555945,0.300084559435077,0.535722636514477
ECA2_0018_07.a_p1,0.22966409427305,0.251400417737989,0.269180731393288,0.227528331827949,0.269979731358405,0.258755384555945,0,0.348918051387659,0.41890875826723
ECA2_0018_09.a_p1,0.393519938304964,0.34197378422461,0.280670543074894,0.289189907994854,0.356587735224472,0.300084559435077,0.348918051387659,0,0.626544934912763
ECA2_0018_10.a_p1,0.524499820193887,0.527586091815998,0.570501471697675,0.553823721194521,0.495589600799355,0.535722636514477,0.41890875826723,0.626544934912763,0
