,ECA2_0010_01.a_p1,ECA2_0010_02.a_p1,ECA2_0010_03.a_p1,ECA2_0010_04.a_p1,ECA2_0010_05.a_p1,ECA2_0010_06.a_p1,ECA2_0010_07.a_p1,ECA2_0010_08.a_p1,ECA2_0010_09.a_p1,ECA2_0010_10.a_p1
ECA2_0010_01.a_p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0010_02.a_p1,7.33471123372578,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0010_03.a_p1,7.53377174372476,3.52780610769786,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0010_04.a_p1,9.83620416004181,5.30282037825332,7.2377161085033,NA,NA,NA,NA,NA,NA,NA
ECA2_0010_05.a_p1,8.76132524862541,5.97345069222827,3.97530222416951,7.40085760970899,NA,NA,NA,NA,NA,NA
ECA2_0010_06.a_p1,7.59799314604257,3.50060687087869,3.7328618034071,4.15258441892725,3.84296508024263,NA,NA,NA,NA,NA
ECA2_0010_07.a_p1,8.7075343037464,12.293925653836,8.5055706417803,10.2475040940928,11.464433870658,10.9987527457874,NA,NA,NA,NA
ECA2_0010_08.a_p1,10.9166425827947,25.1907514431437,23.3124153355375,24.7395835562347,29.406522963735,23.297563127072,14.8059783350408,NA,NA,NA
ECA2_0010_09.a_p1,7.99775582312172,12.2811005288401,9.55795858226631,13.5948581019102,14.0984038223593,12.2458389902951,8.35754937476815,11.6480542890436,NA,NA
ECA2_0010_10.a_p1,9.50614178612852,3.99541346889453,4.49638252333169,4.50802106114094,4.4428899137094,3.15298552351982,9.31014521754791,29.4395473228013,11.4604322090364,NA
