,ECA2_0043_01.a_p1,ECA2_0043_02.a_p1,ECA2_0043_03.a_p1,ECA2_0043_04.a_p1,ECA2_0043_05.a_p1,ECA2_0043_06.b_p1,ECA2_0043_07.a_p1,ECA2_0043_08.a_p1,ECA2_0043_09.a_p1,ECA2_0043_10.a_p1
ECA2_0043_01.a_p1,0,0.353945395904732,0.347485473198028,0.644350988985516,0.814655643122886,0.795207651354602,0.737232769343848,0.410605470271639,0.362882419594006,0.370456726122175
ECA2_0043_02.a_p1,0.353945395904732,0,0.396818807873598,0.743741667350981,0.906707984185893,0.846296561231745,0.809356267656472,0.474450720662285,0.423497035992564,0.416084202386622
ECA2_0043_03.a_p1,0.347485473198028,0.396818807873598,0,0.543967901205755,0.71686863106716,0.686624927034957,0.611532309193637,0.4426308848683,0.407964919287487,0.419198093453553
ECA2_0043_04.a_p1,0.644350988985516,0.743741667350981,0.543967901205755,0,0.560590173009666,0.512108508158476,0.492276037608082,0.649143682045627,0.678660317908438,0.715339846213574
ECA2_0043_05.a_p1,0.814655643122886,0.906707984185893,0.71686863106716,0.560590173009666,0,0.543103748130652,0.504436557117038,0.782422036600842,0.842665833010645,0.868896060501448
ECA2_0043_06.b_p1,0.795207651354602,0.846296561231745,0.686624927034957,0.512108508158476,0.543103748130652,0,0.457924815143027,0.753226127671753,0.810815003065971,0.815700300152308
ECA2_0043_07.a_p1,0.737232769343848,0.809356267656472,0.611532309193637,0.492276037608082,0.504436557117038,0.457924815143027,0,0.659005003308078,0.667259422992725,0.749110156384548
ECA2_0043_08.a_p1,0.410605470271639,0.474450720662285,0.4426308848683,0.649143682045627,0.782422036600842,0.753226127671753,0.659005003308078,0,0.381226198546513,0.392685084846903
ECA2_0043_09.a_p1,0.362882419594006,0.423497035992564,0.407964919287487,0.678660317908438,0.842665833010645,0.810815003065971,0.667259422992725,0.381226198546513,0,0.365373919606811
ECA2_0043_10.a_p1,0.370456726122175,0.416084202386622,0.419198093453553,0.715339846213574,0.868896060501448,0.815700300152308,0.749110156384548,0.392685084846903,0.365373919606811,0
