,ECA2_0029_01.a_p1,ECA2_0029_02.a_p1,ECA2_0029_03.a_p1,ECA2_0029_04.a_p1,ECA2_0029_05.a_p1,ECA2_0029_06.a_p1,ECA2_0029_07.a_p1,ECA2_0029_08.a_p1,ECA2_0029_09.a_p1,ECA2_0029_10.a_p1
ECA2_0029_01.a_p1,0,0.454515858695649,0.697491059917061,0.553097496935,0.651534423042434,0.563379885902073,0.577744945111306,0.508573703422362,0.937155412199327,0.886753151726613
ECA2_0029_02.a_p1,0.454515858695649,0,0.746167451560522,0.62677889301273,0.637806970049812,0.615389600976394,0.570679809841294,0.560013914542046,0.957839836057155,0.874310168370232
ECA2_0029_03.a_p1,0.697491059917061,0.746167451560522,0,0.313082937017452,0.489156230045835,0.35518021714304,0.403495735337129,0.332758156696178,0.364808445501988,0.340083926828616
ECA2_0029_04.a_p1,0.553097496935,0.62677889301273,0.313082937017452,0,0.491219755853437,0.325581922427736,0.362786372025365,0.317658905826302,0.566763778233919,0.49811455380259
ECA2_0029_05.a_p1,0.651534423042434,0.637806970049812,0.489156230045835,0.491219755853437,0,0.467046381447545,0.424353841903289,0.461235697769015,0.691072979176106,0.646018412016125
ECA2_0029_06.a_p1,0.563379885902073,0.615389600976394,0.35518021714304,0.325581922427736,0.467046381447545,0,0.382183669493133,0.332713269994684,0.545286117207815,0.49734372040792
ECA2_0029_07.a_p1,0.577744945111306,0.570679809841294,0.403495735337129,0.362786372025365,0.424353841903289,0.382183669493133,0,0.317274346920402,0.642464339674142,0.576592398736516
ECA2_0029_08.a_p1,0.508573703422362,0.560013914542046,0.332758156696178,0.317658905826302,0.461235697769015,0.332713269994684,0.317274346920402,0,0.568793861980657,0.495529721959965
ECA2_0029_09.a_p1,0.937155412199327,0.957839836057155,0.364808445501988,0.566763778233919,0.691072979176106,0.545286117207815,0.642464339674142,0.568793861980657,0,0.306913757455502
ECA2_0029_10.a_p1,0.886753151726613,0.874310168370232,0.340083926828616,0.49811455380259,0.646018412016125,0.49734372040792,0.576592398736516,0.495529721959965,0.306913757455502,0
