,ECA2_0038_01.a_p1,ECA2_0038_02.b_p1,ECA2_0038_03.a_p1,ECA2_0038_04.a_p1,ECA2_0038_05.a_p1,ECA2_0038_06.a_p1,ECA2_0038_07.a_p1,ECA2_0038_08.a_p1,ECA2_0038_09.a_p1,ECA2_0038_10.a_p1
ECA2_0038_01.a_p1,0,0.413276231263383,0.580116959064327,0.444444444444444,0.52128764278297,0.517278617710583,0.460869565217391,0.469010175763182,0.583916083916084,0.549763033175355
ECA2_0038_02.b_p1,0.413276231263383,0,0.582568807339449,0.450505050505051,0.536437246963563,0.548387096774194,0.476694915254237,0.471285323609845,0.605411499436302,0.587301587301587
ECA2_0038_03.a_p1,0.580116959064327,0.582568807339449,0,0.596452328159645,0.592592592592593,0.598258706467662,0.585247883917775,0.647792706333973,0.615714285714286,0.544642857142857
ECA2_0038_04.a_p1,0.444444444444444,0.450505050505051,0.596452328159645,0,0.534260178748759,0.547400611620795,0.436634717784878,0.462162162162162,0.619825708061002,0.588495575221239
ECA2_0038_05.a_p1,0.52128764278297,0.536437246963563,0.592592592592593,0.534260178748759,0,0.557713052858684,0.551941238195173,0.587260034904014,0.649484536082474,0.603995299647474
ECA2_0038_06.a_p1,0.517278617710583,0.548387096774194,0.598258706467662,0.547400611620795,0.557713052858684,0,0.536343612334802,0.584837545126354,0.597014925373134,0.529107373868047
ECA2_0038_07.a_p1,0.460869565217391,0.476694915254237,0.585247883917775,0.436634717784878,0.551941238195173,0.536343612334802,0,0.504178272980501,0.566707466340269,0.555691554467564
ECA2_0038_08.a_p1,0.469010175763182,0.471285323609845,0.647792706333973,0.462162162162162,0.587260034904014,0.584837545126354,0.504178272980501,0,0.658420551855376,0.639501438159156
ECA2_0038_09.a_p1,0.583916083916084,0.605411499436302,0.615714285714286,0.619825708061002,0.649484536082474,0.597014925373134,0.566707466340269,0.658420551855376,0,0.521148036253776
ECA2_0038_10.a_p1,0.549763033175355,0.587301587301587,0.544642857142857,0.588495575221239,0.603995299647474,0.529107373868047,0.555691554467564,0.639501438159156,0.521148036253776,0
