,ECA2_0002_01.a_p1,ECA2_0002_02.a_p08,ECA2_0002_03.a_p08,ECA2_0002_04.a_p08,ECA2_0002_05.a_p08,ECA2_0002_06.a_p08,ECA2_0002_07.a_p08,ECA2_0002_08.a_p08,ECA2_0002_09.a_p08,ECA2_0002_10.a_p08
ECA2_0002_01.a_p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0002_02.a_p08,14.8127753848493,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0002_03.a_p08,14.5403453665895,9.61797712075163,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0002_04.a_p08,18.6084686847384,7.33948654114963,8.2419418213052,NA,NA,NA,NA,NA,NA,NA
ECA2_0002_05.a_p08,14.4315926315079,7.74585234571957,7.99406536074037,7.45484262340089,NA,NA,NA,NA,NA,NA
ECA2_0002_06.a_p08,16.3854605876725,8.61217220927583,8.19967885748055,6.1671384974449,3.57411279889351,NA,NA,NA,NA,NA
ECA2_0002_07.a_p08,16.7072267720639,7.9649611880684,6.64610036407207,7.02246456523999,5.160170193092,2.83957560203251,NA,NA,NA,NA
ECA2_0002_08.a_p08,18.9960882656925,8.85254135225982,8.48543368271011,12.5964300307408,7.86100891700687,7.30254404843691,5.02995286911157,NA,NA,NA
ECA2_0002_09.a_p08,16.3700055391836,8.74576242626282,8.34751113258564,7.11364773126041,6.52019624567095,5.66120457795916,6.01586881872664,10.24852545054,NA,NA
ECA2_0002_10.a_p08,17.3314966243327,7.62044426660193,7.45984669550569,7.43657134852201,5.43880539074806,4.79481416478846,4.31427669534997,5.04947879369711,6.35910161529102,NA
