,ECA2_0054_04.a_p15,ECA2_0054_05.a_p1,ECA2_0054_06.a_p15,ECA2_0054_09.a_p15,ECA2_0054_10.a_p15
ECA2_0054_04.a_p15,0,0.883072739632903,0.778575089697591,0.945443993035403,0.805899705014749
ECA2_0054_05.a_p1,0.883072739632903,0,0.860082304526749,0.981412639405204,0.844858156028369
ECA2_0054_06.a_p15,0.778575089697591,0.860082304526749,0,0.944220816561242,0.829896907216495
ECA2_0054_09.a_p15,0.945443993035403,0.981412639405204,0.944220816561242,0,0.925818181818182
ECA2_0054_10.a_p15,0.805899705014749,0.844858156028369,0.829896907216495,0.925818181818182,0
