,ECA2_0033_01.a_p08,ECA2_0033_02.a_p08,ECA2_0033_03.a_p08,ECA2_0033_04.a_p08,ECA2_0033_05.a_p08,ECA2_0033_06.a_p08,ECA2_0033_08.a_p08,ECA2_0033_09.a_p08,ECA2_0033_10.a_p08
ECA2_0033_01.a_p08,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0033_02.a_p08,29.04442805005,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0033_03.a_p08,15.9588918907914,20.1926097051219,NA,NA,NA,NA,NA,NA,NA
ECA2_0033_04.a_p08,24.858301087395,54.8998044949697,43.1829336082545,NA,NA,NA,NA,NA,NA
ECA2_0033_05.a_p08,15.2963804748645,27.6428951349542,10.1251880840931,25.0761793510146,NA,NA,NA,NA,NA
ECA2_0033_06.a_p08,15.1602811448309,21.4218312033372,8.17737266452681,40.8697965069829,12.6256403176932,NA,NA,NA,NA
ECA2_0033_08.a_p08,14.6389771114568,17.5496701384655,9.87720412509846,41.1276820012292,15.212696129566,9.17568561615146,NA,NA,NA
ECA2_0033_09.a_p08,20.492760399821,15.9209711351193,11.0727243879798,51.1884553594337,17.6532349687935,11.2858546606657,10.7851443098203,NA,NA
ECA2_0033_10.a_p08,12.5222432104673,22.4507415028389,7.04265675145494,32.2389526203984,9.59491988361313,11.2200713631609,9.4946580529161,9.56721425602114,NA
