,ECA2_0022_01.a_p1,ECA2_0022_02.a_p1,ECA2_0022_03.a_p1,ECA2_0022_04.a_p1,ECA2_0022_05.a_p1,ECA2_0022_06.a_p1,ECA2_0022_07.a_p1,ECA2_0022_08.a_p1,ECA2_0022_09.a_p1,ECA2_0022_10.a_p1
ECA2_0022_01.a_p1,0,0.502922728421084,0.264291837729205,0.306162169683966,0.330068061857706,0.30496424854695,0.417021201889585,0.417603232991101,0.354921753751715,0.479285646137006
ECA2_0022_02.a_p1,0.502922728421084,0,0.492562345004249,0.566423765729912,0.501615431946821,0.543792908006264,0.599849289845354,0.518300212728554,0.462382169139525,0.551186236782546
ECA2_0022_03.a_p1,0.264291837729205,0.492562345004249,0,0.277033379147337,0.335701930304148,0.304140252720227,0.381229448507766,0.39699297918714,0.288593674027004,0.488443241249604
ECA2_0022_04.a_p1,0.306162169683966,0.566423765729912,0.277033379147337,0,0.263859626405242,0.202089464073093,0.42641311447729,0.538255300492521,0.351605671978243,0.569153509521754
ECA2_0022_05.a_p1,0.330068061857706,0.501615431946821,0.335701930304148,0.263859626405242,0,0.293339056674235,0.434091625471686,0.52764986778129,0.354203230539985,0.537616677265835
ECA2_0022_06.a_p1,0.30496424854695,0.543792908006264,0.304140252720227,0.202089464073093,0.293339056674235,0,0.399949857421305,0.482527482633847,0.350051692126097,0.540283073261994
ECA2_0022_07.a_p1,0.417021201889585,0.599849289845354,0.381229448507766,0.42641311447729,0.434091625471686,0.399949857421305,0,0.431256502369585,0.436971971292404,0.418322333097324
ECA2_0022_08.a_p1,0.417603232991101,0.518300212728554,0.39699297918714,0.538255300492521,0.52764986778129,0.482527482633847,0.431256502369585,0,0.470542964159626,0.499813070470947
ECA2_0022_09.a_p1,0.354921753751715,0.462382169139525,0.288593674027004,0.351605671978243,0.354203230539985,0.350051692126097,0.436971971292404,0.470542964159626,0,0.463273566012073
ECA2_0022_10.a_p1,0.479285646137006,0.551186236782546,0.488443241249604,0.569153509521754,0.537616677265835,0.540283073261994,0.418322333097324,0.499813070470947,0.463273566012073,0
