,ECA2_0052_01.a_p1,ECA2_0052_05.a_p1,ECA2_0052_10.a_p1
524.111546586383,0,0,1
524.23524916978,1,0,0
525.124907264948,0,0,1
527.129805493315,1,0,0
527.140572895663,1,0,0
531.114362930057,0,1,0
533.093693346248,0,0,1
535.072932531468,0,0,1
535.109272280562,0,0,1
537.124886960659,1,0,1
537.161283803027,1,0,0
539.140611074365,1,1,0
541.218558800002,0,0,1
543.109810904183,1,1,1
543.197964851603,0,1,0
544.26238720557,0,1,0
544.313151683927,0,0,1
545.093574600661,0,1,0
547.109330096018,1,0,1
547.216225676544,1,0,0
548.175151963629,1,0,0
549.124993058067,0,0,1
549.270386589946,0,0,1
551.104176596842,0,0,1
551.176899158949,1,0,1
551.322953394837,0,0,1
552.193762310849,0,0,1
553.120233479764,0,0,1
553.156267146222,0,0,1
554.574104391308,1,1,1
555.197991416465,0,0,1
556.321193471105,0,0,1
557.216322088862,0,1,0
560.174926777433,1,0,0
560.198857453659,1,0,0
563.104226089899,0,0,1
563.127986241568,1,0,0
563.140593599225,0,0,1
563.177009598755,0,0,1
565.119779890364,0,0,1
565.156203136489,1,0,1
565.265827766434,1,0,0
567.099035069083,0,0,1
567.171811167644,0,1,0
567.309493850317,0,1,0
571.094039894944,0,0,1
572.110992026761,1,1,1
572.226715239621,0,0,1
573.088456446702,0,0,1
574.111775272393,0,0,1
574.567887938338,1,1,1
575.105404126046,0,0,1
575.184304490713,1,1,1
575.247588081444,0,0,1
576.339346828021,0,1,0
579.135426017161,0,0,1
584.198878760027,1,0,0
585.219109598544,0,0,1
586.126691755722,0,1,1
586.130473141554,0,0,1
587.12407370868,1,1,1
587.234666095135,1,1,0
588.123699033257,0,1,1
589.205996657435,1,0,0
593.082728379244,0,1,0
593.254667726144,1,0,0
595.197587193083,1,0,0
597.248793497886,0,0,1
599.198367254304,0,0,1
599.258479517026,0,0,1
601.068347008501,1,1,1
601.07511064151,0,0,1
601.359630333926,0,1,0
606.073764443613,0,1,0
611.159551659532,0,1,1
611.271335997356,1,0,0
613.250579267058,0,1,0
614.239581266918,0,0,1
614.529860028488,1,1,1
616.526953466632,1,1,1
617.110926489989,1,0,0
617.318159385959,1,0,1
618.549762076099,1,1,1
619.299951722429,1,0,0
619.300398938913,0,1,0
620.256291144724,0,0,1
636.520632947257,1,0,0
637.211521451468,1,0,0
639.302692380801,0,1,0
645.276674534758,0,0,1
647.127234370101,0,1,1
648.126839191764,0,1,1
649.322584166789,0,1,0
655.297748991469,0,1,0
657.036032365324,0,0,1
657.313098048417,0,0,1
659.088050806967,0,0,1
661.300048173441,0,1,1
661.336379911107,0,0,1
663.269193451709,0,1,0
663.352070033963,0,1,0
665.242743899373,1,1,0
669.305324597487,0,0,1
669.349548641861,1,0,0
670.2851741844,0,0,1
671.365096972511,0,1,0
672.010120237229,0,1,0
672.324036247699,0,0,1
673.272266949081,0,1,0
673.308173563182,0,1,1
673.336472493863,0,1,0
674.48542435689,1,1,0
674.511191710408,1,1,1
675.315718027848,1,0,0
680.502403632752,1,1,0
694.479220786045,1,0,0
695.262769275012,0,1,1
699.351651210462,0,1,0
707.385037602965,1,1,0
713.375761955022,0,0,1
720.148320485707,0,1,1
728.449897901082,1,0,0
730.447212853434,0,1,0
732.444147543366,1,0,0
733.610025925201,1,0,0
747.557870010377,1,0,0
790.428494452914,1,1,0
792.425576835256,1,1,1
793.167685122286,0,1,0
799.585712936849,0,1,0
800.413855391086,1,0,0
804.543022177352,0,1,0
807.183806986709,0,1,1
808.399307461279,1,0,0
850.532338969529,0,0,1
863.552774542616,0,1,0
867.657748912937,0,0,1
882.731229074967,0,0,1
