,ECA2_0033_01.a_p08,ECA2_0033_02.a_p08,ECA2_0033_03.a_p08,ECA2_0033_04.a_p08,ECA2_0033_05.a_p08,ECA2_0033_06.a_p08,ECA2_0033_08.a_p08,ECA2_0033_09.a_p08,ECA2_0033_10.a_p08
201.124444794287,1,0,0,1,0,0,0,0,0
201.149612848737,0,0,0,0,0,0,0,0,1
203.0349762395,0,0,0,0,0,0,1,0,0
203.128853809756,0,1,0,0,0,0,0,0,0
204.06661728324,0,0,0,0,0,0,1,1,0
205.014241315858,1,1,1,0,1,1,1,1,1
205.050629724349,1,1,1,1,0,0,1,0,0
206.993542726981,1,1,0,0,0,0,0,0,1
207.029899091282,1,1,1,1,1,1,1,0,1
207.066283233563,1,1,0,1,1,1,1,1,1
207.069644633925,0,0,0,0,1,0,0,0,0
207.1026667924,0,0,0,0,0,1,0,0,0
209.009149823193,1,1,1,1,1,1,1,1,1
209.045531739112,1,1,1,0,1,1,1,1,1
209.048873182039,0,1,0,0,0,0,0,0,0
209.11832078918,0,0,0,1,1,1,0,0,0
211.024813932517,1,1,1,1,1,1,1,1,1
211.089375900744,0,0,1,0,0,0,0,0,0
213.004047514803,0,1,0,0,1,0,0,1,1
215.019685039474,0,0,1,0,0,0,0,0,1
215.140113242026,0,0,0,1,0,0,0,0,0
217.014238595712,0,0,0,0,0,0,0,1,0
217.035354402865,0,0,0,0,0,0,0,0,1
217.042346316417,0,0,0,0,0,1,0,0,0
217.05055094518,0,0,0,0,1,0,0,0,0
217.069157174048,0,0,0,0,0,0,0,0,1
217.119388146605,1,0,0,1,0,0,0,0,0
218.103380013694,1,1,0,0,1,1,1,1,1
219.029844142125,1,1,1,0,1,1,1,1,1
219.051025727524,0,0,0,0,0,0,1,0,0
219.066276254624,0,1,0,0,1,0,0,0,1
219.102663895498,1,0,0,0,0,0,0,0,0
221.009152912676,1,1,1,0,1,1,1,1,1
221.045505511615,1,1,1,1,1,1,1,1,1
221.058529745951,1,0,0,0,0,0,0,0,0
221.08193544951,1,0,1,1,0,1,1,0,1
221.093167178783,0,0,0,1,0,0,0,0,0
222.019656038737,0,0,0,0,0,0,0,0,1
222.040745864685,0,1,0,0,0,0,0,0,0
223.024764337093,1,1,1,1,1,1,1,1,1
223.061205057204,1,1,1,1,1,1,1,1,1
223.06453372143,0,1,0,0,0,0,0,0,1
223.097537814546,1,1,1,1,1,1,1,1,1
224.020083071202,1,0,0,0,0,0,0,0,0
225.004067850545,1,1,1,1,1,1,1,1,1
225.04042670604,1,1,1,1,1,1,1,1,1
227.019668270253,1,1,1,0,1,1,1,1,1
227.103712756213,1,0,0,0,1,0,0,1,0
227.140126711641,1,1,0,1,1,1,0,1,1
227.165219614951,0,0,0,0,0,0,0,0,1
227.165369236422,0,0,0,0,0,0,0,1,0
229.017191814321,0,0,0,1,0,0,0,0,0
229.017567396488,1,1,1,1,0,1,0,0,0
229.035344803185,1,1,1,0,1,1,1,1,1
229.15578506445,1,0,1,1,0,0,0,0,0
231.029866623339,0,1,1,0,1,1,0,1,0
231.135001441115,1,0,0,1,0,0,0,0,0
233.009163412669,1,1,1,0,1,1,1,1,1
233.04552952382,1,1,1,0,1,1,0,1,1
233.081924619241,0,1,0,1,1,0,0,0,1
233.15804458693,0,1,0,0,0,0,0,0,0
235.02482248343,1,1,1,1,1,1,1,1,1
235.061203573925,1,1,1,1,1,1,1,1,1
235.097578928559,1,0,1,1,1,1,0,1,1
235.108814655229,1,0,0,1,0,0,0,0,0
235.137303493868,0,1,0,0,0,0,0,0,0
235.170339755233,0,0,0,0,0,0,0,1,0
236.056481091778,0,0,0,0,0,0,1,0,0
236.096197433397,0,0,0,1,0,0,0,0,0
237.004097825784,1,1,1,0,1,1,1,1,1
237.040483507492,1,1,1,1,1,1,1,1,1
237.076867410919,1,1,1,1,1,1,1,1,1
237.113244125764,1,1,1,1,1,1,0,1,1
238.035709277838,0,0,0,0,1,1,0,0,0
238.072102331914,0,0,1,0,0,0,0,0,0
239.001977509159,0,0,0,0,1,0,0,0,0
239.01970562526,1,1,1,1,1,1,1,1,1
239.03498258995,0,0,0,0,0,1,0,0,0
239.056102990688,1,1,1,1,1,1,1,1,1
239.059457697051,1,0,0,0,0,0,0,0,0
240.999018091655,0,1,1,0,1,0,0,1,1
241.017649438353,1,1,1,1,1,0,0,0,0
