,ECA2_0035_01.a_p08,ECA2_0035_02.a_p1,ECA2_0035_03.a_p1,ECA2_0035_04.a_p1,ECA2_0035_05.a_p1,ECA2_0035_07.a_p1,ECA2_0035_08.a_p15,ECA2_0035_10.a_p1
200.986315118622,0,0,1,0,0,0,0,0
201.124444794287,0,0,0,0,0,0,1,0
201.149612848737,1,0,0,0,0,0,0,0
203.001667167221,0,0,0,0,0,0,0,1
203.001940656736,0,1,0,0,0,0,0,1
205.050629724349,1,0,0,0,0,0,0,0
207.029899091282,1,0,0,0,0,0,1,0
207.066283233563,1,0,0,0,0,0,0,0
207.069644633925,0,1,0,0,0,0,0,0
208.015171870722,0,0,1,0,0,0,0,0
209.009149823193,1,0,0,0,1,0,1,0
209.045531739112,0,0,0,0,0,0,1,0
209.11832078918,1,0,0,0,0,0,0,0
211.024813932517,1,0,0,0,0,0,1,0
215.128909134367,0,0,0,0,0,0,0,1
216.981186909717,0,0,0,0,0,0,0,1
218.103380013694,1,1,1,1,1,0,0,1
218.978845466915,0,0,0,0,0,0,0,1
218.979124987677,0,0,0,0,0,0,0,1
218.996831734425,0,0,0,0,0,0,0,1
221.009152912676,0,0,0,0,0,1,0,0
221.012490360292,0,1,0,0,0,0,0,1
221.045505511615,1,0,0,0,0,0,0,0
223.024764337093,0,1,0,0,0,1,1,0
223.061205057204,1,1,1,0,0,1,1,0
223.097537814546,1,0,0,0,1,0,1,0
225.04042670604,1,0,0,0,1,1,1,0
227.140126711641,0,0,0,1,1,0,0,1
227.201714862828,1,0,0,0,0,0,0,0
228.051330010739,1,0,0,0,0,0,0,0
229.035344803185,1,0,0,0,0,0,0,0
229.15578506445,0,0,0,0,1,0,1,0
231.135001441115,0,0,0,0,0,0,1,0
233.009163412669,1,0,0,0,0,0,0,0
234.136056393166,0,0,0,0,0,0,0,1
235.02482248343,1,0,0,0,0,0,0,0
235.061203573925,1,1,0,0,1,1,1,0
235.137303493868,0,1,0,0,0,0,0,0
236.095789293864,0,1,0,0,0,0,0,0
236.096197433397,0,1,1,1,0,0,0,1
237.040483507492,1,1,0,0,0,1,0,0
237.076867410919,1,0,1,0,1,1,1,0
237.113244125764,1,0,0,1,1,0,1,0
237.149632382166,1,0,0,1,0,0,0,0
239.01970562526,1,0,0,0,0,1,0,1
239.056102990688,1,1,0,0,1,1,1,0
241.035404817619,0,0,1,0,0,0,0,0
241.180897884247,1,0,0,0,0,0,0,0
243.066318874977,0,0,0,0,0,1,0,0
243.171444942575,0,0,0,0,1,0,1,0
244.082677655809,0,0,0,0,1,0,0,0
245.045538737483,1,0,0,0,0,0,0,0
245.084821387311,0,0,0,0,0,0,0,1
245.085297012592,0,1,0,0,0,0,0,1
245.114324215602,1,1,0,0,1,0,1,1
245.175860181487,1,0,0,0,0,0,0,0
247.024814295629,0,0,0,0,0,1,0,0
247.06117641442,0,0,0,0,0,1,0,0
247.939889960045,0,0,0,1,0,0,0,1
249.004086514732,0,0,0,0,0,0,1,0
249.040467863897,1,0,0,0,0,1,1,0
249.043362560456,0,1,0,0,0,0,0,1
249.043829910249,0,1,0,0,0,0,0,1
249.076889830027,1,0,0,0,0,1,0,0
