,ECA2_0041_01.a_p1,ECA2_0041_02.a_p1,ECA2_0041_03.a_p1,ECA2_0041_04.a_p1,ECA2_0041_05.a_p1,ECA2_0041_06.a_p1,ECA2_0041_07.a_p1,ECA2_0041_08.a_p1,ECA2_0041_09.a_p1,ECA2_0041_10.a_p1
200.09281754081,1,0,1,1,0,0,0,0,1,0
201.037911980601,0,0,0,0,0,0,0,1,0,0
201.088067155062,0,0,1,1,0,0,0,0,0,0
201.124444794287,0,1,1,1,0,1,0,0,0,0
201.149612848737,0,0,0,0,0,0,0,0,1,0
205.046571361625,0,0,0,1,0,0,0,0,0,0
205.047430360438,0,0,0,1,0,0,0,0,0,0
205.087008788966,0,0,0,0,0,0,0,0,0,1
206.082263331582,0,1,0,0,0,1,0,1,0,0
207.029899091282,1,0,0,0,1,1,0,0,1,0
207.066283233563,0,0,0,0,0,1,0,0,0,0
209.009149823193,0,0,1,0,0,0,0,1,1,0
209.045531739112,1,1,0,0,0,0,1,0,1,1
209.094807182265,0,0,1,0,0,0,0,0,0,0
211.024813932517,1,0,0,0,0,0,0,0,1,0
213.030541442359,0,1,0,0,0,0,0,0,0,0
213.963804515613,1,0,0,0,0,0,0,0,0,0
215.128909134367,0,0,1,0,0,0,0,0,0,0
215.165251165895,1,0,0,0,0,0,0,1,1,0
216.087699739865,0,0,1,1,0,0,0,0,0,0
218.103380013694,0,1,1,1,0,1,1,0,0,1
221.045505511615,1,0,0,0,0,1,0,0,0,0
221.093167178783,0,0,1,1,0,0,0,0,0,0
223.024764337093,1,1,0,0,0,0,0,1,1,1
223.061205057204,0,1,0,0,0,1,0,0,0,1
223.06453372143,1,0,0,0,0,0,0,0,0,0
223.097537814546,0,0,0,0,0,0,0,1,1,1
223.110403031857,0,0,0,0,0,1,0,0,0,0
224.201934608773,1,0,0,0,0,0,0,0,0,0
225.004067850545,0,0,0,0,0,0,0,1,1,0
225.04042670604,0,0,1,0,0,0,0,1,1,1
225.053346300421,0,0,0,0,0,0,0,0,0,1
227.050190906806,1,0,0,1,0,0,0,0,0,0
227.103712756213,0,0,0,1,0,0,0,0,0,0
227.140126711641,0,1,1,1,1,0,1,0,0,0
228.124070207313,1,1,1,1,0,0,0,0,0,0
229.15578506445,1,1,1,1,1,1,1,1,1,1
229.976044741319,1,0,0,0,0,0,0,0,0,0
230.012874265689,0,0,0,0,0,1,0,0,0,0
230.10337141027,1,0,1,1,1,0,0,0,1,0
231.066213087832,0,0,0,0,0,0,0,0,0,1
231.135001441115,0,0,1,1,1,0,0,0,0,0
232.093778983109,0,0,0,0,0,0,1,0,0,0
233.085278326514,0,0,0,0,1,1,1,0,1,1
233.121676157195,0,0,0,0,0,0,0,0,0,1
234.088448417193,0,0,0,0,0,0,0,0,1,0
235.02482248343,0,0,0,0,1,0,0,0,0,0
235.061203573925,1,0,1,0,0,0,0,0,1,1
235.097578928559,0,0,0,0,0,0,0,0,0,1
235.108814655229,0,1,1,1,1,1,1,0,1,0
236.125195701199,0,0,0,0,0,0,0,0,1,0
237.040483507492,1,0,0,0,1,1,0,0,1,1
237.076867410919,1,0,0,0,0,1,0,1,1,1
237.113244125764,1,0,0,1,0,0,1,1,1,0
238.127014209193,0,0,0,0,1,0,0,0,0,0
239.01970562526,0,0,0,0,0,0,0,0,1,1
239.03498258995,0,0,0,0,0,0,0,0,0,1
239.056102990688,1,1,0,0,0,1,1,1,0,1
240.07255285502,1,1,1,1,1,1,1,1,1,1
240.087752696221,0,1,1,0,0,0,0,0,0,0
241.035404817619,1,0,0,1,0,0,0,1,0,1
241.065801194904,1,1,1,1,1,1,1,0,0,0
241.119381262082,1,1,1,1,1,1,1,0,1,0
243.171444942575,1,1,1,1,1,1,1,1,1,1
244.082677655809,1,1,1,1,1,1,1,0,1,0
244.13033161353,0,0,0,1,0,0,0,0,0,0
245.012549866383,0,1,0,0,0,0,0,0,0,0
245.114324215602,1,0,0,1,0,1,0,0,1,0
247.024814295629,0,0,0,0,0,0,0,0,0,1
247.06117641442,1,0,0,0,0,0,0,0,0,1
247.064557244136,0,1,0,1,1,1,0,0,1,1
247.097606587005,0,0,0,0,0,0,0,0,0,1
247.112202357258,0,0,1,1,0,0,0,0,0,0
249.004086514732,0,0,0,0,0,0,0,0,1,0
249.040467863897,1,0,0,0,0,0,0,1,1,1
249.076889830027,1,0,0,0,0,0,0,0,1,1
249.079807465342,0,0,0,0,0,1,0,0,0,0
249.080247670156,0,1,1,1,1,1,1,1,1,1
249.113254751525,0,0,0,0,0,0,0,1,0,1
249.116632593935,1,1,0,1,0,0,0,0,1,0
251.01976940635,1,1,0,0,1,1,1,1,1,1
251.056133941414,1,0,0,1,1,1,1,1,1,1
251.092496275315,1,1,1,1,1,1,0,1,1,1
251.103766666715,0,1,1,1,0,0,1,0,0,0
251.113635791176,1,0,0,0,0,0,0,0,0,0
251.132272245617,0,0,0,0,0,0,0,0,1,0
252.072584617394,0,0,0,0,0,1,0,0,0,0
252.99899212853,0,0,0,0,0,0,0,0,1,0
253.03538516246,1,1,0,0,1,0,0,1,1,0
254.088204604412,1,1,1,1,1,1,1,1,1,1
254.091098744249,1,1,0,0,0,1,0,0,0,0
255.062297216038,1,1,1,1,1,1,1,1,1,1
257.079527887467,0,0,0,0,0,0,0,1,1,0
257.114316207114,1,1,1,1,1,1,0,0,1,0
258.09835108965,1,1,1,1,1,1,1,1,1,0
258.145973610707,0,1,1,1,1,1,1,0,0,0
259.027739485995,0,0,0,0,0,1,0,0,0,0
259.028223572559,0,1,1,1,1,1,1,1,1,1
259.121594642013,0,1,1,0,1,1,0,0,0,0
259.125677082206,0,0,1,0,0,0,0,0,0,0
259.129974451967,1,1,1,1,1,1,1,1,1,1
260.114016653173,0,0,0,0,0,0,1,0,0,0
260.150332232556,0,0,0,1,1,1,0,0,0,0
261.040499747034,1,0,0,0,0,0,0,0,1,1
261.043875774277,0,1,0,1,1,1,1,1,1,0
261.076848305366,0,0,0,0,0,0,0,1,0,1
261.088102050799,0,0,0,1,0,0,0,0,0,0
261.113272643658,0,1,0,0,0,0,0,0,0,0
261.124472801397,0,0,0,1,0,0,0,0,0,0
261.127829753306,1,1,1,1,1,1,1,1,1,0
261.170778997831,0,0,0,0,0,0,0,1,0,1
262.10858703746,0,1,0,0,0,0,0,0,0,0
262.129684335335,0,0,0,0,0,0,1,0,0,0
263.019720608659,1,0,0,0,0,0,0,1,1,1
263.056162162984,1,1,0,1,1,0,0,1,1,1
263.059518354884,0,1,0,0,1,1,0,0,1,1
263.092501343246,1,1,1,0,0,1,0,1,1,1
263.128918628623,1,1,0,1,1,1,1,1,1,1
263.132294307463,0,1,0,0,0,0,0,0,1,0
263.140121306846,1,1,1,1,1,1,1,0,1,1
264.108914241843,1,0,0,0,0,0,0,0,0,0
264.998978478457,0,0,0,0,0,0,0,1,1,0
265.035416012644,1,1,0,1,1,1,1,1,1,1
265.07175654152,1,1,1,1,1,1,1,1,1,1
265.108161078953,1,1,1,1,1,1,1,1,1,1
265.119415187426,0,1,1,1,1,1,1,0,1,0
266.051750238574,0,0,1,0,0,0,0,0,0,0
267.01468081692,1,0,0,0,0,0,0,1,1,1
267.051013014992,1,1,1,1,1,1,1,1,1,1
268.103857517646,1,1,1,1,1,1,1,0,1,0
269.030335719134,1,1,0,0,1,0,0,1,1,1
269.114329577129,0,0,0,0,1,1,1,1,0,0
270.145911696432,0,0,1,1,0,0,0,0,0,0
271.129983188619,1,1,1,1,1,1,0,0,1,1
271.16628095895,0,0,0,0,0,1,0,0,0,0
272.125225391015,1,1,1,1,1,1,0,0,0,0
272.161546866663,1,1,1,1,1,1,1,0,1,0
273.040493461949,0,0,0,0,0,0,0,0,1,1
273.080235019038,1,0,0,0,0,0,0,0,1,0
273.109211861709,0,1,1,1,1,1,0,0,0,0
273.145567033916,0,1,1,1,1,1,1,0,1,0
273.181975244804,0,0,0,0,0,1,0,0,0,0
274.140843189577,0,0,1,0,0,0,0,0,0,0
275.019686012876,0,0,0,0,0,0,0,0,1,1
275.019862249908,0,0,0,0,1,0,0,0,0,0
275.023069240981,0,1,1,1,1,1,0,1,1,1
275.056123708709,0,0,0,0,0,0,0,0,1,1
275.059523164066,0,0,0,0,0,0,0,0,0,1
275.092536767002,0,0,0,0,0,0,0,1,1,1
