,ECA2_0018_01.a_p1,ECA2_0018_02.a_p1,ECA2_0018_03.a_p1,ECA2_0018_04.a_p1,ECA2_0018_05.a_p1,ECA2_0018_06.a_p1,ECA2_0018_07.a_p1,ECA2_0018_09.a_p1,ECA2_0018_10.a_p1
200.972417782426,0,1,0,0,0,0,0,0,0
201.124444794287,1,1,1,1,1,1,1,1,1
201.149612848737,1,0,0,0,0,0,0,0,0
203.001940656736,0,0,0,0,1,0,1,0,1
203.128853809756,1,1,0,1,0,0,0,0,0
205.014241315858,0,1,0,1,1,1,1,0,0
205.050629724349,1,0,0,1,1,0,1,1,0
205.087008788966,0,1,0,0,0,0,0,0,0
207.029899091282,1,1,1,1,1,1,1,1,0
207.051957242863,0,0,0,0,0,0,1,0,0
207.066283233563,1,1,0,1,1,1,0,1,0
207.069644633925,0,0,0,0,1,0,0,0,0
207.1026667924,1,0,1,0,0,0,0,0,0
209.009149823193,1,1,1,1,1,1,1,1,0
209.045531739112,1,1,0,1,1,1,1,1,0
210.998895079396,0,1,0,0,0,0,0,0,0
211.024813932517,1,1,1,1,1,1,1,1,0
213.030541442359,0,0,0,0,0,1,0,0,0
213.124417403501,0,0,0,0,0,0,1,0,0
215.165251165895,1,0,0,1,1,1,0,0,0
216.052223332362,0,0,0,0,1,0,0,0,0
217.017627841702,0,0,0,0,0,1,0,0,0
217.119388146605,1,0,0,0,0,0,1,0,0
217.144545100215,1,0,0,0,0,0,0,0,0
218.103380013694,1,1,1,1,1,1,1,0,0
218.103440152306,0,0,0,0,0,0,0,1,0
218.898147245503,1,0,0,0,0,0,0,0,0
218.996831734425,0,0,0,0,1,0,0,0,0
219.029844142125,0,1,0,1,1,0,1,0,0
219.066276254624,1,0,0,1,0,0,0,0,0
221.004325919965,1,0,0,0,0,0,0,0,0
221.009152912676,1,1,1,1,1,1,1,1,0
221.012490360292,0,0,0,0,1,0,1,0,1
221.045505511615,1,1,1,1,1,1,1,1,0
221.08193544951,1,1,1,1,0,0,0,1,0
221.093167178783,1,0,1,0,0,0,0,0,0
223.024764337093,1,1,1,1,1,1,1,1,0
223.061205057204,1,1,1,1,1,1,1,1,0
223.097537814546,1,1,1,1,1,1,1,1,0
225.004067850545,0,0,0,0,1,1,0,0,0
225.04042670604,1,1,1,1,0,1,1,1,0
225.149717032531,0,0,0,1,0,1,0,0,0
227.019668270253,0,1,0,0,1,1,1,1,0
227.140126711641,0,1,0,0,0,0,1,0,1
229.035344803185,1,1,1,1,1,1,1,1,0
229.15578506445,1,1,1,1,1,1,1,1,1
229.180873709643,0,0,0,0,1,1,0,1,0
231.007847347919,0,1,0,0,0,0,0,0,0
231.135001441115,1,1,1,0,1,1,1,0,1
232.979853171469,0,0,0,0,0,0,0,1,0
233.009163412669,1,1,1,1,1,1,1,0,0
233.012473971547,0,0,0,0,0,0,0,1,0
233.04552952382,1,1,1,1,1,1,1,1,0
233.081924619241,1,1,0,0,0,1,0,0,0
233.118284006235,1,0,0,0,0,0,0,0,0
235.02482248343,1,1,1,1,1,1,1,1,0
235.061203573925,1,1,1,1,1,1,1,1,0
235.097578928559,1,1,0,1,0,1,0,0,0
235.108814655229,1,1,1,1,1,1,1,1,1
237.004097825784,1,1,1,1,1,0,1,1,0
237.040483507492,1,1,1,1,1,1,1,1,0
237.076867410919,1,1,1,1,1,1,1,1,0
237.113244125764,1,1,1,1,1,1,0,1,0
237.149632382166,0,0,1,0,0,0,0,0,0
239.01970562526,1,1,1,1,1,1,1,1,0
239.056102990688,1,1,1,1,1,1,1,1,1
239.165273751501,0,0,0,0,0,0,0,1,0
241.035404817619,1,1,1,1,1,1,1,1,0
241.046601866772,0,0,0,0,0,1,0,0,0
241.082989319069,0,0,0,0,1,1,0,0,0
241.119381262082,0,0,0,0,0,0,1,0,0
241.180897884247,1,1,0,0,0,1,0,0,0
243.033294284009,0,1,0,0,0,0,0,0,0
243.171444942575,1,1,1,1,1,1,1,1,1
243.196564362491,0,0,0,1,1,1,0,1,0
244.082677655809,0,0,0,0,0,1,0,0,0
244.13033161353,1,0,1,0,1,0,1,0,0
245.03027998601,0,1,0,0,0,0,1,0,0
245.08194645698,0,1,0,1,0,0,0,0,0
245.085297012592,0,0,0,0,1,0,0,0,1
245.114324215602,1,1,1,1,1,1,1,1,1
247.024814295629,1,1,1,1,1,1,1,1,0
247.028204403927,0,0,0,0,1,0,0,0,0
247.06117641442,1,1,1,1,1,1,1,1,0
247.097606587005,0,1,1,1,0,1,1,0,0
247.133998921942,0,1,0,1,0,0,0,0,0
247.137371430142,0,1,0,1,0,0,0,0,0
249.004086514732,1,1,0,1,1,1,1,1,0
249.040467863897,1,1,1,1,1,1,1,1,0
249.043829910249,0,0,0,0,1,0,1,0,1
249.076889830027,1,1,1,1,1,1,1,1,0
249.113254751525,1,1,0,1,0,1,0,1,0
249.152981215788,0,1,0,1,1,1,1,1,0
251.01976940635,1,1,1,1,1,1,1,1,1
251.056133941414,1,1,1,1,1,1,1,1,1
251.07859958616,1,1,1,1,1,1,1,1,1
251.092496275315,1,1,1,1,1,1,1,1,0
251.103766666715,1,1,1,1,1,1,1,1,1
251.132272245617,0,0,0,0,1,0,0,0,0
251.165286572202,0,0,0,0,0,1,0,0,0
252.072584617394,1,0,0,0,0,0,0,0,0
252.99899212853,0,0,0,0,1,0,0,0,0
253.02494913828,0,0,0,0,0,0,0,1,0
253.03538516246,1,1,1,1,1,1,1,1,1
253.180926979745,0,0,0,1,0,0,0,0,0
254.067040616627,0,0,0,0,0,0,0,1,0
255.014665808967,0,0,1,1,1,1,1,0,0
255.062297216038,1,1,1,1,1,1,1,1,1
255.069686139239,0,0,0,0,1,0,1,0,0
255.196579554938,1,1,1,1,1,1,1,1,0
257.030318065288,1,1,1,1,1,1,1,1,0
257.041559017234,1,0,0,0,0,0,0,0,0
257.045543870561,1,1,1,1,1,1,1,1,0
257.085353119604,0,0,0,0,1,0,1,0,1
257.114316207114,1,0,0,0,0,1,0,0,0
257.150730579266,0,0,0,0,0,1,0,0,0
257.212198821544,0,1,0,0,1,1,0,1,0
258.061905884261,0,0,0,1,0,0,0,0,0
258.09835108965,1,1,1,1,0,1,1,0,0
258.145973610707,1,1,1,1,1,1,1,1,1
259.009578823961,0,0,0,1,1,0,0,0,0
259.024846541681,0,0,0,0,1,0,0,0,0
259.061211474333,0,0,0,1,0,0,0,1,0
259.096624369109,0,0,0,0,0,0,0,0,1
259.100553370043,0,0,1,0,0,0,0,0,0
259.129974451967,1,1,1,1,1,1,1,1,1
259.191501035286,1,1,0,0,1,1,0,1,0
260.095784178823,0,0,0,0,0,0,1,0,1
260.099217598727,0,0,0,1,0,0,0,0,0
260.114016653173,0,1,0,0,0,0,0,0,0
261.004075995802,0,0,0,0,1,1,0,0,0
261.040499747034,1,1,1,1,1,1,1,1,0
261.043875774277,0,0,1,0,1,0,0,0,0
261.076848305366,1,1,0,0,1,1,0,1,0
261.080183936275,1,0,0,0,0,0,0,0,0
261.113272643658,1,1,1,1,1,1,0,1,0
261.116642352868,0,0,0,0,0,0,0,0,1
261.127829753306,1,0,1,1,1,1,0,0,1
261.955591546,1,1,0,1,0,0,0,0,0
262.100131005709,0,0,0,0,1,0,1,0,1
262.10858703746,0,0,0,0,1,0,1,0,1
263.019720608659,1,1,1,1,1,1,1,1,1
263.056162162984,1,1,1,1,1,1,1,1,1
263.059518354884,0,0,0,0,1,0,1,0,1
263.092501343246,1,1,1,1,1,1,1,1,0
263.128918628623,1,1,1,1,1,1,1,1,0
263.132294307463,0,0,1,1,1,0,0,0,0
263.140121306846,1,1,1,1,1,1,1,1,1
263.165265369389,1,1,0,1,0,1,0,1,0
264.051354076773,0,1,0,1,0,0,0,0,0
