,ECA2_0005_01.a_p1,ECA2_0005_02.a_p1,ECA2_0005_03.a_p1,ECA2_0005_04.b_p1,ECA2_0005_05.a_p1,ECA2_0005_06.a_p1,ECA2_0005_07.a_p1,ECA2_0005_08.a_p1,ECA2_0005_09.a_p1,ECA2_0005_10.a_p1
200.09281754081,1,0,0,0,0,1,0,0,0,0
200.104001337258,0,0,0,0,0,0,1,0,0,0
201.088067155062,0,0,1,1,0,0,0,1,0,0
201.124444794287,1,0,0,0,0,1,0,0,0,0
203.001940656736,0,0,0,0,0,0,0,0,1,1
203.128853809756,0,0,0,0,0,0,0,0,0,1
204.06661728324,0,0,1,0,0,0,0,1,0,0
205.138075626401,0,0,0,0,0,0,0,0,0,1
206.045880927013,0,0,0,0,0,1,0,0,0,0
207.007774789501,0,0,0,0,1,0,0,0,0,0
207.029899091282,1,0,0,0,0,0,0,0,0,0
208.08259120397,0,0,0,0,0,0,0,0,1,0
209.009149823193,0,0,0,0,0,0,0,0,0,1
209.045531739112,1,0,0,1,0,1,0,0,0,0
211.024813932517,1,1,1,0,1,1,0,0,0,1
212.056459607158,0,0,0,0,0,0,0,0,1,1
213.124417403501,1,0,0,0,0,0,0,0,0,0
213.963804515613,0,0,0,0,0,0,0,1,0,0
214.072127155635,0,1,0,0,0,0,0,0,0,0
215.128909134367,0,0,0,1,0,0,0,0,0,0
215.992355946388,0,0,0,0,0,0,0,1,0,0
216.087699739865,1,0,0,0,0,1,1,0,0,0
217.035354402865,1,0,0,0,0,0,0,0,0,0
217.119388146605,0,0,0,0,0,0,1,0,0,0
218.103380013694,1,1,1,1,1,1,1,1,1,1
218.103440152306,0,0,0,1,0,0,0,0,0,0
218.996831734425,0,0,0,0,0,0,0,0,1,0
221.012490360292,0,0,0,0,0,0,0,0,0,1
222.077158045257,0,0,0,0,1,0,0,0,0,0
223.007017572629,0,0,0,0,0,1,0,0,1,0
223.024764337093,1,0,1,0,1,1,0,0,0,0
223.061205057204,0,0,0,0,0,0,0,0,0,1
223.097537814546,1,1,1,0,1,0,0,0,0,0
224.111415164411,0,0,0,0,0,0,1,0,0,0
225.04042670604,1,1,1,1,0,1,0,0,0,1
227.140126711641,1,1,1,0,1,1,0,1,1,0
229.119377411558,0,0,0,0,0,1,0,0,0,0
229.15578506445,1,1,0,0,1,1,1,0,1,1
230.10337141027,1,0,0,0,0,0,0,0,0,0
231.042770390114,0,0,0,0,0,0,1,0,0,0
231.135001441115,1,1,0,0,0,0,0,0,0,0
232.119050561104,0,0,0,1,0,0,0,0,0,0
233.118284006235,0,0,0,0,1,0,0,0,0,0
235.02482248343,1,0,0,0,0,0,0,0,0,0
235.061203573925,1,1,1,0,0,1,0,1,0,1
235.108814655229,0,1,0,0,0,0,0,0,0,0
235.146938008515,0,0,0,0,0,1,0,0,0,0
237.040483507492,1,0,0,0,1,1,0,0,0,1
237.076867410919,0,0,0,0,1,0,0,0,0,1
237.113244125764,1,1,1,0,1,0,0,0,0,0
239.01970562526,1,0,0,0,0,0,0,0,0,1
239.03498258995,0,0,0,1,0,0,0,0,0,0
239.056102990688,1,1,1,0,0,1,0,0,1,1
241.035404817619,1,0,0,0,0,1,0,0,0,0
241.046601866772,1,1,1,1,1,1,1,1,1,0
241.119381262082,1,0,0,0,0,1,0,0,0,0
242.004732317142,0,0,0,1,0,0,0,0,0,0
243.098649057827,1,0,1,0,0,1,0,0,0,0
243.171444942575,1,1,0,0,1,1,1,0,1,1
244.082677655809,1,0,0,0,0,1,0,0,0,0
244.13033161353,1,0,0,0,0,0,0,0,0,0
245.114324215602,1,1,1,0,1,1,1,1,1,1
245.140734185889,0,0,0,0,1,0,0,0,0,0
247.028204403927,0,0,0,0,0,0,0,0,1,0
247.06117641442,0,0,0,0,0,0,0,0,0,1
247.939889960045,0,0,0,0,0,0,0,1,0,0
248.035245955062,0,0,0,0,0,0,0,0,0,1
249.040467863897,0,1,0,0,0,0,0,0,0,0
