,ECA2_0019_01.a_p1,ECA2_0019_02.a_p1,ECA2_0019_04.a_p1,ECA2_0019_05.a_p1,ECA2_0019_07.a_p1,ECA2_0019_08.a_p1,ECA2_0019_09.a_p1,ECA2_0019_10.a_p1
292.118996995163,1,1,0,0,0,0,0,0
292.13028576484,0,1,0,0,0,0,0,0
293.030316334653,1,0,1,0,1,1,1,0
293.066707280246,1,1,1,1,0,1,0,0
293.114267381535,1,1,1,1,1,1,1,1
293.165195385237,0,0,0,1,0,0,1,0
293.212208631265,0,0,1,0,0,0,0,0
295.00951132373,0,0,0,1,1,1,0,0
295.04590311567,1,1,1,1,1,1,1,0
295.04608749858,0,0,0,0,0,0,0,1
295.19144189826,0,0,1,0,0,0,0,0
295.227829671269,0,0,0,0,0,1,0,0
296.100059394463,0,0,0,0,0,0,1,0
297.025193164039,0,0,1,1,0,1,0,0
297.040481669324,0,0,1,0,0,1,0,0
298.115631266661,0,0,0,0,0,0,0,1
298.177221206525,1,0,1,1,0,0,0,1
298.177378460651,0,1,0,0,0,0,0,0
299.040885905944,1,0,1,0,1,1,0,0
299.056107822858,0,0,0,0,1,0,0,0
299.149021672908,0,0,0,0,0,1,0,0
299.20165163915,0,0,0,0,0,1,0,0
300.072452790186,1,0,0,0,0,0,0,0
300.108988082627,0,1,0,0,0,0,0,0
300.192899891053,1,1,1,0,1,1,0,1
300.998955843029,1,1,1,0,1,1,0,1
301.035341309197,0,0,0,0,1,0,0,0
301.084785218452,0,0,1,0,0,1,0,0
301.108118324192,0,1,0,0,0,0,0,0
301.147861452454,0,0,0,0,0,1,0,0
301.157568702067,1,0,0,0,0,0,0,0
301.217310833324,0,0,0,0,0,1,0,0
302.13574432609,0,0,0,0,1,0,0,0
302.172131462719,1,1,1,0,1,1,0,1
303.069521655947,0,0,0,1,1,0,1,1
303.12381011849,0,0,0,0,0,1,0,0
303.173192746032,1,1,1,1,0,1,1,0
303.217659936381,1,1,1,1,1,1,1,1
304.053501649872,0,0,0,0,0,0,1,0
305.030274203965,1,1,0,0,1,1,0,0
305.066654821895,1,0,1,0,0,0,0,0
305.103064603926,0,0,0,0,0,1,0,0
305.175849498487,1,1,0,0,0,0,0,0
307.009519970076,0,0,0,0,1,1,0,0
307.026168289049,1,1,0,0,0,0,0,1
307.039417821218,1,0,0,0,0,0,0,0
307.045927506599,1,0,1,0,0,1,1,1
308.073598048318,1,0,0,0,0,1,0,0
308.138234674506,1,0,1,0,0,0,0,0
308.989650608362,0,0,0,1,0,0,0,0
