,ECA2_0024_01.a_p1,ECA2_0024_05.a_p1,ECA2_0024_06.a_p1,ECA2_0024_07.a_p1,ECA2_0024_08.a_p1,ECA2_0024_09.a_p1,ECA2_0024_10.a_p1
200.0118730864,0,0,0,0,0,0,1
208.015171870722,0,0,0,0,1,0,0
208.02850919226,1,0,0,0,0,0,0
209.009149823193,1,1,1,1,1,1,1
209.045531739112,0,0,0,0,0,1,0
209.11832078918,0,0,0,1,0,0,0
211.024813932517,0,1,0,0,1,1,0
213.02266546375,0,0,0,0,1,0,0
213.963804515613,0,0,0,0,0,1,0
218.103380013694,1,1,0,0,0,0,1
219.025788825153,1,0,0,0,0,0,0
222.010782869384,0,0,0,0,1,0,0
223.024764337093,0,1,1,0,0,0,0
225.04042670604,0,1,0,1,0,0,0
227.103712756213,0,0,0,0,0,0,1
227.140126711641,1,0,1,0,0,1,1
229.15578506445,0,0,0,0,0,1,0
230.10337141027,0,0,0,0,0,0,1
233.009163412669,0,0,0,0,1,0,0
235.02482248343,0,1,1,0,1,0,0
237.040483507492,0,1,0,0,1,0,0
237.076867410919,0,0,0,1,0,0,0
237.101000732231,0,0,0,0,1,0,0
237.116147829032,0,1,0,0,0,0,0
239.01970562526,0,0,0,0,1,0,0
239.03498258995,1,0,1,0,0,0,1
239.056102990688,1,1,1,1,0,1,1
241.035404817619,1,1,0,0,0,0,0
242.067042011868,1,0,0,0,0,0,0
243.171444942575,0,0,0,0,0,1,0
244.082677655809,0,0,0,0,0,1,0
245.114324215602,1,1,1,1,1,1,1
247.024814295629,0,0,1,0,0,0,0
249.040467863897,1,0,0,0,0,0,0
249.076889830027,0,0,1,0,0,0,0
251.01976940635,0,1,0,0,1,0,0
251.056133941414,0,0,1,0,0,1,1
251.07859958616,1,1,1,1,1,1,1
251.092496275315,0,0,1,0,0,0,0
251.984956499337,1,0,0,0,0,0,0
253.03538516246,0,0,0,1,0,0,0
255.062297216038,1,1,1,1,1,1,1
255.196579554938,0,0,0,0,0,0,1
257.048912729196,0,1,1,1,1,1,1
258.09835108965,0,0,0,1,0,1,0
258.145973610707,0,0,0,0,0,1,0
259.129974451967,1,1,1,1,1,1,1
259.191501035286,0,0,0,1,0,0,0
260.150332232556,0,0,0,0,0,0,1
261.955591546,1,1,0,0,1,1,1
263.056162162984,0,1,1,1,1,0,1
263.165265369389,0,0,0,1,0,0,1
264.047399140689,0,0,0,0,0,1,1
264.999853704141,0,0,0,0,1,0,0
265.035416012644,0,1,1,1,1,0,1
265.07175654152,1,1,1,1,0,1,1
265.108161078953,1,0,0,0,0,0,1
265.180917735873,0,0,0,1,0,0,0
265.898766382144,0,0,0,0,1,0,0
266.089479883299,1,0,0,1,0,1,1
266.118119093125,0,0,1,0,0,0,0
266.994272940638,1,1,0,1,0,1,1
267.051013014992,1,1,1,1,1,1,1
267.073503387235,1,1,1,1,1,1,1
269.030335719134,0,0,1,0,1,0,0
269.085344122802,0,0,0,0,1,0,0
269.121692324685,0,0,0,0,0,0,1
269.212206948243,0,0,1,1,0,1,1
273.109211861709,0,0,0,1,0,0,0
274.97106521367,1,0,0,0,0,0,0
275.019686012876,0,0,1,0,0,0,0
275.040884998183,0,0,0,1,0,0,0
275.095894541533,1,1,1,1,1,1,1
277.035388091511,0,1,1,1,0,0,0
277.059631820522,1,1,1,1,1,1,1
277.071780747801,1,1,1,0,0,0,1
277.086336644308,0,0,1,0,0,0,0
277.111485347462,1,0,1,1,0,0,1
278.067013845785,0,0,1,0,0,0,0
279.014622292583,0,1,1,0,1,1,0
279.05103605999,1,1,1,0,1,1,0
279.06634875781,0,1,0,1,0,0,1
279.098603709576,0,0,1,0,0,0,1
280.060083430889,1,1,1,1,1,1,1
280.077886972207,0,0,0,0,0,0,1
280.082702213768,0,1,0,0,0,0,0
281.030306431672,0,1,1,1,1,1,1
282.084373284142,0,0,1,1,0,0,1
283.04595745831,1,1,1,1,1,1,1
283.068429772895,1,0,0,1,0,0,1
283.100967866495,0,0,0,0,1,0,0
283.137346800078,0,1,1,0,1,0,1
283.227901399487,0,0,1,1,0,0,0
285.025195022631,0,0,0,0,1,0,0
285.074468900445,0,0,0,0,1,0,0
285.145553762835,0,0,0,1,0,0,0
287.055215643865,1,1,1,1,1,1,1
287.124855166614,0,0,0,1,0,0,0
288.156510341019,0,0,0,0,0,1,0
289.035335238622,0,1,1,1,0,0,0
289.108143001339,0,0,1,0,0,0,0
289.111520171072,0,0,0,1,0,0,1
290.116368830008,0,0,0,1,0,1,0
291.014598605754,0,0,0,1,1,0,0
291.050985782488,0,1,1,1,0,0,0
293.030316334653,0,0,1,1,1,1,0
293.066707280246,1,1,1,1,1,1,0
293.114267381535,1,1,1,1,1,1,1
295.00951132373,0,0,0,0,1,0,0
295.04590311567,1,1,1,1,1,1,1
295.137369757887,0,0,0,0,1,0,0
