,ECA2_0037_01.a_p1,ECA2_0037_02.a_p1,ECA2_0037_03.a_p1,ECA2_0037_04.a_p1,ECA2_0037_05.a_p1,ECA2_0037_06.a_p1,ECA2_0037_07.a_p1,ECA2_0037_08.a_p1,ECA2_0037_09.a_p1,ECA2_0037_10.a_p1
205.014241315858,1,0,0,0,0,0,0,0,0,0
207.029899091282,0,1,0,0,0,0,0,1,0,0
207.066283233563,0,0,0,1,0,0,0,0,0,0
209.009149823193,1,1,0,0,0,1,0,0,0,0
209.045531739112,0,1,0,0,0,0,0,0,0,0
211.024813932517,1,0,0,0,0,0,0,0,0,0
211.056272199319,0,0,0,0,0,0,1,0,0,0
215.001964732155,0,0,0,1,0,0,0,0,1,0
217.014238595712,0,0,0,0,0,1,0,0,0,0
218.103440152306,0,0,1,0,0,0,0,0,0,0
219.004729877838,0,0,0,0,1,0,0,0,0,0
221.058529745951,0,0,1,0,0,0,0,0,0,0
221.08193544951,0,0,0,0,0,0,0,1,0,0
223.024764337093,1,1,0,0,0,0,0,0,0,0
223.061205057204,0,1,0,0,0,1,1,0,0,0
223.097537814546,0,0,0,0,1,0,0,0,1,0
224.092839651188,0,0,0,1,0,0,0,0,0,0
225.04042670604,0,0,0,0,0,0,1,1,0,0
227.140126711641,0,0,0,0,0,0,0,0,0,1
229.035344803185,0,0,0,0,0,0,1,0,0,0
229.15578506445,0,0,0,0,1,0,0,0,0,1
235.02482248343,1,0,0,1,0,0,0,0,0,0
235.061203573925,1,1,0,1,0,1,1,0,0,0
235.137303493868,0,0,1,0,0,0,0,0,0,0
236.12444084684,0,0,0,0,0,0,0,0,1,0
237.040483507492,1,1,0,0,0,1,1,1,0,0
237.076867410919,1,0,0,1,1,1,1,1,1,1
237.113244125764,0,0,0,0,0,1,1,1,0,0
239.01970562526,1,0,0,0,0,0,0,0,0,0
239.03498258995,0,0,1,0,0,0,0,0,0,0
239.056102990688,1,1,1,1,1,1,1,1,1,1
241.035404817619,1,1,0,1,0,0,1,0,0,0
243.171444942575,0,0,0,0,0,0,0,0,0,1
245.045538737483,0,0,0,0,0,0,1,0,0,0
247.024814295629,1,0,0,0,0,1,0,0,0,0
247.06117641442,0,0,0,1,0,0,0,0,0,0
247.939889960045,1,0,0,1,0,0,0,1,0,0
247.940023902024,0,0,0,0,1,0,0,0,0,0
247.966013226952,1,0,0,0,0,0,0,0,0,0
248.100155534904,0,0,0,0,0,0,0,0,1,0
249.004086514732,1,0,0,0,0,0,0,0,0,0
249.040467863897,1,0,0,1,0,0,1,1,0,0
249.076889830027,0,0,0,0,0,0,1,1,0,0
251.01976940635,1,1,0,1,0,1,1,0,0,0
251.056133941414,1,1,1,1,1,1,1,1,0,1
251.07859958616,1,1,1,1,0,1,1,1,1,0
251.092496275315,0,0,0,0,0,1,0,1,0,1
251.984956499337,0,0,0,0,0,0,0,0,0,1
253.01031361189,1,0,0,0,0,0,0,0,0,0
253.03538516246,0,1,1,1,0,1,1,0,1,0
255.062297216038,0,0,0,0,1,0,1,1,1,1
257.030318065288,1,0,0,0,0,0,0,0,0,0
257.077947553122,0,0,0,0,0,0,1,0,0,0
258.09835108965,0,0,0,0,0,0,0,1,0,0
259.079912698899,0,0,0,0,0,0,0,0,0,1
259.129974451967,1,1,1,1,1,1,1,1,1,1
259.191501035286,0,0,0,0,0,0,1,0,0,0
261.040499747034,0,1,0,0,0,0,0,0,0,0
261.955591546,1,1,1,1,1,1,1,1,1,1
263.019720608659,0,1,0,1,0,1,1,0,0,0
263.056162162984,1,1,0,1,1,1,1,1,1,0
263.092501343246,0,1,0,1,0,1,0,1,1,0
263.128918628623,0,0,0,0,0,0,1,1,1,0
263.143535534852,0,0,0,0,0,0,0,1,0,0
263.165265369389,0,0,0,0,0,0,1,1,0,0
264.047399140689,0,0,0,0,0,0,1,1,1,0
264.119360890465,1,0,0,0,0,0,0,0,0,0
265.035416012644,1,1,0,1,1,1,1,1,0,1
265.07175654152,1,1,1,1,1,1,1,1,1,1
265.108161078953,1,0,0,1,1,1,1,1,0,1
266.089479883299,1,0,1,0,0,0,0,1,1,0
266.994272940638,0,0,0,0,0,1,1,1,1,1
267.01468081692,1,0,0,0,0,0,0,0,0,0
267.051013014992,1,1,0,1,1,1,1,1,1,0
267.073503387235,1,1,0,0,0,0,1,0,1,0
269.030335719134,1,1,0,1,0,1,1,1,0,0
269.212206948243,1,0,0,0,0,0,1,1,0,0
270.061980946967,0,0,0,0,0,0,0,1,0,0
273.040493461949,1,1,0,1,0,1,1,0,1,0
274.97106521367,0,0,0,0,0,0,1,1,0,0
275.019686012876,0,1,0,0,0,0,1,0,0,0
275.056123708709,0,1,0,1,0,1,1,0,1,0
275.092536767002,0,0,0,0,0,0,0,1,0,0
275.128896904455,0,0,0,0,0,0,1,0,1,0
275.186391735762,0,0,0,0,1,0,1,0,0,0
276.029697887144,0,0,0,0,0,0,0,0,0,1
277.035388091511,1,1,0,1,1,1,1,1,1,0
277.059631820522,1,1,1,1,1,1,1,1,1,1
277.071780747801,1,1,0,1,1,1,1,1,1,1
277.108133008574,1,1,1,1,0,0,0,1,1,0
277.155803904556,0,0,0,0,0,0,0,0,0,1
279.014622292583,1,1,0,0,0,0,1,0,0,0
279.05103605999,1,1,1,1,1,1,1,0,1,1
279.06634875781,0,0,0,0,0,0,0,1,1,0
279.098603709576,1,0,0,0,0,0,0,0,0,0
280.060083430889,1,1,1,1,1,1,1,1,1,0
280.155345180767,0,0,1,0,0,0,0,0,0,0
281.030306431672,1,1,0,1,1,1,1,1,1,0
281.106400635685,0,0,0,0,1,0,0,0,0,0
282.061888615183,0,0,0,0,0,0,1,0,0,0
283.04595745831,1,1,1,1,1,1,1,1,1,1
283.137346800078,0,1,1,1,0,0,1,0,1,0
