,ECA2_0058_03.a_p1,ECA2_0058_04.a_p1,ECA2_0058_05.a_p1,ECA2_0058_06.a_p1,ECA2_0058_07.a_p1,ECA2_0058_08.a_p1,ECA2_0058_09.a_p1,ECA2_0058_10.a_p1
201.055750686987,0,0,0,0,0,0,1,0
204.030212021433,0,0,0,0,0,0,0,1
204.06661728324,0,0,0,0,0,1,1,1
205.027047760032,1,0,0,0,0,0,0,0
205.050629724349,0,0,1,0,0,0,0,1
207.029899091282,1,0,0,0,0,0,0,0
208.076113273447,0,0,1,0,0,0,0,0
209.045531739112,0,1,0,0,1,1,0,0
209.085281037297,0,0,0,0,0,0,0,1
209.945415956482,1,0,0,0,0,0,0,0
210.051951551789,1,0,0,0,0,0,0,0
211.959401161964,1,0,0,0,0,0,0,0
213.099273435863,0,0,0,0,1,0,0,0
214.072127155635,0,0,0,1,0,0,0,1
215.128909134367,1,0,0,0,0,0,0,0
218.103380013694,1,0,1,1,1,1,1,1
218.103440152306,0,1,0,0,0,0,0,0
219.029844142125,1,0,0,0,0,0,0,0
219.052335918649,0,0,0,0,1,0,0,0
219.139058066111,0,0,0,0,0,0,1,0
221.045505511615,0,0,0,0,0,0,0,1
221.08193544951,1,1,0,1,1,1,0,0
221.118267307335,1,0,0,1,0,1,0,0
223.024764337093,0,0,0,0,0,0,0,1
223.061205057204,1,0,1,1,1,0,0,1
223.097537814546,1,0,1,1,1,1,1,0
223.097670255039,0,1,0,0,0,0,0,0
225.04042670604,1,1,1,1,0,0,1,1
227.034959631463,1,0,0,0,0,0,0,0
227.140126711641,0,0,0,0,0,1,1,1
228.051330010739,1,0,0,0,0,0,0,0
229.017567396488,0,0,0,0,0,0,1,0
229.042352546634,0,0,1,0,0,0,0,0
231.066213087832,1,0,0,0,0,0,0,0
235.02482248343,0,0,0,0,0,0,0,1
235.061203573925,0,0,0,1,1,0,1,1
235.097578928559,1,0,0,1,0,0,0,1
235.133978679767,0,0,0,1,1,0,0,0
237.040483507492,1,0,1,1,0,0,1,1
237.076867410919,1,0,1,1,1,1,0,1
237.113244125764,1,1,1,1,1,1,1,1
237.149632382166,0,0,1,0,1,0,0,0
238.072102331914,0,0,1,0,0,0,0,0
239.03498258995,0,0,0,0,1,0,0,0
239.056102990688,0,1,1,1,1,1,0,1
240.051383979353,0,0,0,0,0,0,0,1
240.087752696221,1,0,0,1,0,0,0,0
241.035404817619,0,0,0,1,1,0,0,1
241.180897884247,0,0,1,1,0,1,0,0
242.067042011868,0,0,0,0,1,0,0,1
243.014641879178,0,1,0,0,0,0,0,0
244.082677655809,0,0,0,1,0,0,1,0
245.012549866383,0,0,0,0,0,0,0,1
245.045538737483,0,0,0,0,0,0,0,1
245.114324215602,1,0,0,0,1,1,1,1
247.097606587005,1,0,0,0,0,0,0,0
249.040467863897,1,0,0,1,0,0,0,1
249.076889830027,0,0,0,1,1,1,0,0
249.113254751525,0,0,0,1,0,0,1,1
250.072098410503,0,0,0,0,0,0,0,1
251.056133941414,1,0,1,1,0,1,1,1
251.078082541343,1,0,1,0,1,1,1,0
251.07859958616,1,1,1,1,1,1,1,1
251.092496275315,1,1,1,1,1,1,1,1
251.113635791176,0,0,1,0,0,0,0,1
251.165286572202,1,0,0,0,1,0,0,0
252.051393633391,0,0,0,0,0,0,0,1
252.087763875716,1,1,0,1,0,0,0,0
253.03538516246,0,1,0,1,1,0,1,0
253.180926979745,0,0,0,0,0,1,0,0
254.067040616627,0,0,1,1,1,0,0,0
255.062297216038,1,1,1,1,1,1,1,1
255.066322802143,1,0,1,0,1,0,0,0
255.196579554938,1,0,0,0,0,1,0,0
257.030318065288,0,0,1,1,1,0,1,1
257.048912729196,0,0,0,0,0,0,1,0
257.077947553122,1,0,1,1,0,1,1,0
258.061905884261,0,0,0,1,1,0,1,1
258.09835108965,0,1,1,1,0,1,1,1
258.991770986541,0,0,0,0,1,1,0,0
259.061211474333,0,0,0,1,1,0,0,0
259.129974451967,1,1,1,1,1,1,1,1
259.191501035286,0,0,0,0,0,1,0,0
261.040499747034,0,0,1,0,0,0,0,0
261.043875774277,0,0,0,1,0,0,0,0
261.076848305366,1,0,0,1,1,0,0,1
261.113272643658,0,0,0,0,0,0,0,1
261.955591546,1,1,0,1,1,1,1,1
262.035708061689,0,0,0,0,0,0,0,1
263.056162162984,1,1,1,1,1,0,0,1
263.059518354884,0,0,0,1,0,0,0,0
263.092501343246,1,0,1,1,1,0,1,1
263.128918628623,1,0,1,1,1,1,1,1
263.165265369389,0,1,1,1,1,1,1,0
263.93736401691,0,0,0,0,0,0,0,1
264.047399140689,1,1,1,1,1,1,1,0
264.051354076773,0,0,0,0,0,0,0,1
264.087775574999,0,0,0,1,0,0,0,1
264.999853704141,0,1,0,0,0,0,0,0
265.035416012644,0,0,1,1,1,0,0,1
265.057856790769,0,1,1,0,0,1,1,0
265.07175654152,1,1,1,1,1,1,1,1
265.108161078953,1,1,1,1,1,1,1,1
265.180917735873,0,1,1,1,1,1,1,0
266.044467873695,1,0,1,0,1,1,1,0
266.067038262927,0,0,1,1,1,0,0,1
266.088949834144,0,0,0,0,0,0,1,0
266.089479883299,1,1,1,1,1,1,1,1
266.994272940638,1,1,1,1,1,1,1,0
267.01468081692,1,0,1,0,0,0,0,0
267.051013014992,1,1,1,1,1,1,1,1
267.062304980857,0,0,1,0,0,0,0,0
267.072910660589,0,0,0,0,1,0,0,1
267.073503387235,1,1,1,0,1,1,1,1
267.196602454627,1,1,1,1,1,1,1,0
268.046339522371,0,0,0,1,0,0,0,1
269.030335719134,1,1,1,1,1,1,1,1
269.04554913076,1,0,0,0,1,0,0,0
269.077814546662,0,0,0,0,1,0,0,0
269.081964016592,1,0,0,0,0,0,0,0
269.085344122802,0,1,0,0,0,0,0,0
269.212206948243,1,1,1,1,1,1,1,1
270.061980946967,0,0,1,1,1,0,1,1
271.061192022869,1,1,1,1,1,1,0,1
271.06457499118,0,0,0,0,0,0,1,0
271.093572437621,0,0,0,0,0,0,0,1
272.041246684907,0,0,1,0,0,0,0,0
273.025225111973,0,0,1,0,0,0,0,0
273.109211861709,0,0,0,0,0,0,1,0
274.97106521367,1,1,1,1,1,1,0,1
275.005379282527,1,0,0,1,1,1,0,1
275.019686012876,0,0,1,1,0,0,0,1
275.019862249908,0,0,0,0,0,0,1,0
275.023069240981,0,0,0,0,0,1,0,0
275.056123708709,1,0,0,1,1,0,1,1
275.059523164066,0,0,0,1,0,0,0,1
275.092536767002,0,0,0,1,1,0,1,1
275.128896904455,0,0,0,1,1,0,0,1
275.165238261631,0,0,0,1,0,0,0,0
277.020980276143,1,0,0,1,0,0,0,1
277.035388091511,1,0,1,1,1,0,1,1
277.050112830188,0,0,0,0,1,1,1,0
277.059631820522,1,1,1,1,1,1,1,1
277.071780747801,1,0,1,1,1,0,1,1
277.08291887767,0,0,0,0,0,0,0,1
277.086336644308,0,0,0,0,0,0,1,0
277.108133008574,1,1,1,1,1,1,1,1
278.067013845785,1,0,0,1,1,0,0,1
278.103406541299,0,0,0,0,0,0,0,1
279.014622292583,1,0,0,0,1,0,0,1
279.046980156585,0,1,0,0,0,0,0,0
279.05103605999,0,1,0,0,0,0,0,1
279.062280845692,0,0,0,1,0,0,0,1
279.06634875781,1,1,1,1,1,1,1,0
279.098603709576,1,0,1,1,1,0,1,1
280.012872974955,1,0,0,0,0,0,0,0
280.046300276918,0,0,1,1,0,0,0,1
280.060083430889,1,1,1,1,1,1,1,1
280.068704035316,1,1,1,0,0,1,1,0
280.082702213768,1,0,1,1,1,0,1,1
281.030306431672,1,0,1,1,1,0,1,1
281.052772041435,0,1,0,0,0,1,1,1
281.077870250365,0,0,1,0,0,0,0,1
281.089170168847,0,0,1,1,1,1,1,0
281.114286969833,0,0,0,1,0,0,0,0
281.114435329348,0,0,0,0,0,0,0,1
282.061888615183,1,0,1,1,1,1,1,1
282.084373284142,1,0,0,0,1,1,1,1
282.997034156324,1,0,0,0,0,0,0,0
283.04595745831,1,1,1,1,1,1,1,1
283.057131461354,0,0,1,0,0,0,0,1
283.061168520033,0,0,1,0,0,0,1,0
283.068429772895,1,1,1,0,1,1,1,1
283.093543606912,0,0,1,1,1,0,0,1
283.100967866495,0,1,0,0,0,0,0,0
283.137346800078,0,1,1,0,0,1,0,1
284.04118864771,0,0,1,1,1,0,1,1
285.025195022631,1,0,1,1,1,0,1,1
285.040424086902,1,0,0,0,0,0,0,0
285.043956622442,0,0,0,0,1,0,0,0
285.051111901968,0,0,0,1,0,0,0,0
285.076811975257,1,1,1,0,1,1,1,0
285.145553762835,0,0,0,0,0,1,1,0
287.019652973634,0,0,0,0,0,0,1,0
287.040868822099,1,1,1,1,1,0,1,1
287.055215643865,1,1,1,1,1,1,1,1
287.056056994507,0,0,0,0,1,0,0,0
287.09249808681,0,0,0,0,1,0,0,1
287.124855166614,1,0,0,0,0,1,1,1
287.165305832529,0,0,0,0,0,1,1,0
288.976931447395,0,1,0,0,0,0,0,0
288.986668240638,0,0,1,0,0,0,0,0
289.035335238622,1,1,1,1,1,0,1,1
289.071733504922,1,0,1,1,0,0,1,1
289.075126885359,0,0,0,1,0,0,0,0
289.083056783844,0,0,0,0,0,0,0,1
289.108143001339,1,0,0,1,1,0,0,1
289.144556135556,1,1,0,1,0,0,1,1
289.180941643669,0,0,1,1,1,1,1,0
290.160926828793,0,0,0,0,0,1,0,0
291.014598605754,1,0,0,1,0,0,0,1
291.050985782488,1,1,1,1,1,1,1,1
291.054341506538,0,0,0,1,1,0,0,1
291.062233422843,0,0,0,0,0,0,0,1
291.090755523447,0,0,0,0,0,0,0,1
291.098673822461,1,0,0,1,0,0,0,1
291.196548780538,1,1,1,1,1,1,1,1
292.046219924199,0,0,1,0,1,0,0,1
292.082602143204,1,0,1,1,1,0,1,1
292.118996995163,0,0,0,0,0,0,0,1
293.030316334653,1,0,1,1,1,1,1,1
293.066707280246,1,1,1,1,1,1,1,1
293.070069024992,0,0,0,0,0,0,0,1
293.07787801187,0,0,0,0,1,0,0,1
293.114267381535,1,0,1,1,1,1,1,1
293.165195385237,1,1,0,1,1,1,1,1
293.212208631265,1,1,1,1,1,1,1,0
294.061871238235,1,0,1,1,1,0,0,1
294.153381543189,0,0,0,0,0,0,1,0
295.00951132373,0,0,0,0,0,0,0,1
295.04590311567,1,1,1,1,1,1,1,1
295.057133625695,0,0,0,0,0,0,0,1
295.093548011142,0,0,1,1,1,0,1,1
295.19144189826,0,1,0,0,0,1,1,0
295.227829671269,0,1,1,1,1,1,1,1
296.041158658086,1,0,1,1,1,0,0,1
296.100059394463,0,0,0,0,1,0,0,0
297.025193164039,1,0,1,1,1,1,1,1
297.072866203068,0,0,1,1,1,0,0,1
297.109207742073,0,0,1,0,1,0,1,1
297.116608279898,0,1,0,0,0,0,0,0
297.12624105478,0,0,0,0,0,1,0,0
297.243503391361,1,0,1,0,1,1,0,1
299.040885905944,1,1,1,1,1,1,1,1
299.05201366191,0,0,0,0,0,0,0,1
299.056107822858,1,0,0,0,0,0,0,1
299.088512075541,0,0,1,1,1,0,0,1
299.141917249727,0,1,1,1,1,1,1,0
300.072452790186,1,0,1,1,1,1,1,1
300.990654090887,0,0,0,0,1,0,0,0
301.020162643022,0,0,1,0,0,0,0,1
301.035341309197,1,0,1,1,1,0,0,1
301.071730761426,1,0,1,0,1,1,1,0
301.075081548419,0,0,0,0,0,0,0,1
301.081458858793,0,0,0,0,0,0,0,1
301.084785218452,1,0,1,1,1,1,1,1
301.140531184752,0,0,0,0,0,0,0,1
301.157568702067,1,1,1,1,1,1,1,0
303.014615944586,0,0,1,0,0,0,0,0
303.035800609698,0,1,1,1,0,0,1,1
303.051014761484,0,0,1,1,1,0,0,0
303.054355132635,0,0,0,1,0,0,0,1
303.069521655947,1,1,1,1,1,1,1,0
303.087420249974,1,0,1,1,1,0,0,1
303.098587273424,0,0,0,0,0,0,0,1
303.12381011849,0,0,1,0,0,0,0,1
303.127082467759,1,0,0,0,1,0,0,0
303.160201209382,0,0,0,1,1,1,0,0
303.173192746032,1,1,1,1,1,1,1,1
303.199956903101,0,0,0,0,0,0,1,0
303.217659936381,1,1,1,1,1,1,1,1
304.00254759048,1,1,1,1,1,1,1,1
304.046306619031,0,0,0,0,0,0,0,1
304.053501649872,1,0,0,0,1,1,0,1
305.030274203965,1,0,1,1,1,0,1,1
305.033623792726,0,0,1,0,0,0,0,0
305.066654821895,1,1,1,1,1,1,1,1
305.070009125444,0,0,1,1,1,0,0,1
305.077841070476,0,1,0,0,0,0,0,1
305.103064603926,1,1,1,1,1,1,1,1
305.139456921456,1,1,1,1,1,1,1,1
305.153993244443,0,0,0,0,1,0,0,0
305.175849498487,1,1,1,1,1,1,1,1
307.009519970076,0,0,1,0,0,0,0,0
307.026168289049,0,1,1,1,1,1,0,0
307.045927506599,1,1,1,1,1,1,1,1
307.049277594713,0,0,0,1,1,0,0,1
307.057153955705,0,0,1,1,1,0,0,1
307.085693241582,0,0,0,0,0,0,0,1
307.093533716191,1,0,1,1,1,0,1,1
308.077605234938,1,1,1,1,1,0,1,1
308.207932311867,0,0,0,1,0,1,1,0
309.02518522443,1,1,1,1,1,0,1,1
309.064923531994,0,0,0,0,1,0,0,0
309.07282514098,0,0,1,1,1,0,1,1
309.109211875195,1,0,1,1,1,1,1,1
310.056812798433,1,0,1,1,1,0,1,1
310.10438568642,0,0,0,0,0,0,0,1
311.040842997254,1,1,1,1,1,1,1,1
311.051991022904,0,0,0,0,1,0,0,0
311.088446843845,1,0,1,1,1,0,1,1
311.124861410318,0,0,0,1,0,0,0,0
311.13223291676,0,1,0,0,0,0,0,0
311.178307662663,0,0,0,1,0,0,0,0
312.072550046252,1,1,1,1,1,0,1,1
313.020089602638,0,1,1,0,0,0,0,0
313.056500859105,1,1,1,1,1,1,1,1
313.067709645523,1,0,0,1,0,0,0,1
313.071784263219,1,0,0,0,0,0,0,0
313.075152061852,0,0,0,1,0,0,0,0
313.104086879243,1,0,1,1,1,0,0,1
313.147853219841,0,1,0,0,0,0,0,0
313.172915189152,0,0,1,0,0,1,0,0
313.180873706298,0,1,0,1,1,1,1,0
314.051789564094,1,0,1,1,1,0,1,1
315.035765556434,1,1,1,1,1,1,1,1
315.051086379127,1,0,0,0,0,0,0,0
315.054460350125,0,0,0,0,0,0,0,1
315.083397932647,0,0,0,0,0,0,0,1
315.087459716489,0,0,1,0,0,0,0,0
315.11975652484,0,0,0,0,1,0,1,1
315.123794914824,0,0,0,0,0,0,0,1
315.135091104142,0,0,0,0,1,0,0,0
315.196537048815,1,1,1,1,0,1,1,0
316.067365306295,1,0,1,1,0,0,0,1
316.082656401476,0,0,0,0,1,0,0,0
316.114988210583,0,0,1,0,1,0,1,1
316.151388768487,1,0,0,0,1,0,1,1
317.030261218142,1,0,1,1,0,0,1,1
317.03361650925,0,0,0,1,0,0,0,1
317.051456086289,1,1,1,1,1,1,1,1
317.066687796083,1,0,1,1,1,0,1,1
317.07004057736,0,0,1,0,1,0,0,1
317.077798002319,0,0,1,0,1,0,0,0
317.099069346302,1,0,1,1,1,1,1,1
317.103096216893,1,0,1,1,1,0,1,1
317.11431607447,0,0,0,0,0,0,0,1
317.212167373557,1,1,1,1,1,1,1,0
317.233373541543,0,0,0,0,0,1,0,0
318.098257929194,0,0,0,1,0,0,0,1
318.22859727698,0,0,0,0,0,0,1,0
319.009596531152,0,0,1,0,0,0,0,0
319.045941232075,1,1,1,1,1,1,1,1
319.049332300098,0,0,0,1,1,0,0,1
319.082295876229,1,1,1,1,1,1,1,1
319.085647606549,1,0,0,0,1,1,0,1
319.093567248856,1,0,1,0,1,0,0,1
319.118690232607,1,0,1,1,1,0,1,1
319.227874579288,0,1,1,1,1,1,1,0
320.041198944159,0,0,1,1,0,0,0,1
320.07753794792,1,0,1,1,1,0,0,1
320.11394026198,0,0,1,1,0,0,0,0
321.025154726554,1,1,1,1,1,1,1,1
321.061551978378,1,1,1,1,1,1,1,1
321.064905098228,0,0,0,1,1,0,0,1
321.072788932209,1,0,0,1,1,0,0,1
321.097982635803,1,1,1,1,1,1,1,1
321.101343113687,0,0,0,0,0,0,0,1
321.109186754614,1,0,1,1,1,0,0,1
321.137756545737,0,0,0,1,0,0,0,0
322.09321764639,1,1,1,1,1,1,1,1
322.187167160996,1,1,1,1,1,1,1,1
323.040869446973,1,1,1,1,1,1,1,1
323.0884668866,1,0,1,1,1,0,1,1
323.124866490106,0,0,1,1,0,0,0,1
323.16866461507,0,1,1,0,0,1,0,0
323.222792995701,0,0,0,0,0,0,1,0
324.072481239561,1,1,1,1,1,1,1,1
325.020080061909,1,1,1,1,1,1,1,1
325.056517335562,1,1,1,1,1,1,1,1
325.06774210194,0,0,1,0,1,0,0,1
325.104151262263,0,0,1,1,1,0,1,1
325.147929172056,0,1,0,0,0,0,0,0
326.051772671994,0,0,1,1,1,0,1,1
326.099371708674,0,0,0,0,0,0,0,1
327.035717224585,1,1,1,1,1,1,1,1
327.051027975317,1,0,0,0,0,0,0,0
327.083284359005,0,0,1,1,1,0,1,1
327.083464114777,1,0,0,0,0,0,0,0
327.087345024074,1,0,0,1,1,0,0,0
327.090745961451,1,0,0,0,0,0,0,0
327.119760814247,1,0,1,0,1,0,0,1
327.188493868284,0,0,1,0,0,0,0,0
328.013339790274,0,0,0,0,0,0,1,0
328.067429962418,1,0,1,1,1,1,1,1
328.095632160497,0,0,0,0,0,0,0,1
328.115051822739,0,0,0,0,0,0,1,0
328.151343467021,0,0,0,0,0,1,1,0
328.997276996598,1,0,0,0,0,0,0,0
329.030222012527,1,1,1,0,0,0,1,0
329.033601395872,0,0,0,0,0,0,0,1
329.051455290203,1,1,1,1,1,1,1,1
329.066687502906,1,0,0,1,0,0,1,1
329.070038391535,0,0,0,0,0,0,0,1
329.079723149283,1,0,1,1,1,0,1,1
329.106486060147,0,0,1,1,0,0,0,0
329.142812221389,0,1,0,0,0,0,0,0
329.145797849589,1,0,1,1,1,0,1,1
329.16577756136,0,0,0,0,0,0,1,0
329.24862576893,0,0,0,0,0,1,0,1
330.167007082931,1,0,0,0,0,0,1,0
331.030703384729,0,0,1,1,1,0,1,1
331.04599443956,1,0,1,1,1,1,1,1
331.049342838712,1,0,1,1,0,0,0,1
331.082339553397,1,0,1,1,1,1,1,1
331.085720535442,1,0,1,1,1,0,0,1
331.093648245021,0,0,1,0,0,0,0,1
331.11864424628,1,0,1,1,1,1,1,1
331.155074665797,1,0,0,1,1,0,0,1
331.19150873051,1,1,1,1,1,1,1,1
332.077523369263,0,0,0,0,0,0,0,1
332.125176044726,1,0,0,0,0,0,0,0
333.025203537804,1,0,1,1,0,0,1,1
333.046284489259,0,0,1,1,1,0,0,1
333.061621279429,1,1,1,1,1,1,1,1
333.064993206679,1,0,1,1,1,0,0,1
333.072882189752,1,0,0,0,1,0,0,1
333.101334099392,0,0,0,1,0,0,0,0
333.13431589464,1,1,1,1,1,1,1,1
333.156269705504,0,1,0,0,0,0,0,0
333.207151807676,1,1,1,1,1,1,1,1
334.056816773761,1,0,0,1,1,0,0,1
334.104404206182,0,0,0,0,0,0,0,1
334.129606978525,0,0,1,0,0,0,0,1
334.160996592871,0,0,1,0,0,0,0,0
334.223493066238,1,1,1,1,1,1,1,1
335.040827177713,1,1,1,1,1,1,1,1
335.04423642964,1,0,0,0,0,0,0,0
335.077281643427,1,1,1,1,1,1,1,1
335.080652250365,0,0,0,1,0,0,0,1
335.088508902396,1,0,1,1,1,0,1,1
335.125024113338,1,0,0,0,1,0,0,1
335.189796200668,0,0,0,1,1,0,0,0
335.22615573365,1,0,0,0,0,0,0,0
336.028701162973,1,0,1,1,0,0,1,0
336.0288732566,0,0,0,0,0,1,0,0
336.036019577986,1,0,0,0,0,0,0,1
336.072516720963,1,1,1,1,1,0,1,1
336.145208335093,0,0,0,0,1,0,0,1
337.020135431421,1,0,1,1,1,0,1,1
337.056543872599,1,1,1,1,1,1,1,1
337.059923736274,0,0,1,1,0,0,0,0
337.067780678479,1,0,1,1,1,0,1,1
337.104167557921,1,0,1,1,1,1,1,1
337.184266280886,0,0,1,0,1,1,0,0
337.193928001706,0,0,0,1,0,0,0,0
337.238402069644,1,1,1,1,1,1,1,0
338.051699341556,1,0,1,1,1,0,1,1
338.088107656659,1,0,1,1,1,0,1,1
339.015946950759,0,0,0,1,0,0,0,0
339.035826927654,1,1,1,1,1,1,1,1
339.047023003956,0,0,0,0,0,0,0,1
339.083433261328,1,0,1,1,1,1,0,1
339.119734473941,0,0,1,1,0,0,1,1
339.232897294627,0,0,0,0,0,0,1,0
339.25411484148,0,0,0,0,1,0,0,0
340.197706101679,1,1,0,0,0,1,1,0
341.026979850056,0,0,0,0,1,0,1,0
341.033690301501,0,0,0,1,0,0,0,0
341.051432806298,1,1,1,1,1,1,1,1
341.062655208984,0,0,0,0,0,0,0,1
341.067488290948,0,0,0,0,0,1,0,0
341.070175478338,0,0,0,0,0,0,0,1
341.079710504834,0,0,0,1,0,0,0,1
341.099067967905,0,0,1,1,1,0,0,1
341.116083556712,1,1,0,1,1,0,1,1
341.204180987506,0,0,1,0,0,0,0,0
342.046699610808,0,0,1,1,1,0,0,1
342.167025057996,0,0,0,1,0,1,1,0
343.030698713285,1,0,1,1,1,0,1,1
343.045930973354,1,0,0,0,0,0,0,0
343.049271793677,1,0,0,0,0,0,0,1
343.058965226189,0,0,0,1,1,0,0,1
343.070142890823,0,0,0,0,0,0,0,1
343.078383143967,1,0,1,0,0,0,0,0
343.082325259695,1,0,0,1,1,0,0,1
343.114637564607,0,0,0,1,1,0,0,1
343.118642673311,1,0,0,1,1,0,0,1
343.155088353528,1,0,0,0,0,0,0,0
343.165714993426,1,0,0,0,0,1,0,0
344.18266441874,1,0,0,1,1,0,1,0
345.025178166361,0,0,0,0,0,0,1,1
345.046318715642,1,1,1,1,1,1,1,1
345.061609991528,1,0,1,1,1,1,1,1
345.06497580668,1,0,0,0,1,0,0,1
345.067899908959,0,0,1,0,0,0,0,0
345.072947888342,0,0,0,0,0,0,1,1
345.085840613362,0,0,0,0,1,0,0,0
345.093889617814,0,0,0,0,0,0,0,1
345.097937172215,1,1,1,1,1,0,0,1
345.101315019446,1,0,1,1,1,0,1,1
345.1092627899,0,0,0,0,1,0,0,1
345.134332592676,1,1,1,1,1,1,1,1
345.162782047817,0,0,0,0,0,1,0,0
345.170766400863,1,1,1,1,1,1,1,1
345.256530360054,0,0,0,0,0,0,1,0
345.292937732577,0,0,0,0,1,0,0,0
345.974933798153,1,1,1,1,1,1,1,1
