,ECA2_0017_01.a_p1,ECA2_0017_02.a_p1,ECA2_0017_03.a_p1,ECA2_0017_04.a_p1,ECA2_0017_05.a_p1,ECA2_0017_06.a_p1,ECA2_0017_07.a_p1,ECA2_0017_08.a_p1,ECA2_0017_09.a_p1,ECA2_0017_10.a_p1
202.167352462106,1,0,0,0,0,0,0,0,0,0
202.947748264806,1,0,0,0,0,0,0,0,0,0
203.187793003122,0,0,0,0,0,0,0,1,0,0
205.050629724349,0,0,1,0,0,0,0,0,0,0
207.029899091282,0,0,1,0,0,0,0,0,0,0
209.01212576354,0,0,0,1,0,0,0,0,0,0
209.019622936953,1,0,0,0,0,0,0,0,0,0
209.045531739112,0,0,0,0,0,0,1,0,0,0
209.058340909121,0,0,1,0,0,0,0,0,0,0
215.001964732155,0,0,0,0,1,0,0,0,0,0
215.128909134367,0,0,0,1,0,0,0,0,0,0
217.126772772001,0,0,0,0,0,1,0,0,0,0
218.103380013694,1,0,1,0,0,0,0,0,0,0
223.024764337093,0,0,0,0,0,0,1,0,0,0
223.061205057204,0,0,1,0,1,0,0,0,0,0
223.06453372143,0,0,0,1,0,0,0,0,1,0
224.092839651188,0,1,0,0,0,0,0,0,0,0
224.945167025016,1,0,0,0,0,0,0,0,0,0
225.04042670604,1,1,1,1,1,1,1,1,1,1
225.088070271393,0,0,0,0,0,0,0,1,0,0
229.014210670953,0,0,0,0,1,0,0,0,0,0
229.035344803185,1,0,0,0,0,0,0,0,0,0
231.033374289099,0,0,0,1,0,0,0,0,0,0
232.994751450605,0,0,0,1,0,1,0,0,1,0
233.121676157195,0,0,0,0,0,1,1,1,0,0
235.02482248343,0,0,0,0,0,0,1,0,0,0
235.061203573925,1,1,1,1,0,0,1,0,0,0
236.132560076658,0,1,1,0,0,0,0,0,0,0
237.040483507492,0,0,1,0,0,0,1,0,0,0
237.076867410919,0,1,0,1,1,0,1,0,0,0
237.080217667489,0,0,0,0,0,0,1,0,0,0
237.113244125764,0,1,1,1,0,0,1,0,0,0
239.01970562526,0,0,0,0,0,0,1,0,0,0
239.03498258995,0,0,1,0,1,0,0,0,0,0
239.056102990688,1,1,1,1,1,1,1,1,0,1
239.059457697051,0,0,1,0,0,0,1,0,0,0
239.095856282684,0,0,0,0,0,0,1,0,0,0
241.035404817619,0,0,1,0,0,1,0,1,0,0
242.067042011868,0,0,1,1,0,0,0,0,0,0
244.082677655809,0,1,1,0,1,0,0,0,0,0
245.114324215602,0,1,0,0,0,0,0,0,0,0
247.028204403927,0,0,0,0,0,0,1,0,1,0
247.06117641442,0,0,0,0,0,0,0,1,0,0
247.155135947595,0,0,0,0,0,0,1,0,0,0
247.939889960045,1,0,0,0,0,0,0,0,0,1
249.076889830027,0,1,1,0,0,1,1,0,0,0
249.116632593935,0,0,1,1,0,1,1,1,0,0
251.01976940635,0,1,0,0,0,0,0,1,0,0
251.056133941414,0,1,1,1,0,1,1,1,1,0
251.059532992387,0,0,0,0,0,0,1,0,0,0
251.07859958616,0,0,1,0,0,0,0,0,0,0
251.092496275315,0,1,1,1,0,0,1,1,0,0
251.113635791176,0,1,0,0,0,0,0,0,0,0
252.087763875716,1,0,0,0,0,0,0,0,0,0
252.127407841411,0,0,1,0,0,0,0,0,1,0
253.03538516246,0,1,0,1,0,0,0,0,0,0
253.075171351508,0,0,1,1,0,0,1,0,1,0
253.11153714301,0,0,0,1,0,0,1,0,0,0
254.067040616627,0,1,0,0,0,0,0,0,0,0
255.062297216038,1,1,1,0,0,0,0,0,0,0
257.077947553122,0,1,0,0,0,0,0,0,0,0
257.114316207114,0,0,0,0,0,1,0,0,0,0
258.09835108965,1,1,1,0,1,0,0,0,0,0
259.028223572559,0,0,0,0,0,0,1,0,0,0
259.064557075396,1,0,0,1,0,0,0,0,0,0
259.129974451967,1,1,1,1,1,0,1,1,1,0
261.076848305366,0,1,0,0,0,1,0,0,0,0
261.116642352868,0,0,1,0,0,0,0,0,0,0
261.955591546,1,0,0,0,1,1,1,0,1,1
263.019720608659,0,0,0,0,0,0,0,1,0,0
263.056162162984,0,1,1,1,1,1,1,1,0,0
263.092501343246,0,1,1,1,0,0,0,0,0,0
263.128918628623,0,0,0,0,0,0,1,0,0,0
263.131770700229,0,0,0,0,0,0,1,0,0,0
263.132294307463,1,1,1,1,1,1,1,1,1,0
264.047399140689,0,0,1,0,0,0,0,0,0,0
264.999853704141,0,0,0,0,0,0,0,1,0,0
265.035416012644,1,1,1,1,0,1,1,1,0,0
265.07175654152,1,1,1,1,1,1,1,1,1,1
265.108161078953,1,1,1,1,1,1,1,1,1,1
265.111551658498,0,0,1,0,0,0,1,0,0,0
266.994272940638,0,0,1,1,0,1,1,0,1,0
267.045126721696,0,0,0,0,0,0,0,0,1,0
267.051013014992,0,1,1,1,1,1,1,1,1,0
267.073503387235,1,1,1,0,0,0,0,0,0,0
267.127176248894,0,0,1,1,0,0,1,0,0,0
267.196602454627,0,1,0,0,0,1,0,0,0,1
269.030335719134,0,0,0,0,0,0,1,0,0,0
269.077814546662,0,0,0,1,0,0,0,0,0,0
269.106461697911,0,0,0,1,0,0,1,0,1,0
271.986788271034,0,0,0,0,1,0,0,0,0,0
273.080235019038,0,0,0,0,1,0,0,0,0,0
275.005379282527,0,0,0,1,0,1,1,0,0,0
275.019686012876,0,0,0,0,0,0,1,0,0,0
275.056123708709,0,0,0,0,0,0,1,0,0,0
275.059523164066,0,0,0,0,1,0,1,0,1,0
275.092536767002,0,0,0,1,0,0,0,0,0,0
275.095894541533,0,0,0,0,1,0,0,0,0,0
277.020980276143,1,0,1,1,0,1,1,0,1,0
277.035388091511,1,1,0,1,0,1,1,1,0,0
277.059631820522,1,1,1,1,1,1,1,1,1,1
277.071780747801,1,1,1,0,1,1,1,1,1,1
277.108133008574,1,1,1,0,0,1,1,1,0,0
277.111485347462,0,0,1,1,0,0,0,0,0,0
277.147907776054,1,1,1,1,0,1,1,0,1,0
278.103406541299,0,0,0,0,1,0,0,0,0,0
279.05103605999,1,1,1,1,1,1,1,1,0,1
279.090803972825,0,0,0,1,0,0,1,0,0,0
279.127133342822,0,1,1,1,0,0,1,0,0,0
280.060083430889,1,1,1,1,1,0,0,1,0,0
280.082702213768,0,0,0,0,0,0,0,1,0,0
280.158675784771,0,0,0,0,0,0,1,0,0,0
281.030306431672,0,0,1,0,0,0,0,1,0,0
281.070031927484,0,0,1,0,0,0,1,0,0,0
281.106400635685,1,0,1,1,1,0,1,0,1,0
281.142831239658,0,0,1,0,0,0,1,0,0,0
283.04595745831,1,1,1,1,1,1,1,1,1,0
283.085653699483,0,0,0,0,0,0,1,0,0,0
283.100967866495,0,0,0,0,0,0,0,1,0,0
283.122047965493,0,0,1,1,0,0,1,0,0,0
283.137346800078,0,1,0,0,1,0,1,0,0,1
285.110997560942,0,0,0,1,0,0,0,0,0,0
287.055215643865,0,0,1,0,0,0,0,0,0,0
287.055377015065,0,1,0,0,0,0,0,0,0,0
287.191204767827,0,1,0,0,0,0,0,0,0,0
289.035335238622,0,0,0,0,0,0,1,0,0,0
289.038715491215,0,0,0,0,0,0,1,1,0,0
289.071733504922,0,0,0,0,0,0,1,0,0,0
289.147969505536,0,0,1,0,0,0,0,0,0,0
289.176164346507,0,0,0,0,0,0,1,0,0,0
289.184280973895,0,0,0,1,0,0,1,0,0,0
290.129765203327,0,0,0,0,0,0,1,0,0,0
291.031255819714,1,1,0,1,1,0,0,0,0,0
291.050985782488,0,1,1,1,0,0,1,1,0,0
291.090755523447,0,0,0,0,1,0,1,0,0,0
291.127153839027,0,0,0,1,0,0,0,0,0,0
291.163556759499,1,1,1,1,1,1,1,1,1,1
292.059284227189,0,0,0,0,0,0,1,0,0,0
293.030316334653,0,0,0,0,0,0,0,1,0,0
293.066707280246,1,1,1,1,1,1,1,1,1,1
293.070069024992,0,0,0,0,0,0,1,0,0,0
293.10645314903,0,0,1,1,0,0,1,0,0,0
293.114267381535,0,1,1,0,0,0,0,0,0,0
293.142838517349,0,0,0,1,0,0,1,0,0,0
295.04590311567,0,1,1,1,1,1,1,1,1,1
295.085643588218,0,0,1,1,0,0,1,0,1,0
295.122027175825,1,0,1,1,0,0,1,0,1,0
295.137369757887,0,1,0,1,0,0,0,0,0,0
295.158405803079,0,0,0,0,0,0,1,0,0,0
297.101363252173,1,0,1,1,0,0,1,0,0,0
297.116608279898,0,0,0,0,0,0,0,1,0,0
297.13772162422,0,0,1,0,0,1,1,0,0,0
297.158356173741,0,1,0,0,1,0,0,0,0,0
299.040885905944,0,1,1,0,0,0,0,0,0,0
299.157246356087,0,0,1,0,0,0,0,0,0,0
301.071730761426,0,1,1,0,0,0,1,1,0,1
301.075081548419,0,0,0,0,0,0,1,0,0,0
301.084785218452,0,0,1,1,0,0,0,0,0,0
301.111471697653,0,0,0,0,0,0,1,0,0,0
301.140531184752,0,1,0,0,0,0,0,0,0,0
301.157568702067,1,1,1,0,0,0,0,0,0,0
302.080840353647,0,0,0,0,0,0,0,1,0,0
302.13574432609,0,1,0,0,0,0,0,0,0,0
303.051014761484,0,0,0,0,0,0,1,1,0,0
303.054355132635,0,0,0,0,0,0,1,0,0,0
303.173192746032,1,1,1,1,0,0,0,0,0,1
303.217659936381,0,0,1,0,0,0,0,0,0,0
304.00254759048,0,1,1,0,0,1,0,0,1,0
305.030274203965,0,0,1,0,0,0,1,0,0,0
305.066654821895,0,1,1,1,1,1,1,1,1,1
305.070009125444,0,0,0,0,0,0,1,0,0,0
305.103064603926,1,1,1,1,1,1,1,1,0,1
305.106420819019,0,0,0,0,0,0,1,0,0,0
305.139456921456,1,1,0,0,0,0,1,1,0,0
305.142809955668,0,0,1,1,1,1,1,0,0,0
305.179224765367,0,0,0,0,0,0,1,0,0,0
306.174458901559,0,1,0,0,0,0,0,0,0,0
307.026168289049,0,0,0,1,1,0,0,0,0,0
307.045927506599,1,1,1,1,1,1,1,1,0,0
307.085693241582,0,0,0,0,0,0,1,0,0,0
307.122104008955,0,0,1,1,0,0,1,0,1,0
307.141200298423,1,0,0,0,0,0,0,0,0,0
307.190481847933,0,0,0,0,1,0,0,0,0,0
308.09205155266,0,0,0,0,0,0,0,1,0,0
309.064923531994,0,0,0,0,0,0,1,0,0,0
309.07282514098,0,0,0,0,1,0,0,0,0,0
309.101372678021,1,1,1,1,1,1,1,1,0,0
309.13777148819,0,0,1,1,0,1,1,0,1,0
311.040842997254,0,1,1,1,1,0,1,1,0,1
311.080595767258,0,0,0,0,0,0,1,0,0,0
311.117035068323,1,1,1,1,1,0,1,0,1,0
311.13223291676,0,0,0,0,1,0,0,0,0,0
311.153403286577,0,0,0,0,0,0,1,0,0,0
311.157010309643,0,0,0,0,0,0,0,0,0,1
313.056500859105,1,1,1,1,1,1,1,1,1,1
313.078509429947,1,0,0,0,0,1,0,0,0,0
313.104086879243,0,1,0,0,0,0,0,0,0,0
313.172915189152,1,1,0,1,1,0,0,0,1,1
315.087459716489,1,0,0,0,0,0,0,0,0,0
315.104654785919,0,0,0,0,1,0,0,0,0,0
315.16014911369,0,0,1,1,1,1,1,1,1,0
316.067365306295,1,0,1,0,0,0,0,0,0,0
316.114988210583,0,0,1,0,0,0,0,0,0,0
316.151388768487,1,0,1,0,0,0,0,1,0,0
316.906844380498,1,0,0,0,1,1,1,1,0,1
317.018879812688,0,0,0,0,0,1,0,0,0,0
317.066687796083,0,1,1,1,1,0,1,1,0,1
317.103096216893,0,0,1,0,0,0,1,0,0,0
317.106432196148,0,0,0,0,0,1,0,0,0,0
318.22859727698,1,1,1,1,1,1,1,1,1,1
319.000639036462,1,0,0,0,0,0,0,0,0,0
319.045941232075,0,0,0,1,1,1,0,1,0,0
319.082295876229,1,1,1,0,1,1,1,1,0,0
319.085647606549,0,0,0,0,0,0,1,0,0,0
319.118690232607,1,1,1,1,1,1,1,1,1,1
320.062462770473,0,0,0,0,0,0,0,0,1,0
321.061551978378,1,1,1,1,1,1,1,1,0,0
321.082701125213,0,0,1,0,0,0,0,0,0,0
321.097982635803,1,1,1,1,1,1,1,1,1,1
321.101343113687,1,0,0,0,0,0,1,0,0,0
321.137756545737,0,0,1,1,0,0,1,0,0,0
321.174131092406,0,0,1,1,0,0,1,0,0,0
322.187167160996,1,0,0,0,0,0,0,0,0,0
323.040869446973,0,0,1,1,0,1,1,1,0,0
323.080668631531,0,0,0,0,0,0,1,0,0,0
323.117036868633,1,0,1,1,0,0,1,0,1,0
323.153345605961,0,0,1,1,1,1,1,0,1,0
323.16866461507,1,1,1,1,1,0,1,0,1,1
325.056517335562,1,1,1,1,1,1,1,1,1,1
325.071724012524,0,0,0,0,0,0,1,0,0,0
325.096287577027,0,0,0,1,0,0,1,0,0,0
325.132644628998,1,1,1,1,0,0,1,0,1,0
325.147929172056,0,0,0,0,1,0,0,1,0,0
325.169004878163,0,0,0,0,0,0,1,0,0,0
327.087345024074,0,0,1,0,1,0,0,0,0,0
327.112071059288,0,0,0,0,0,0,1,0,0,0
327.188493868284,1,1,0,1,0,0,0,0,1,0
328.151343467021,0,1,1,0,0,0,0,0,0,0
329.043324072985,0,0,0,0,0,0,1,0,0,0
329.051455290203,0,1,0,0,0,0,0,0,0,0
329.066687502906,0,0,0,0,0,0,1,0,0,0
329.079723149283,1,0,1,1,1,0,1,0,1,0
329.139390121741,1,1,1,1,1,0,1,1,1,1
329.145797849589,0,0,0,0,0,0,0,1,1,0
329.16577756136,0,0,0,1,0,0,0,0,0,0
330.167007082931,1,0,0,0,0,0,0,1,0,0
330.922483564988,1,0,0,1,1,1,1,1,1,1
331.04599443956,0,0,0,0,0,1,1,1,0,0
331.049342838712,0,0,0,0,0,0,1,0,0,0
331.082339553397,1,1,1,0,0,0,1,1,0,0
331.155074665797,0,1,1,0,1,1,1,1,0,0
331.19150873051,0,0,0,0,0,1,0,1,0,0
333.038171758517,0,0,0,0,0,0,1,0,0,0
333.061621279429,1,1,1,1,1,1,1,1,1,1
333.13431589464,1,1,1,1,1,1,1,1,1,0
334.129606978525,0,0,0,1,0,0,0,0,0,0
334.223493066238,0,0,0,1,0,0,0,0,0,0
335.00305254878,1,0,0,0,0,0,0,0,0,0
335.039452128724,1,0,0,0,0,0,0,0,0,0
335.040827177713,0,1,0,1,0,1,1,0,0,0
335.077281643427,1,1,1,0,1,1,1,1,1,1
335.153334256139,0,0,1,0,0,0,1,0,0,0
335.189796200668,0,0,0,1,0,0,1,0,1,0
336.145208335093,1,1,1,0,0,0,1,0,0,0
337.056543872599,0,1,1,1,1,1,1,1,1,0
337.096246364344,0,0,0,0,0,0,1,0,0,0
337.09767274702,0,0,0,1,0,0,0,0,0,0
337.132614990239,0,1,1,1,1,0,1,0,1,0
337.169061311021,0,0,1,0,0,0,1,0,0,0
338.028329308703,0,0,1,0,0,0,0,0,0,0
339.035826927654,0,1,0,0,0,0,0,0,0,0
339.098696603614,0,0,0,0,0,0,1,0,0,0
339.111845849351,0,0,1,1,0,0,1,0,0,0
339.148317093124,0,0,1,1,0,0,1,0,0,0
339.184698483468,0,0,0,0,0,0,1,0,0,0
339.25411484148,0,1,0,1,0,0,0,0,0,0
339.965139544575,0,0,0,0,0,0,0,1,0,0
341.051432806298,0,1,1,0,0,0,1,0,0,0
341.064382111794,0,0,0,0,0,0,1,0,1,0
341.065506848547,0,0,0,0,0,0,1,0,0,0
341.079710504834,0,0,1,0,0,0,0,0,0,0
341.116083556712,0,0,1,0,0,0,1,0,0,0
341.127524112808,0,0,0,0,0,0,1,0,0,0
