,ECA2_0050_01.a_p1,ECA2_0050_02.a_p1,ECA2_0050_03.a_p1,ECA2_0050_04.a_p1,ECA2_0050_05.a_p1,ECA2_0050_06.a_p1,ECA2_0050_07.a_p1,ECA2_0050_08.a_p1,ECA2_0050_09.a_p1,ECA2_0050_10.a_p1
201.124444794287,0,0,0,0,0,0,0,0,0,1
203.0349762395,0,0,0,0,0,1,0,0,0,0
205.087008788966,0,0,0,1,0,0,0,0,1,0
206.058689980162,0,0,0,1,0,0,0,0,0,0
207.029899091282,0,0,0,0,1,0,1,0,0,0
209.009149823193,1,1,1,0,1,0,1,1,0,0
209.045531739112,1,1,1,1,1,0,1,0,0,0
209.094807182265,0,0,0,0,0,0,1,1,1,1
211.024813932517,1,1,1,0,1,1,1,0,1,0
213.10509169979,1,0,0,0,0,0,0,0,0,0
215.001964732155,1,0,0,0,0,0,0,0,0,0
215.005015495658,0,1,0,0,0,0,0,0,0,0
215.165251165895,0,1,0,0,0,0,0,0,0,0
217.029452730673,0,0,0,0,0,1,0,0,0,0
218.103380013694,1,1,1,1,1,1,0,1,1,0
220.051525351702,0,1,0,0,0,0,0,0,0,0
220.061483371627,0,0,0,0,0,0,0,0,1,0
221.045505511615,0,0,1,0,0,0,1,0,0,0
221.08193544951,0,0,0,1,0,0,0,0,1,0
223.024764337093,1,1,0,0,1,0,1,1,1,0
223.061205057204,1,0,0,0,0,0,0,1,0,0
223.097537814546,0,0,0,1,0,0,1,1,1,0
225.04042670604,0,1,1,0,1,0,1,1,0,0
227.103712756213,0,0,0,0,0,0,0,0,1,0
227.140126711641,1,1,0,0,1,0,1,1,1,1
229.035344803185,1,0,1,0,1,0,0,0,0,0
229.15578506445,0,1,0,0,1,1,1,1,1,1
230.068241281707,0,0,0,0,0,0,0,0,0,1
230.154956670998,0,0,0,0,1,0,0,0,0,0
230.99991269775,0,1,0,0,0,0,0,0,0,0
231.052270440064,0,0,1,0,0,0,0,0,0,0
233.009163412669,0,1,0,0,0,0,0,0,0,0
233.04552952382,0,0,0,0,1,0,0,0,0,0
233.085278326514,0,1,0,0,0,1,0,0,0,0
235.02482248343,1,0,0,0,1,0,1,0,0,0
235.061203573925,1,0,1,0,1,1,1,1,1,0
235.097578928559,0,0,0,0,0,0,0,0,1,0
235.108814655229,0,0,0,0,0,0,0,0,0,1
237.040483507492,1,0,1,0,1,0,1,0,0,0
237.076867410919,1,0,1,0,1,0,1,0,1,0
237.113244125764,0,0,0,0,0,0,1,1,1,1
239.01970562526,0,0,1,0,1,0,1,0,0,0
239.056102990688,1,1,1,1,1,1,1,1,1,0
239.067368242209,0,0,0,0,1,1,1,1,1,1
241.035404817619,1,1,0,0,1,0,1,0,0,0
241.046601866772,0,0,0,0,0,0,1,0,0,0
241.082989319069,0,0,0,0,1,0,0,0,0,0
242.067042011868,0,0,0,0,0,0,0,0,1,0
243.171444942575,1,0,1,0,0,0,1,0,1,1
244.082677655809,0,1,0,0,0,0,0,0,0,0
245.084821387311,0,0,0,0,0,0,0,0,0,1
245.085297012592,0,0,0,0,0,0,0,0,0,1
245.114324215602,1,1,1,1,1,1,1,1,1,0
246.098356112807,0,0,0,0,0,0,0,0,1,0
246.993179492417,0,1,0,0,0,0,0,0,0,0
247.024814295629,0,1,0,0,0,0,0,0,0,0
247.06117641442,0,1,0,0,0,0,0,0,0,0
247.155135947595,1,0,0,0,0,0,0,0,1,0
248.07833187305,0,0,1,0,0,0,0,0,0,0
249.040467863897,0,1,1,0,1,0,1,0,0,0
249.076889830027,1,0,0,0,0,0,0,0,0,0
251.01976940635,1,1,1,0,1,1,1,1,0,0
251.056133941414,1,1,1,0,1,1,1,1,0,0
251.070692088711,0,0,0,1,0,0,0,0,0,0
251.078082541343,0,0,0,1,0,0,0,0,0,0
251.07859958616,1,1,1,1,1,1,1,1,1,0
251.092496275315,1,1,1,1,1,0,1,1,1,0
253.03538516246,1,1,1,0,1,0,1,1,1,0
255.062297216038,1,1,1,1,1,1,1,1,1,1
255.196579554938,0,0,0,0,0,0,1,0,0,0
256.039621621071,0,1,0,0,0,0,0,0,0,0
257.030318065288,1,0,0,0,0,0,1,0,0,0
257.048912729196,0,1,0,0,0,0,0,0,0,0
257.081989912799,0,0,0,0,1,1,1,0,1,0
257.114316207114,1,0,0,0,0,0,1,0,0,0
258.09835108965,1,0,1,0,1,0,0,1,0,0
258.145973610707,1,0,1,0,0,0,1,0,0,1
258.991770986541,0,0,0,0,1,1,0,0,0,0
259.129974451967,1,1,1,1,1,1,1,1,1,1
259.1815904391,0,0,0,0,0,0,0,0,0,1
261.004075995802,0,0,0,0,1,0,0,0,0,0
261.040499747034,1,0,1,0,0,0,1,0,0,0
261.076848305366,0,0,0,0,1,0,0,0,0,0
261.116642352868,0,1,0,0,0,0,0,0,0,0
261.124472801397,0,0,0,0,0,0,0,0,1,0
261.170778997831,0,0,0,0,0,0,1,1,1,1
261.955591546,1,1,1,1,0,1,0,1,0,1
263.019720608659,0,0,1,0,1,0,1,0,0,0
263.056162162984,1,1,1,0,1,0,1,0,0,0
