,ECA2_0054_04.a_p15,ECA2_0054_05.a_p1,ECA2_0054_06.a_p15,ECA2_0054_09.a_p15,ECA2_0054_10.a_p15
251.113635791176,0,0,1,0,1
253.03538516246,1,0,1,0,0
255.062297216038,1,1,1,1,1
255.066322802143,0,0,1,0,0
255.196579554938,0,1,1,0,1
257.045543870561,0,0,1,0,0
257.081989912799,0,0,1,0,1
257.114316207114,1,0,0,0,1
257.212198821544,0,0,1,0,1
258.09835108965,1,0,1,0,0
258.145973610707,0,1,0,0,0
259.061211474333,0,0,1,0,0
259.129974451967,1,1,1,0,1
259.191501035286,0,0,1,0,1
261.076848305366,0,0,1,0,0
261.113272643658,0,0,1,0,0
261.124472801397,0,0,1,0,0
261.955591546,0,1,0,0,0
262.140883484724,0,1,0,0,0
263.019720608659,1,0,1,0,1
263.056162162984,1,0,1,0,1
263.092501343246,0,0,1,0,0
263.128918628623,0,0,1,0,0
263.140121306846,0,1,0,0,0
263.165265369389,0,0,1,0,0
264.047399140689,0,1,0,0,0
264.108914241843,0,0,0,1,0
265.035416012644,1,1,1,0,0
265.057856790769,1,0,1,1,0
265.07175654152,1,1,1,0,1
265.108161078953,1,1,1,1,1
265.115363524139,0,0,0,0,1
265.119415187426,0,1,1,0,0
265.1268821752,0,1,0,0,0
265.180917735873,0,0,1,0,0
266.067038262927,0,0,0,0,1
266.089479883299,1,1,1,0,0
266.994272940638,0,0,0,1,0
267.01468081692,1,1,0,0,0
267.051013014992,1,1,1,1,1
267.073503387235,0,1,0,0,0
267.196602454627,1,0,1,0,1
269.030335719134,1,0,0,0,1
269.114329577129,0,0,1,0,0
269.212206948243,1,1,1,1,1
271.129983188619,1,0,0,0,0
271.228003536369,1,0,0,0,0
272.161546866663,0,1,0,0,0
273.040493461949,0,0,1,0,0
273.109211861709,1,0,1,0,0
275.056123708709,1,0,1,0,0
275.092536767002,1,1,1,0,0
275.097286459199,0,0,1,0,0
275.103723415877,0,0,1,0,0
275.116715718167,1,0,0,0,0
275.165238261631,0,0,0,0,1
275.186391735762,1,0,1,0,1
277.035388091511,1,0,1,0,1
277.050112830188,1,0,1,0,0
277.059631820522,1,1,1,1,1
277.071780747801,1,0,1,0,1
277.108133008574,0,0,1,0,1
277.122772416163,0,1,0,0,0
277.155803904556,0,1,1,0,0
277.184329733989,0,0,0,1,1
278.114565014363,0,1,0,0,0
278.124559603018,0,0,1,0,0
279.014622292583,1,0,1,0,1
279.05103605999,0,1,1,0,1
279.061519343932,1,0,0,0,0
279.06634875781,1,0,1,0,0
279.098603709576,0,1,1,0,1
279.134995754144,0,1,0,0,0
280.060083430889,1,1,1,0,1
280.068704035316,1,0,0,0,0
281.0042589029,0,0,0,1,0
281.030306431672,1,1,1,0,0
282.084373284142,0,1,0,0,0
283.04595745831,1,1,1,0,1
283.129936152649,0,0,1,0,0
283.137346800078,1,0,1,0,1
283.227901399487,1,0,1,0,1
284.069447655305,1,0,0,0,0
284.161546932859,0,1,1,0,1
285.116568006492,1,0,1,0,0
285.145553762835,1,0,1,0,0
286.17717909044,0,1,1,0,0
286.975019755764,0,0,0,1,0
287.040868822099,0,0,1,0,1
287.055215643865,1,1,1,0,1
287.09249808681,0,0,1,0,0
287.124855166614,1,0,1,0,0
288.156510341019,0,1,1,0,0
289.032154422007,0,0,0,1,0
289.035335238622,1,0,1,0,0
289.108143001339,0,0,0,0,1
289.201990941965,1,0,1,1,1
290.139739501456,0,0,1,0,0
291.014598605754,1,0,1,0,1
291.050985782488,1,1,1,0,1
291.102694383364,0,0,0,1,0
291.196548780538,0,0,1,0,0
291.199906441386,0,0,0,1,0
292.042240650347,1,0,1,0,0
292.082602143204,1,0,0,0,0
292.13028576484,0,1,0,0,0
292.176549658728,0,0,1,0,1
293.030316334653,1,1,1,0,1
293.066707280246,1,1,1,0,1
293.114267381535,1,1,1,0,1
293.15064965365,0,1,0,0,0
293.212208631265,1,0,1,0,1
294.042211041711,1,0,0,0,0
295.00951132373,1,0,0,0,0
295.04590311567,1,1,1,0,1
295.122027175825,0,0,1,0,0
295.137369757887,0,0,0,0,1
295.19144189826,1,0,1,0,0
295.227829671269,1,1,1,0,1
296.054211682584,0,0,0,1,0
296.100059394463,1,1,1,1,1
296.125176650321,1,0,1,0,0
297.025193164039,0,0,1,0,0
297.145659653758,1,0,0,0,0
297.158356173741,0,0,1,0,1
297.243503391361,1,0,1,0,1
298.140824139837,0,0,1,0,0
298.177221206525,0,1,1,0,1
299.040885905944,1,0,1,0,0
299.141917249727,0,0,1,0,0
299.161255970354,1,0,1,0,0
300.120137423608,1,0,0,0,0
300.192899891053,0,1,1,0,0
301.035341309197,0,0,1,0,0
301.071730761426,0,0,0,0,1
301.140531184752,1,0,0,0,0
301.157568702067,1,0,1,0,1
301.238430268254,1,0,1,0,1
302.13574432609,1,1,1,0,1
302.172131462719,0,1,1,0,0
303.051014761484,1,0,1,0,0
303.069521655947,0,1,0,0,0
303.12381011849,0,0,1,0,0
303.127082467759,0,1,0,0,0
303.160201209382,1,0,1,0,1
303.173192746032,1,1,1,1,1
303.217659936381,1,1,1,1,1
304.155297202989,0,0,1,0,0
305.030274203965,1,0,1,0,0
305.066654821895,1,1,1,0,1
305.103064603926,0,0,1,0,1
305.139456921456,0,0,1,0,0
305.175849498487,1,0,1,0,1
306.134593178373,0,0,1,0,0
306.171047108102,0,0,1,0,0
307.009519970076,1,0,0,0,0
307.045927506599,1,1,1,0,1
307.093533716191,0,0,1,0,0
307.142973190392,0,0,0,1,0
308.049968639561,0,0,1,0,0
308.077605234938,0,0,1,0,0
308.138234674506,0,1,0,0,0
308.207932311867,0,0,1,0,1
309.02518522443,1,0,1,0,0
309.101372678021,0,1,0,0,0
309.109211875195,1,0,0,0,0
309.119089199185,1,0,0,0,1
311.040842997254,1,1,1,0,1
311.13223291676,0,0,0,0,1
312.072550046252,0,0,1,0,0
312.130021952221,0,0,1,1,0
312.156539367202,1,0,1,0,0
313.0208349749,1,0,1,1,0
313.056500859105,1,1,1,0,1
313.078509429947,0,1,0,0,0
313.147853219841,0,0,0,0,1
313.172915189152,1,0,1,1,1
313.176899747238,1,0,0,0,0
314.135731582879,1,0,0,0,0
314.172095976387,1,1,1,0,1
314.208478741839,0,1,1,0,0
315.017984503711,1,0,0,0,0
315.11975652484,1,0,1,0,1
315.135091104142,1,0,1,0,0
315.15610786157,1,0,1,0,0
315.167365960132,0,1,1,0,0
316.151388768487,1,1,1,0,1
316.166666268407,0,1,0,0,0
316.187805194354,0,1,1,0,0
317.030261218142,1,0,1,0,0
317.066687796083,0,0,1,0,1
317.103096216893,0,0,0,0,1
317.135460435035,1,0,0,0,0
317.212167373557,0,0,1,0,1
317.233373541543,1,1,1,0,1
318.109572982445,0,1,0,0,0
318.167103725047,0,1,0,0,0
318.192280937474,0,0,1,0,0
319.045941232075,1,0,1,0,0
319.082295876229,0,0,0,0,1
319.118690232607,0,0,1,0,1
319.227874579288,0,0,1,0,1
320.1503436932,0,0,1,0,0
320.207850851026,0,0,1,0,0
321.025154726554,1,1,1,0,0
321.061551978378,1,1,1,0,1
321.097982635803,1,0,1,0,1
321.174131092406,0,0,0,0,1
321.207101793451,1,0,0,0,0
322.09321764639,0,0,1,0,0
322.140827819108,0,1,0,0,0
322.165952642304,0,0,1,0,0
322.187167160996,1,1,1,1,1
322.223500621415,0,0,1,0,0
323.040869446973,1,1,1,0,1
323.105510476442,0,0,0,0,1
323.153345605961,1,0,1,0,1
323.16866461507,1,0,1,1,1
323.222792995701,0,0,1,0,0
324.133154679663,0,1,0,0,0
325.056517335562,1,1,1,0,1
325.147929172056,1,0,0,0,1
326.135761490824,1,0,1,0,0
326.172043224257,0,0,1,0,0
326.208526866763,0,1,1,0,0
327.035895428557,1,0,0,0,0
327.123745867713,0,0,0,0,1
327.132621001966,0,1,0,0,0
327.156215482064,1,0,0,0,0
327.188493868284,1,0,1,1,1
328.151343467021,1,1,1,0,1
328.187775460719,1,1,1,0,1
328.224197142005,0,1,0,0,0
329.051455290203,1,1,1,0,1
329.064445220314,0,1,0,0,0
329.079723149283,0,0,0,0,1
329.111946133273,0,1,0,0,0
329.127299675597,0,1,0,0,0
329.135401944922,1,0,1,0,1
329.137234672067,0,0,0,0,1
329.139390121741,0,1,0,0,0
329.171800445598,1,0,0,0,0
329.18298747086,0,1,1,0,0
329.24862576893,0,0,0,0,1
329.269649490989,0,0,1,0,0
330.167007082931,1,1,1,0,1
330.203459960572,1,1,1,0,1
331.04599443956,1,1,1,0,1
331.082339553397,0,0,1,0,0
331.11864424628,0,0,0,0,1
331.155074665797,0,0,1,0,1
331.19150873051,1,0,1,0,1
332.146372028282,1,1,0,0,0
332.150445785825,0,0,1,0,0
333.025203537804,1,0,0,0,1
333.051074242059,0,0,1,0,0
333.061621279429,1,1,1,0,1
333.13431589464,1,0,0,0,1
333.145574440087,1,0,1,0,0
333.207151807676,1,1,1,0,1
334.117376043083,1,0,0,0,0
334.165848148886,0,0,1,0,0
334.223493066238,1,1,1,1,1
335.040827177713,1,1,1,0,1
335.077281643427,1,1,1,0,1
335.11444659812,0,1,0,0,0
335.189796200668,0,0,1,0,0
335.207498452173,0,0,1,0,0
336.120133708241,0,0,1,0,0
336.145208335093,0,0,1,0,0
336.181710974083,0,0,1,0,0
337.020135431421,1,0,0,0,0
337.056543872599,1,1,1,0,1
337.082386878609,0,0,1,0,0
337.126873070649,0,0,0,1,1
337.17290921367,0,1,0,0,0
337.184266280886,1,0,1,1,1
337.238402069644,0,0,1,0,1
338.088107656659,0,0,1,0,0
338.148773626018,0,1,0,0,0
339.035826927654,1,0,1,0,1
339.059854857755,0,1,0,0,0
339.104437498829,0,0,0,0,1
339.207134133252,1,0,0,0,0
340.132034198704,0,0,1,0,0
340.151402953338,1,0,0,0,0
340.153061856445,0,1,0,0,0
340.187779229845,1,0,0,0,0
340.197706101679,1,0,0,0,0
341.051432806298,1,0,1,0,1
341.142820338194,0,0,0,0,1
341.148297818258,0,1,0,0,0
341.182994097531,0,0,1,0,1
341.184572326272,0,0,1,0,0
341.204180987506,0,0,1,0,0
342.167025057996,1,1,1,0,1
342.239775936764,0,1,0,0,0
343.045930973354,1,0,0,0,0
343.080121250137,0,1,0,0,0
343.151069780828,1,0,1,0,0
343.158478469459,0,0,0,0,1
343.165714993426,1,0,0,0,1
343.183102060529,0,0,0,1,0
343.187590937076,1,0,0,0,0
343.198703463502,0,1,1,0,1
344.14636642831,1,1,1,0,1
344.18266441874,1,1,1,0,1
344.219102041571,0,1,1,0,0
345.025178166361,1,0,0,0,0
345.061609991528,1,0,1,0,0
345.097937172215,0,0,1,0,0
345.132146613329,0,0,1,0,0
345.134332592676,1,0,1,1,1
345.170766400863,0,0,1,1,0
345.177965934384,0,1,1,0,0
345.220173512776,0,0,1,0,0
345.264591390898,1,0,0,0,1
346.129656277594,0,0,0,0,1
347.04083035272,1,0,1,0,1
347.062022130947,0,0,1,0,0
347.077228409431,1,1,1,0,1
347.113629831415,1,0,1,0,1
347.149943444748,1,0,1,0,1
348.133107782434,1,0,0,0,0
348.181633115105,0,0,1,0,0
349.020115304537,1,0,1,0,0
349.092918031447,1,0,0,0,0
349.121121940066,0,0,1,0,0
349.251409982278,0,0,1,0,0
350.135687001706,0,1,1,0,0
350.148778542692,0,0,1,0,0
350.185143712163,0,1,1,0,0
351.034395775215,0,1,0,0,0
351.035766012244,1,1,1,0,1
351.054289053487,0,1,0,0,0
351.072138333567,1,1,1,0,1
351.10209198997,1,0,0,1,1
351.108582655515,1,0,1,0,0
351.184682919914,1,0,0,0,1
351.196567755638,1,0,0,0,0
352.103742233992,0,1,0,0,0
352.128068833895,0,1,0,0,0
352.164383941218,0,1,1,0,0
352.234072183858,1,0,1,0,1
353.049035877635,0,1,0,1,0
353.05141925999,1,1,1,0,1
353.145332878621,0,0,0,0,1
353.215649900355,0,1,1,1,1
354.213353155587,1,0,0,0,0
355.093518182335,0,0,1,0,0
355.151073998658,0,1,0,0,0
355.162258498919,1,0,0,0,0
355.198692884725,0,1,1,0,1
356.146263014319,1,0,1,0,0
356.182767131936,1,1,1,0,1
357.016435881046,0,0,1,0,0
357.046380027556,1,0,0,0,1
357.061639132,1,0,0,0,0
357.106827224692,0,1,0,0,0
357.130345430164,0,0,1,0,0
357.141165094922,1,0,0,0,0
357.166723511658,1,0,1,0,0
357.174148969742,0,0,0,0,1
357.214251336409,0,1,1,0,0
358.125617187983,1,0,0,0,0
358.135500471867,0,0,0,0,1
358.142616110647,0,0,1,0,0
358.161907803111,1,0,1,0,1
358.198353257738,1,1,1,0,1
359.040827605703,1,0,0,0,0
359.075015225637,0,0,1,0,0
359.077232277101,0,0,0,0,1
359.088641649665,0,1,0,0,0
359.124888597837,1,0,1,0,0
359.150035089665,0,0,1,1,1
359.157228437746,1,1,1,0,0
359.193602610788,0,1,1,0,0
359.222815642095,0,0,1,0,0
359.280297587726,0,0,1,0,0
360.141194320716,1,0,1,0,0
360.17765654334,1,1,1,0,1
360.23918533,0,0,0,0,1
361.020203202757,1,0,1,0,0
361.056450883082,1,1,1,0,1
361.092917492873,1,1,1,0,1
361.129228263743,1,0,1,0,0
361.165636188115,1,0,1,0,0
361.259474222944,1,0,0,0,0
362.197334358365,0,0,1,0,0
362.218388773041,1,0,1,0,1
363.03578042413,1,0,1,0,1
363.072081802094,1,0,1,0,1
363.10858231203,1,0,1,0,1
363.221035679529,0,1,0,0,1
364.128057834332,1,0,1,0,0
364.187807075562,0,1,0,0,0
364.20076978619,0,1,1,0,1
364.234144872095,1,1,1,1,1
365.051447751813,1,1,1,0,1
365.087779048533,1,1,1,0,1
365.158114132027,0,0,0,0,1
365.233347438082,1,0,1,0,0
366.083006492122,1,0,0,0,0
366.143659583845,1,1,1,0,1
366.180116546856,1,1,1,0,0
367.030630584968,1,0,1,0,1
367.06706934349,1,1,1,0,1
367.072259107904,0,1,0,0,0
367.101137110549,0,0,0,1,0
367.164072079953,1,0,1,0,0
367.21599116063,0,1,0,0,1
369.046310964264,1,1,1,0,1
369.061598175475,1,0,0,0,0
369.10853974426,0,0,0,1,0
369.122386957516,1,0,1,0,0
369.18139495536,1,0,0,0,1
370.130606874783,0,0,0,1,1
370.142636766634,0,0,1,0,0
370.161930382668,1,0,1,0,1
370.172217508453,0,0,0,1,0
370.198366490091,1,0,0,0,0
371.040880248302,1,0,0,0,0
371.051483688559,0,0,1,0,0
371.061971237483,1,1,1,0,1
371.074923048766,0,1,0,0,0
371.077218054152,1,0,0,0,0
371.157192659913,1,0,1,0,1
371.182376954314,1,0,0,0,0
371.189744666485,0,0,0,0,1
371.193562335852,0,0,1,0,1
371.197030746434,1,1,1,0,1
371.229951513963,0,1,1,0,0
372.177598031791,1,0,1,0,1
372.188840022556,0,1,0,0,0
372.21396446099,1,1,1,0,1
373.020100526779,1,0,0,0,0
373.056476136202,1,0,0,0,0
373.090608981369,0,1,0,0,0
373.092863986741,1,0,0,0,0
373.127044142201,1,0,0,0,0
373.14064188482,1,0,0,0,0
373.172856160813,1,1,1,0,1
373.194086653009,1,1,1,0,1
373.209226441057,0,1,1,0,0
374.052212975596,0,0,1,0,0
374.122221300821,0,0,0,1,0
374.156843108666,1,1,1,0,1
374.173982168791,0,0,1,0,0
374.221583607693,1,1,1,0,1
375.035730095859,1,0,0,0,1
375.048792224413,0,1,0,0,0
375.07214128479,1,0,1,0,1
375.144928848733,1,0,1,0,0
375.181292203292,0,0,1,0,0
375.188481856015,0,1,0,0,0
375.217706396629,1,0,1,0,1
375.2751891478,1,0,1,0,1
376.154730762206,0,1,0,0,0
376.164449215284,0,0,1,0,0
376.213051720631,0,0,1,0,0
377.051396445684,1,0,1,0,1
377.087803190623,1,0,1,0,1
377.098167915957,0,1,0,0,0
377.12417426497,1,1,1,0,1
377.135538949468,0,0,1,0,0
377.233358059072,1,1,1,0,1
377.282724515078,0,0,0,0,1
378.143721191931,1,0,1,0,1
378.167042044128,0,1,1,0,0
378.216503667,0,1,1,0,0
379.030686112247,0,0,1,0,0
379.067076004777,1,1,1,0,1
379.088801531723,0,1,0,0,0
379.103451701591,1,0,1,1,1
379.162184586541,0,1,0,0,0
379.248942744913,0,0,1,0,1
380.077457294931,1,0,0,0,0
380.159315295167,0,0,1,0,0
380.180292634984,0,1,0,0,0
380.195742975484,0,1,1,0,0
381.04633893879,1,0,0,0,1
381.147430924684,0,0,1,1,1
381.153130074715,0,0,0,0,1
381.264587778596,0,0,1,0,0
381.964127084297,0,1,0,0,0
382.077997977155,1,0,0,0,0
382.099920228281,0,0,1,0,0
382.100423454432,1,0,0,0,0
382.106290533669,1,0,1,1,1
382.138627913002,1,0,0,0,1
383.061973823269,1,1,1,0,1
383.103053046772,0,1,0,0,0
383.199426217271,0,0,1,0,0
383.229940728655,0,0,1,0,0
384.146249112676,0,1,0,0,1
384.158125226875,0,0,1,0,0
384.169595692965,0,1,0,0,0
384.177586391361,1,0,1,0,0
384.179384954068,0,0,0,0,1
385.041247297459,1,0,0,0,0
385.090675567781,0,1,0,0,0
385.176324028226,0,0,1,0,1
385.202002308822,1,0,0,0,1
385.202196763211,0,0,0,1,0
385.209244802773,1,1,1,0,1
386.193213166431,1,0,1,0,0
387.035782330147,1,0,0,0,0
387.05692392994,1,0,1,0,1
387.069848738085,0,1,0,0,0
387.072164506515,1,0,0,0,0
387.09724637405,0,1,0,0,0
387.106308535077,0,1,0,0,0
387.108537109246,1,0,0,0,0
387.141744951642,0,1,0,0,0
387.144925934392,0,0,1,0,0
387.152127429249,1,0,1,0,0
387.155494931916,0,0,0,0,1
387.188485459668,1,1,1,0,1
387.191949641051,1,1,1,0,1
387.224879236409,0,1,1,0,0
388.065094829314,0,1,0,0,0
388.067401602666,1,0,0,0,0
388.140177065515,0,0,0,1,0
388.172501812849,1,1,1,0,1
389.051460675204,1,0,0,0,1
389.072535459714,1,0,1,0,1
389.087797436197,1,0,1,0,1
389.124212180512,1,0,1,0,0
389.160577607689,1,0,1,0,1
389.167747391763,1,1,1,0,1
389.189008449217,1,0,1,0,1
389.204177880557,0,1,0,0,0
389.208055422013,0,0,1,0,0
389.290840920282,1,1,0,0,1
390.170382463722,0,1,0,0,0
391.009637936526,0,0,1,0,0
391.030658021836,1,0,1,0,0
391.067072181836,1,1,0,0,1
391.103438396276,0,1,1,0,1
391.114161624762,0,0,0,0,1
391.127590183064,0,1,0,0,0
391.187474799943,0,0,1,0,0
391.212588728176,0,0,1,0,1
392.083757517328,0,0,1,1,0
392.098710946304,1,0,0,0,1
392.232130675696,0,1,0,0,0
393.046321803348,1,1,1,0,1
393.049677850621,0,0,0,0,1
393.082686187308,1,1,1,0,1
393.122392283851,0,0,1,0,0
393.177913398708,0,1,0,0,0
393.190982440552,0,1,1,0,0
393.195179622561,1,0,0,0,0
394.174992173512,1,1,1,0,1
394.195984114948,0,1,0,0,0
394.975800654174,0,0,0,1,1
395.061963644418,1,1,1,0,1
395.12667674729,1,0,1,0,0
395.168786410185,0,0,0,1,0
396.132805246168,1,0,1,0,0
396.154211179303,1,0,0,0,0
396.171702737935,0,0,1,0,0
397.041265486201,1,0,0,0,0
397.138282637659,0,0,0,0,1
397.171482910789,1,0,0,0,1
397.172799425403,0,0,1,0,0
397.215076554878,0,0,1,0,0
397.23841966829,0,0,0,1,0
397.245826353764,0,0,1,0,0
398.169826326249,0,1,0,0,0
398.1738777488,0,0,1,1,1
399.05689320288,1,0,1,0,1
399.069829010353,0,1,0,0,0
399.217693552083,1,0,1,1,1
399.224883267652,0,1,0,0,0
399.261235844275,0,1,0,0,0
400.068276434671,1,0,0,0,0
400.164514829566,0,1,0,0,0
400.172517475946,1,0,0,0,0
400.191842449829,0,0,1,0,0
400.20891635208,1,0,0,0,0
400.220171360843,0,1,0,0,0
401.051390989383,1,0,0,0,0
401.072530312219,1,0,1,0,1
401.085553839847,0,1,0,0,0
401.087773156696,1,0,0,0,0
401.121879816856,0,1,0,0,0
401.124177379548,0,0,0,0,1
401.157345600408,0,1,0,0,0
401.204140080444,1,1,1,0,1
401.233340195639,1,0,0,1,0
401.240556009425,0,1,0,0,0
402.151698379677,1,0,1,0,0
402.15935969248,0,0,1,0,0
402.188146920211,1,0,0,0,0
402.199371861089,0,1,1,0,0
402.937726467393,0,0,0,1,0
403.030707164804,1,0,0,0,0
403.067062072702,1,1,1,0,0
403.101201574588,0,1,0,0,0
403.103422043992,1,0,1,0,0
403.139842015822,1,0,0,0,0
403.171335429161,1,0,0,0,0
403.183382504284,1,1,1,0,1
403.194825272036,0,0,1,0,1
403.204514528068,0,0,0,0,1
403.212571157338,1,0,1,1,0
403.306457010937,1,0,1,0,1
404.293714672467,0,1,0,0,0
405.046340646475,1,1,1,0,0
405.072702485912,0,0,1,0,0
405.082718505381,1,1,1,0,1
405.094047307055,0,0,1,0,0
405.11909766238,1,1,1,0,1
405.155524006246,0,0,1,0,1
405.19186350397,0,0,0,1,1
405.285764085231,1,0,0,0,0
406.165307537278,1,1,1,0,1
406.174894990119,1,0,0,0,0
407.061933456416,1,0,1,0,1
407.098352639308,1,1,1,0,1
407.192466945987,0,0,1,0,0
407.206625272182,0,1,0,0,0
407.228611181023,0,0,0,0,1
408.190364202495,0,0,1,0,0
408.190704759104,0,1,0,0,1
408.92077070099,0,0,1,1,0
408.933149163871,0,1,0,0,0
409.04077210618,0,0,1,0,0
409.041236955638,1,0,0,0,1
409.044585653741,0,0,0,0,1
409.077642662221,1,0,1,0,1
409.086994796874,0,0,0,1,0
409.176317750975,0,0,1,0,0
409.17874681503,0,0,0,0,1
409.226467337717,0,1,0,0,0
410.148467617875,0,0,1,0,0
411.05684843153,1,1,1,0,1
411.093245879104,1,1,1,0,1
411.107649226468,0,0,1,0,0
411.121624831434,0,0,0,0,1
411.156116330375,0,0,0,1,0
411.188456411385,1,0,0,0,0
411.188665721264,0,0,1,0,0
411.194358590618,0,0,1,0,1
411.230739210117,0,0,0,1,0
412.200875392374,0,1,0,0,0
412.219108910841,1,0,0,0,1
412.22004869494,0,0,1,0,0
413.072567159976,1,1,1,0,1
413.085502911263,0,1,0,0,0
413.140376585836,0,0,1,0,0
413.151853631377,0,0,0,0,1
413.167805732371,1,0,1,0,0
413.21001881107,1,0,1,0,1
413.233324623101,0,0,0,1,0
413.240496169966,0,0,1,0,0
414.168871599532,1,0,1,0,0
414.188128521518,1,0,0,0,0
414.207552493382,1,0,0,0,1
414.235795156206,0,1,1,0,0
415.03066599077,1,0,0,0,0
415.051805542468,1,0,0,0,0
415.06708997868,1,0,0,0,0
415.067406043315,0,0,0,0,1
415.088163934559,1,1,1,0,1
415.101127749807,0,1,0,0,0
415.137543773992,0,1,0,0,0
415.139800834592,0,0,1,0,0
415.147069688238,1,0,0,0,0
415.212540167554,1,0,1,1,1
415.219764365738,1,1,1,0,1
415.256155328874,0,1,0,0,0
416.167418575152,1,0,0,0,0
416.177638578686,1,0,0,0,0
416.207868120684,0,0,0,1,1
416.2150152138,0,1,1,0,0
417.046308622419,1,0,0,0,0
417.067450615392,1,0,0,0,0
417.082729755436,1,0,1,0,0
417.119104387758,1,0,1,0,0
417.155477299405,1,0,1,0,0
417.199108069681,1,1,1,0,1
417.235456003772,0,1,0,0,0
417.322154192048,1,1,1,0,1
418.223465821636,0,0,0,0,1
419.02564989881,1,0,0,0,0
419.044314550934,0,1,0,0,0
419.062000617374,1,1,1,0,0
419.065351570157,0,0,0,0,1
419.07093953317,0,0,0,1,0
419.098346584978,1,1,1,0,1
419.134769001433,1,0,1,0,1
419.171121992706,1,1,1,0,1
419.237874153407,0,0,1,0,0
419.29330866605,0,0,0,0,1
419.329714064048,1,0,0,1,0
420.104165922713,0,0,0,1,0
421.041250402563,1,0,1,0,1
421.077587970374,1,0,1,0,1
421.114012814373,1,0,1,0,1
421.123414997055,0,0,1,0,0
421.170577786692,0,0,0,1,1
421.215119626958,1,0,0,1,1
421.222236983354,0,1,0,0,0
421.260349405915,0,1,0,0,0
423.056912426131,1,0,1,0,0
423.060294934359,0,0,0,0,1
423.08493854245,1,0,0,0,0
423.093256520067,1,0,0,0,1
423.121473611771,0,0,1,0,0
423.138714579902,1,0,0,0,1
423.13902566855,0,0,1,0,0
423.150220447214,1,0,0,0,0
423.161356136234,0,1,0,0,0
423.16643214192,0,0,1,0,0
423.194326901307,0,0,1,0,1
423.201457845167,0,1,0,0,0
424.109945235513,0,0,0,1,0
424.185493924001,1,0,0,0,0
424.20047715082,0,0,1,0,0
425.052248482963,0,0,0,0,1
425.072968257144,0,1,0,0,0
425.08562879894,0,0,0,1,0
425.104424725417,0,0,1,0,0
425.1678889798,0,0,0,0,1
426.073840991576,0,0,1,0,0
426.074248693157,1,1,0,1,1
426.124852636816,0,0,1,0,0
426.140910010078,0,0,1,1,0
426.143513868289,0,0,0,1,0
426.16200419178,0,0,0,1,0
426.177290299689,0,0,1,0,0
426.235892172828,0,1,0,0,0
427.051827179376,1,0,1,0,0
427.068339570786,0,0,1,0,0
427.085894080309,0,0,0,0,1
427.088210321811,1,1,1,0,1
427.101217319661,0,1,0,0,0
427.119439470086,0,0,1,0,0
427.152939196354,1,0,0,0,0
427.183487418593,1,0,1,0,0
427.219777360882,1,1,1,0,1
427.931186715113,0,0,1,1,0
427.971269756465,0,1,0,0,0
428.114677135972,1,0,0,0,0
428.180294793064,0,1,0,0,0
428.215059384918,0,0,0,0,1
428.251502304313,0,1,1,0,0
