,ECA2_0054_04.a_p15,ECA2_0054_05.a_p1,ECA2_0054_06.a_p15,ECA2_0054_09.a_p15,ECA2_0054_10.a_p15
200.09281754081,1,0,0,0,0
201.124444794287,0,1,0,0,0
201.149612848737,0,1,0,0,0
204.06661728324,1,0,1,0,0
207.029899091282,0,0,1,0,0
207.139050628023,0,0,1,1,0
208.093937459437,0,0,1,0,0
209.009149823193,1,1,1,0,1
209.045531739112,1,0,0,0,0
209.11832078918,0,0,1,0,1
211.024813932517,1,0,0,0,1
215.001964732155,0,1,0,0,0
215.005015495658,0,0,0,1,0
215.165251165895,0,0,0,0,1
216.026218106892,0,0,0,1,0
217.123353518983,0,0,1,0,0
218.103380013694,1,0,1,0,1
221.009152912676,0,0,1,0,0
221.093167178783,0,1,0,0,0
221.118267307335,0,0,1,0,0
223.024764337093,0,0,1,0,1
223.061205057204,1,0,1,0,0
223.097537814546,1,1,1,0,0
225.04042670604,0,0,1,0,0
227.140126711641,1,1,1,0,1
228.124070207313,1,0,0,0,0
229.035344803185,0,0,1,0,0
229.15578506445,0,1,1,0,1
230.10337141027,1,0,0,0,0
231.135001441115,0,1,0,0,0
233.04552952382,0,0,1,0,0
233.15804458693,0,0,0,0,1
235.02482248343,0,0,0,0,1
235.108814655229,0,1,0,0,0
235.133978679767,0,0,1,0,0
236.096197433397,0,0,0,0,1
237.040483507492,1,0,0,0,0
237.076867410919,0,1,1,0,0
237.113244125764,0,0,1,0,0
239.03498258995,0,0,0,0,1
239.056102990688,1,1,1,0,1
239.067368242209,0,0,0,1,0
239.103789368156,1,0,0,0,0
240.036587773156,0,0,0,1,0
241.035404817619,1,0,0,0,0
241.046601866772,1,1,0,0,0
241.087112454333,1,0,1,1,0
241.119381262082,1,0,1,0,1
241.180897884247,0,0,1,0,0
243.098649057827,1,0,0,0,0
243.171444942575,0,1,1,0,0
243.196564362491,0,0,1,0,1
244.13033161353,0,1,0,0,0
245.114324215602,0,1,0,0,0
247.133998921942,0,0,1,0,0
247.137371430142,0,0,0,0,1
249.040467863897,1,0,1,0,0
249.076889830027,1,0,0,0,0
249.113254751525,0,0,1,0,0
249.152981215788,0,0,0,0,1
251.01976940635,1,0,1,0,1
251.056133941414,0,0,1,0,1
251.07859958616,1,1,1,0,1
251.092496275315,1,0,1,1,0
251.103766666715,0,1,0,0,0
