,ECA2_0040_01.a_p1,ECA2_0040_02.a_p1,ECA2_0040_03.a_p1,ECA2_0040_04.a_p1,ECA2_0040_05.a_p1,ECA2_0040_06.a_p08,ECA2_0040_07.a_p08,ECA2_0040_08.a_p08,ECA2_0040_09.a_p1,ECA2_0040_10.a_p1
205.014241315858,0,0,0,0,1,0,0,0,0,0
205.126741017369,0,0,0,0,1,0,0,0,0,0
206.012839626904,0,0,0,0,1,0,0,0,0,0
207.029899091282,0,1,0,0,0,1,0,0,0,0
208.983969492042,0,0,0,1,0,0,0,0,0,0
209.009149823193,0,0,0,0,1,0,0,0,0,0
209.045531739112,0,0,0,0,0,1,0,0,0,1
211.024813932517,0,0,0,0,1,0,0,0,0,0
212.115382499871,0,0,1,0,0,0,0,0,0,0
215.001964732155,0,1,0,0,0,0,0,0,0,0
216.953647981305,0,0,0,0,0,0,1,0,0,0
217.035354402865,0,0,0,1,0,0,0,0,0,1
218.103440152306,0,0,0,0,0,0,0,1,0,0
219.029844142125,0,0,0,0,1,0,0,0,0,0
221.045505511615,0,0,1,0,0,1,0,0,0,0
221.08193544951,0,0,0,0,0,1,0,0,0,0
221.121657258346,0,0,0,0,1,0,0,0,0,0
223.024764337093,0,0,0,0,1,0,0,0,0,1
223.061205057204,0,1,0,1,0,0,1,0,0,0
223.097537814546,0,0,0,0,1,0,0,0,0,0
225.004067850545,0,0,0,0,0,0,0,0,1,0
225.04042670604,0,1,0,0,1,1,1,0,1,1
225.040543140007,0,0,0,1,0,0,0,0,0,0
225.083989279596,0,0,1,0,0,0,0,0,0,0
225.09921699687,0,0,0,0,0,0,0,0,1,0
229.15578506445,1,0,1,0,0,0,1,1,1,1
230.012874265689,0,0,0,0,0,0,1,0,0,0
231.032823479341,0,0,0,0,0,1,0,0,0,0
235.02482248343,0,0,0,0,1,0,0,0,0,1
235.061203573925,0,0,1,1,0,0,0,0,0,1
235.097578928559,0,0,0,0,1,0,0,0,0,0
237.017711864245,1,0,0,0,0,0,0,0,0,0
237.040483507492,0,0,0,0,1,1,0,0,0,1
237.076867410919,0,0,0,1,0,1,0,0,0,1
237.098819655094,0,0,0,0,1,0,0,0,0,0
237.113244125764,0,0,0,0,0,0,0,1,0,0
239.01970562526,0,0,0,0,1,0,0,0,0,1
239.056102990688,1,1,1,1,1,1,1,0,0,1
241.035404817619,1,1,0,0,0,0,0,0,0,0
243.171444942575,0,0,1,1,0,0,1,0,0,1
245.114324215602,1,0,0,0,0,0,0,0,1,1
247.024814295629,0,0,0,0,0,0,0,0,0,1
247.0723782351,0,0,0,0,0,0,1,0,0,0
247.097606587005,0,0,0,1,0,1,0,0,0,0
247.155135947595,0,0,0,0,0,0,0,1,0,0
248.151663480164,0,0,0,0,0,0,0,0,1,0
249.040467863897,0,0,0,1,1,0,0,0,0,1
249.076889830027,0,0,0,1,0,0,0,0,0,0
251.01976940635,0,1,0,1,1,1,0,0,0,1
251.056133941414,1,0,0,1,1,1,0,0,0,1
251.07859958616,0,0,0,0,0,0,0,1,0,0
251.092496275315,1,0,1,0,1,0,1,0,0,1
253.03538516246,0,1,0,0,1,0,1,0,1,1
253.093792878718,0,0,0,0,1,0,0,0,0,0
255.062297216038,1,1,1,1,1,1,1,1,1,1
257.008010298152,0,0,0,0,0,0,0,0,1,0
257.030318065288,0,0,0,0,0,0,0,0,0,1
257.048912729196,0,0,0,0,1,0,0,0,0,0
258.09835108965,0,0,0,1,0,0,0,0,0,0
259.129974451967,1,1,1,1,1,1,1,1,1,1
261.040499747034,0,0,0,0,0,0,0,0,0,1
261.043875774277,0,0,0,0,0,1,0,0,0,0
261.076848305366,0,0,0,1,0,0,0,0,0,0
261.955591546,1,1,1,1,1,0,1,1,1,0
263.019720608659,0,1,0,0,1,0,0,0,0,1
263.056162162984,1,1,1,1,1,1,0,0,0,1
263.092501343246,1,0,1,0,1,0,0,0,0,1
263.132294307463,0,0,0,0,0,0,0,1,0,0
