,ECA2_0043_01.a_p1,ECA2_0043_02.a_p1,ECA2_0043_03.a_p1,ECA2_0043_04.a_p1,ECA2_0043_05.a_p1,ECA2_0043_06.b_p1,ECA2_0043_07.a_p1,ECA2_0043_08.a_p1,ECA2_0043_09.a_p1,ECA2_0043_10.a_p1
205.050629724349,1,1,0,0,0,0,0,0,0,0
207.029899091282,0,0,0,0,0,0,0,1,0,0
207.066283233563,0,0,0,0,1,0,0,0,1,0
209.045531739112,0,1,0,0,0,0,0,1,0,0
211.024813932517,1,1,1,0,0,0,0,0,0,0
212.056459607158,0,0,0,1,0,0,0,0,0,0
213.029007580103,0,0,1,0,0,0,0,0,0,0
215.140113242026,1,0,0,0,0,0,0,0,0,0
217.05055094518,0,0,1,0,0,0,0,0,0,0
217.1306254647,0,0,0,0,0,0,1,0,0,0
218.979124987677,0,1,0,0,0,0,0,0,0,0
219.029844142125,1,0,0,0,0,0,0,0,0,0
219.051916652666,0,0,1,0,0,0,0,0,0,0
219.175375866371,0,0,0,0,1,1,1,0,0,0
221.012167468834,0,0,0,1,0,0,0,0,0,0
221.045505511615,1,1,0,0,0,0,0,0,0,0
221.045618397121,0,0,0,1,0,0,0,0,0,0
221.08193544951,1,1,1,0,0,0,1,0,0,0
223.024764337093,1,1,1,1,0,0,0,0,0,0
223.028239633219,0,0,0,0,0,1,0,0,0,0
223.061205057204,1,1,1,0,0,0,0,1,0,0
223.097537814546,1,0,1,1,1,1,0,0,0,0
225.04042670604,1,0,1,0,0,0,1,1,1,1
227.201714862828,0,0,0,1,0,0,0,0,0,0
229.020532274109,0,0,0,0,1,1,1,0,0,0
229.035344803185,0,0,0,0,0,0,0,1,1,1
233.04552952382,0,0,1,0,0,0,1,0,0,0
233.085278326514,0,0,0,0,0,1,0,0,0,0
235.02482248343,1,0,1,0,0,0,0,1,0,1
235.061203573925,0,1,1,1,0,0,1,0,1,1
235.133978679767,0,0,0,0,0,1,1,0,0,0
237.040483507492,1,1,1,1,1,0,1,0,1,1
237.076867410919,1,1,1,1,1,1,1,1,1,1
237.113244125764,0,0,1,0,0,0,1,1,0,1
237.149632382166,0,0,0,0,1,0,0,0,0,0
238.072102331914,0,0,0,0,0,0,1,0,0,0
238.14095271516,0,0,0,1,0,0,0,0,0,0
239.01970562526,0,1,1,1,0,0,0,0,0,0
239.056102990688,1,1,1,1,1,1,1,1,1,1
239.059457697051,0,0,0,0,0,0,1,0,0,0
239.165273751501,0,0,0,0,0,0,0,0,1,1
241.035404817619,1,0,1,0,0,0,0,1,0,1
242.067042011868,0,0,1,0,1,1,0,1,1,1
243.033294284009,0,0,1,0,0,0,0,0,0,0
243.036193094204,0,0,0,0,1,1,1,0,0,0
243.066318874977,1,0,1,1,0,0,0,0,0,0
243.196564362491,0,0,0,0,0,1,1,0,0,0
245.045538737483,0,0,1,0,0,0,0,0,0,0
245.125490829234,0,0,0,0,0,0,0,0,1,0
246.098356112807,0,1,0,0,0,0,0,0,0,0
