,ECA2_0003_01.a_p1,ECA2_0003_02.a_p1,ECA2_0003_03.a_p1,ECA2_0003_04.a_p1,ECA2_0003_05.a_p1,ECA2_0003_06.a_p1,ECA2_0003_07.a_p1,ECA2_0003_08.a_p1,ECA2_0003_09.a_p1,ECA2_0003_10.a_p1
201.149612848737,0,0,0,0,0,0,0,0,0,1
204.06661728324,0,0,1,0,0,0,0,0,0,0
207.029899091282,0,1,0,0,0,0,0,0,0,0
207.066283233563,1,0,0,0,0,0,0,0,0,0
208.058384654574,0,0,0,0,1,0,0,0,0,0
209.045531739112,1,0,0,0,0,0,0,0,1,0
209.094807182265,0,1,0,0,0,0,0,0,0,0
211.024813932517,0,0,0,0,0,0,0,0,0,1
213.113319128242,0,0,0,0,0,0,1,0,0,0
215.165251165895,0,0,0,0,0,0,0,0,0,1
218.103380013694,0,0,0,1,0,0,1,0,0,0
221.045505511615,0,0,1,0,0,0,0,0,0,0
221.08193544951,0,0,0,0,1,0,0,0,0,0
221.953544612238,0,0,0,0,1,0,0,0,0,0
223.024764337093,0,0,1,0,0,0,1,0,1,0
223.040092240523,0,0,0,0,1,0,0,0,0,0
223.061205057204,0,0,0,0,0,0,0,0,1,0
223.097537814546,0,0,0,0,0,0,0,1,1,0
225.04042670604,1,0,1,0,0,0,1,0,1,0
227.140126711641,1,0,0,1,0,0,0,0,0,0
229.15578506445,1,0,0,0,1,0,0,0,0,1
233.121676157195,1,0,0,0,0,0,0,0,0,0
233.15804458693,0,0,0,0,0,0,1,0,0,0
235.02482248343,0,0,1,0,0,0,0,1,1,0
235.061203573925,0,0,0,0,0,0,0,0,1,0
235.100919965221,0,0,0,0,0,0,0,0,0,1
235.137303493868,1,0,0,1,0,0,1,0,1,0
236.978184603292,0,0,0,0,0,1,0,0,0,0
237.040483507492,1,1,1,1,1,1,0,1,1,1
237.076867410919,0,1,1,0,0,0,1,0,0,0
238.047021932944,0,0,0,1,0,0,0,0,0,0
239.01970562526,1,1,1,0,0,0,0,0,1,0
239.03498258995,0,0,0,0,0,0,0,1,0,1
239.056102990688,1,0,1,1,1,1,1,1,1,1
239.067368242209,1,1,1,0,0,0,0,0,0,0
240.036587773156,0,0,0,0,0,0,0,1,0,0
240.127084537184,0,0,0,0,0,0,0,0,1,0
241.035404817619,0,0,1,0,0,0,0,0,0,0
241.119381262082,1,0,0,0,0,0,0,0,0,0
243.171444942575,1,0,0,0,1,0,0,0,0,1
245.012549866383,0,0,0,1,0,1,1,0,1,0
245.08194645698,0,0,0,0,0,0,1,0,0,0
245.114324215602,1,0,0,0,1,1,0,0,1,1
246.098356112807,0,0,0,0,0,0,1,0,0,0
247.024814295629,1,0,0,0,0,1,0,0,0,0
247.06117641442,0,0,0,0,0,0,0,1,0,0
247.137371430142,1,0,0,0,0,0,1,0,0,0
247.155135947595,1,1,1,0,0,0,0,0,0,0
249.004086514732,0,0,1,1,0,0,0,0,0,0
249.040467863897,0,0,0,0,0,1,0,0,0,0
249.076889830027,0,0,0,0,0,0,0,0,1,0
249.116143973044,0,0,0,0,0,0,0,0,0,1
249.116632593935,0,0,0,0,0,0,0,0,0,1
249.152981215788,1,1,1,1,1,1,1,1,1,1
251.01976940635,1,0,1,0,0,1,1,1,1,0
251.056133941414,1,1,1,0,0,1,1,0,1,1
251.07859958616,1,1,1,1,1,1,1,1,1,1
251.092496275315,1,0,0,1,0,0,0,1,1,1
251.113635791176,1,0,1,0,0,0,0,0,0,0
251.114484208573,0,0,0,0,0,0,1,0,0,0
251.132272245617,0,0,0,0,0,0,0,0,0,1
251.984956499337,0,1,0,0,0,0,0,0,0,0
252.051393633391,1,0,0,0,0,0,0,0,0,0
253.03538516246,1,1,0,0,1,1,0,1,1,1
254.088204604412,0,0,0,0,0,0,0,0,0,1
255.014665808967,0,0,0,0,0,1,0,0,0,0
255.062297216038,1,1,1,1,1,1,1,1,1,1
255.196579554938,0,1,0,0,0,0,0,0,0,0
257.045543870561,0,0,0,0,0,0,0,1,0,0
257.048912729196,1,1,1,0,1,1,0,1,0,1
257.212198821544,0,0,0,0,0,0,0,1,0,0
258.09835108965,0,1,0,1,0,0,0,0,1,0
258.145973610707,1,0,0,0,1,0,0,0,0,0
259.028223572559,0,0,0,0,0,0,1,0,1,0
259.061211474333,0,0,0,0,0,0,1,0,0,0
259.129974451967,1,1,1,1,1,1,1,1,1,1
260.114016653173,0,0,0,0,0,0,1,0,0,0
261.040499747034,0,0,0,0,1,0,0,0,1,0
261.116128505971,0,0,0,0,0,0,0,0,0,1
261.116642352868,0,0,0,0,0,0,0,0,0,1
261.170778997831,1,1,1,0,0,0,0,0,0,0
261.955591546,0,1,1,1,1,0,1,1,1,1
263.019720608659,1,0,1,0,0,0,0,1,1,0
263.056162162984,0,0,1,0,1,1,0,1,1,0
263.092501343246,1,0,1,0,0,0,0,0,1,0
263.128918628623,0,0,0,0,0,0,0,0,0,1
263.132294307463,1,0,0,0,0,0,0,0,0,1
263.165265369389,0,0,1,0,0,0,0,1,0,0
264.047399140689,0,1,1,1,0,0,0,0,1,0
264.160524638605,1,0,0,0,0,1,0,0,0,0
264.999853704141,0,0,0,0,1,0,0,1,0,0
265.035416012644,1,1,1,1,1,1,1,1,1,1
265.057856790769,0,0,0,1,0,0,0,0,0,0
265.07175654152,1,1,1,1,1,1,1,1,1,1
265.108161078953,1,1,0,0,1,1,0,1,1,1
265.111551658498,1,0,0,0,0,0,1,0,0,0
265.130148724283,0,0,0,0,0,0,1,0,0,0
265.180917735873,0,1,1,0,0,1,1,0,0,0
266.067038262927,0,0,0,0,0,0,0,0,1,0
266.089479883299,1,1,1,1,1,1,1,0,1,1
266.994272940638,0,1,1,1,1,0,1,1,1,1
267.01468081692,0,0,1,0,0,1,0,1,1,0
267.051013014992,1,1,1,1,1,1,1,1,1,1
267.073503387235,1,1,1,1,1,1,1,1,1,1
267.196602454627,1,0,1,1,0,1,0,0,0,0
268.046339522371,1,0,0,0,0,0,0,0,0,0
268.103857517646,0,0,0,0,0,0,0,0,0,1
269.030335719134,1,0,0,0,1,1,1,1,1,0
269.121692324685,1,0,1,0,0,0,1,0,1,0
269.212206948243,1,1,1,1,1,1,1,1,1,0
271.061192022869,0,0,0,0,0,0,1,0,0,0
272.161546866663,0,0,0,0,0,0,0,0,0,1
273.040493461949,0,0,0,0,0,1,1,1,1,1
273.109211861709,0,0,0,1,0,0,0,0,0,0
273.149604440299,0,0,0,0,0,0,0,0,1,0
274.97106521367,0,0,0,1,0,0,0,1,0,1
275.019686012876,1,1,1,0,0,0,1,1,1,0
275.056123708709,1,1,1,0,0,0,1,0,1,0
275.095894541533,1,0,0,0,0,0,0,0,0,0
275.186391735762,0,1,0,0,0,0,0,0,0,0
276.99896902096,0,0,0,0,0,1,0,0,0,0
277.035388091511,1,1,1,0,0,1,0,0,1,0
277.050112830188,0,0,0,1,0,0,0,0,0,0
277.059631820522,1,1,1,1,1,1,1,1,1,1
277.071780747801,1,0,0,0,1,0,1,1,1,1
277.108133008574,1,0,1,0,0,0,0,1,0,1
277.111485347462,0,0,0,0,0,0,0,0,0,1
277.147907776054,1,0,0,1,0,0,0,0,0,0
277.165648158515,0,0,0,1,0,0,0,0,0,0
279.014622292583,1,0,1,0,0,1,0,1,1,0
279.05103605999,1,0,1,0,0,1,1,1,1,1
279.06634875781,0,1,0,0,0,0,0,0,0,0
279.098603709576,0,1,0,0,0,0,0,0,0,0
279.109403405403,1,0,0,0,0,0,1,0,0,0
279.127133342822,1,0,0,0,0,0,1,0,0,0
280.060083430889,1,1,1,1,1,1,1,1,1,1
280.068704035316,0,1,0,1,0,0,0,0,0,0
281.030306431672,1,1,1,0,1,1,1,1,1,0
281.106400635685,0,0,0,0,0,0,0,0,0,1
281.125088971439,0,0,0,0,0,0,1,0,0,0
282.061888615183,0,1,0,0,0,0,0,0,0,0
283.04595745831,1,1,1,1,1,1,1,1,1,1
283.068429772895,1,1,1,1,0,1,1,0,1,0
283.137346800078,1,0,0,1,1,0,1,0,1,0
283.227901399487,1,1,1,1,1,0,0,1,1,0
284.138192271883,0,0,0,0,0,1,0,0,0,0
284.161546932859,1,0,0,0,0,0,0,0,0,0
285.025195022631,0,0,0,0,0,1,0,0,1,0
285.043794980597,0,0,0,0,0,0,1,0,0,0
285.116568006492,0,0,1,0,0,0,0,0,0,0
285.969323778503,0,0,0,0,0,0,0,0,0,1
286.17717909044,1,0,0,0,1,0,0,0,0,0
287.040868822099,1,0,1,0,0,0,0,0,1,1
287.055215643865,1,1,1,1,1,1,1,1,1,1
287.056056994507,0,0,0,0,0,0,0,0,1,0
287.095851350916,0,0,0,1,0,0,1,0,1,0
287.124855166614,0,1,0,1,0,0,1,0,0,0
288.156510341019,1,0,0,0,1,0,0,0,0,1
288.986668240638,0,1,0,0,1,0,0,0,0,1
288.992426996952,0,0,0,0,1,0,0,0,0,0
289.024023660634,0,0,0,0,0,0,0,0,0,1
289.035335238622,1,0,1,1,0,1,0,1,1,1
289.071733504922,0,0,0,0,0,0,1,0,0,1
289.108143001339,0,0,0,0,0,1,0,0,0,0
289.111520171072,0,0,0,1,0,0,1,0,1,0
289.144556135556,0,0,0,0,0,0,0,0,1,0
289.201990941965,0,0,1,0,0,0,0,0,0,0
290.116368830008,0,0,0,0,0,1,0,0,0,0
291.014598605754,1,1,1,0,0,1,1,1,1,0
291.021404106974,0,0,0,0,0,0,1,0,0,0
291.031255819714,0,0,1,0,0,0,0,0,0,0
291.050985782488,1,0,1,0,1,1,1,1,1,1
291.127153839027,0,0,0,0,0,0,1,0,1,0
291.181316533473,0,1,1,0,0,0,0,0,0,0
291.196548780538,0,0,1,0,0,0,0,0,0,0
291.199906441386,1,0,0,0,0,0,0,0,0,0
293.030316334653,1,1,1,1,1,1,1,1,1,1
293.066707280246,1,1,1,0,1,1,1,1,1,1
293.10645314903,0,0,0,0,0,1,0,0,1,0
293.114267381535,1,1,1,1,1,1,1,0,1,1
293.142354064447,0,0,0,1,0,0,0,0,0,0
293.142838517349,0,0,0,0,0,0,0,0,0,1
293.212208631265,0,0,1,0,0,0,1,0,0,0
295.00951132373,0,0,1,0,0,0,0,0,0,0
295.04590311567,1,1,1,1,1,1,1,1,1,1
295.103494391935,0,0,0,1,0,0,0,0,0,0
295.137369757887,0,0,0,0,1,0,0,0,0,0
295.19144189826,1,1,0,0,0,0,0,0,0,0
295.227829671269,0,0,1,0,0,0,0,0,0,0
296.100059394463,0,0,1,0,0,1,0,0,0,0
296.935062094966,0,0,0,0,0,0,0,0,0,1
297.025193164039,0,1,1,1,0,1,0,0,0,1
297.116608279898,0,0,0,0,1,0,0,0,0,0
297.243503391361,0,0,1,0,0,1,0,0,0,0
298.150796568844,0,0,1,0,0,0,0,0,0,0
298.177221206525,0,1,0,0,0,0,0,0,0,0
299.040885905944,1,1,1,0,1,1,1,1,1,1
299.141917249727,0,0,1,0,0,0,0,0,0,0
299.157246356087,0,0,0,0,1,0,0,0,0,0
299.161255970354,0,0,0,1,0,0,0,0,0,0
300.072452790186,0,0,0,0,0,0,0,0,1,0
300.192899891053,1,0,0,0,1,0,0,0,0,1
300.998955843029,1,0,0,1,0,0,0,1,1,1
301.035341309197,0,0,1,0,0,1,1,0,0,0
301.071730761426,0,0,0,1,0,0,1,1,1,1
301.082174886398,0,0,0,0,0,0,1,0,0,0
301.084785218452,1,0,0,0,0,1,0,0,0,1
301.157568702067,1,1,1,1,1,1,1,1,1,0
302.13574432609,1,0,0,0,0,0,0,0,0,0
302.172131462719,1,0,0,0,1,0,0,0,0,1
303.014615944586,1,1,0,0,0,0,0,0,1,0
303.051014761484,0,0,0,0,0,0,0,1,0,0
303.069521655947,0,0,0,1,0,0,1,0,0,0
303.087420249974,1,1,0,0,0,0,1,0,0,1
303.090773823008,0,0,0,1,0,0,1,0,1,0
303.119822005987,0,0,0,0,0,0,0,0,1,0
303.173192746032,1,1,1,1,1,1,1,1,1,1
303.217659936381,1,1,1,1,1,1,1,1,1,0
304.00254759048,0,1,1,1,1,0,1,1,1,1
304.053501649872,0,0,0,0,0,0,1,0,0,0
304.994042143024,0,0,0,0,0,0,0,0,0,1
305.030274203965,1,0,1,1,0,1,0,1,1,1
305.066654821895,1,1,1,1,1,1,1,1,1,1
305.103064603926,1,0,0,0,1,1,1,0,0,1
305.106420819019,0,0,0,0,0,0,0,0,1,0
305.139456921456,1,0,0,0,0,0,0,0,1,1
305.175849498487,0,0,0,0,0,1,0,0,0,0
305.179224765367,0,0,0,0,0,1,0,0,0,0
305.215615602579,1,0,0,0,0,0,0,0,0,0
305.974844341661,0,1,0,0,0,0,0,0,0,0
306.158952625397,0,0,0,0,0,0,0,0,0,1
306.220457804046,1,0,0,0,0,0,0,0,0,0
307.009519970076,0,1,1,0,0,0,0,1,0,0
307.026168289049,0,0,1,0,0,0,0,0,1,1
307.045927506599,1,1,1,1,1,1,1,1,1,1
307.061165305572,0,0,0,0,0,0,0,0,1,0
308.073598048318,0,0,0,1,0,0,0,0,0,0
308.077605234938,0,0,0,0,1,0,0,0,0,0
308.138234674506,0,0,0,0,1,0,0,0,0,1
308.207932311867,0,0,1,0,0,0,0,0,0,0
309.02518522443,1,1,1,1,0,1,1,1,1,1
