,ECA2_0053_01.a_p1,ECA2_0053_02.a_p1,ECA2_0053_03.a_p1,ECA2_0053_04.a_p1,ECA2_0053_05.a_p1,ECA2_0053_06.a_p1,ECA2_0053_07.a_p1,ECA2_0053_08.a_p1,ECA2_0053_09.a_p1,ECA2_0053_10.a_p1
201.116264659959,0,0,0,0,0,0,0,0,0,1
201.124444794287,1,0,1,0,0,0,0,0,0,1
203.001940656736,0,1,0,0,0,0,0,0,0,0
205.017599513069,0,1,0,0,0,0,0,0,0,0
206.082263331582,0,0,0,0,1,0,0,0,0,0
207.029899091282,0,0,0,0,0,1,0,0,0,0
207.069644633925,0,1,0,0,0,0,0,0,0,0
209.009149823193,0,0,0,0,0,1,0,0,0,0
209.094807182265,0,0,0,0,0,0,0,0,1,1
211.024813932517,1,0,1,0,1,1,0,0,1,0
212.049969407968,0,0,0,0,0,0,0,1,0,0
213.124417403501,1,0,0,0,0,0,0,0,0,0
217.108174927159,0,0,0,1,0,0,0,0,0,0
218.103380013694,0,1,1,1,1,1,0,0,1,0
218.103440152306,1,0,0,0,0,0,0,0,0,0
221.012490360292,0,1,0,0,0,0,0,0,0,0
221.093167178783,1,0,0,0,0,0,0,0,0,0
223.024764337093,0,0,1,0,1,0,0,0,1,0
223.045955253207,0,0,0,1,0,0,0,0,0,0
223.097537814546,0,0,0,1,0,0,0,0,0,0
225.04042670604,1,1,1,1,0,1,0,0,0,1
225.06706084877,0,0,0,0,1,0,0,0,0,0
227.103712756213,0,1,0,0,0,0,0,0,0,0
227.140126711641,1,1,1,1,1,0,1,1,1,1
228.087750749605,0,0,0,0,0,0,1,0,0,0
228.124070207313,1,0,0,0,0,0,0,0,0,0
228.160498007095,0,0,0,1,0,0,0,1,0,0
229.035344803185,0,0,0,1,0,0,0,0,0,0
229.15578506445,1,1,1,1,1,1,1,1,1,1
229.180873709643,0,0,0,0,1,0,0,0,0,0
231.135001441115,1,0,1,0,0,0,0,0,1,0
233.009163412669,0,0,0,0,1,0,0,0,0,0
235.02482248343,1,0,0,0,0,0,0,0,0,0
235.097578928559,0,0,0,0,0,1,0,0,0,0
237.040483507492,1,0,0,0,0,0,0,1,0,1
237.076867410919,0,1,0,0,0,0,0,0,0,1
237.113244125764,0,0,1,0,1,0,0,0,0,0
237.116582799134,0,0,0,0,0,1,0,0,0,0
239.01970562526,0,0,1,0,0,0,0,0,0,0
239.03498258995,0,0,0,1,0,0,0,0,0,0
239.056102990688,1,1,0,1,1,1,0,1,1,1
239.067368242209,0,0,0,0,0,0,0,1,1,1
