,ECA2_0039_01.a_p1,ECA2_0039_02.a_p1,ECA2_0039_03.a_p1,ECA2_0039_04.a_p1,ECA2_0039_05.a_p1,ECA2_0039_06.a_p1,ECA2_0039_07.a_p1,ECA2_0039_08.a_p1,ECA2_0039_09.a_p1,ECA2_0039_10.a_p1
202.968478938028,1,0,0,0,0,0,0,0,0,0
205.03291395749,1,0,0,0,0,0,0,0,0,0
207.029899091282,0,1,0,0,0,0,0,0,0,0
207.066283233563,0,0,1,0,0,0,0,0,0,0
207.139050628023,1,1,0,1,1,1,1,1,0,1
207.929727610466,0,0,0,0,0,0,0,0,1,0
208.991039403721,0,1,0,0,0,0,0,0,0,0
209.009149823193,0,1,0,0,0,1,0,0,0,0
209.045531739112,0,1,0,0,1,0,0,0,0,0
209.084976654836,0,0,0,0,0,0,0,0,1,0
209.085281037297,0,0,0,1,0,0,1,1,0,1
209.094807182265,1,1,0,0,0,0,0,0,0,0
209.11832078918,0,0,0,0,0,0,1,0,0,0
210.056120712705,1,0,0,0,0,0,0,0,0,0
211.024813932517,0,1,0,0,0,0,0,0,0,0
215.001964732155,0,0,1,0,0,0,0,0,0,0
215.034003190655,0,0,0,1,0,0,0,0,0,0
215.128909134367,1,0,0,0,0,0,0,0,0,0
217.108174927159,0,0,0,1,0,0,0,0,0,0
221.045505511615,0,0,0,0,0,0,0,0,0,1
221.08193544951,0,1,0,0,1,1,0,0,0,0
222.077158045257,0,0,0,0,0,1,0,0,0,0
223.001359471415,0,0,0,0,0,1,0,0,0,0
223.024764337093,0,1,0,0,0,0,0,0,0,0
223.061205057204,0,1,0,0,0,1,0,0,0,0
223.097537814546,0,1,0,0,0,0,0,1,1,0
225.04042670604,0,1,0,0,0,0,0,0,0,0
225.08981842313,0,0,0,0,0,0,0,0,0,1
227.024456028214,1,0,0,0,0,0,0,0,0,0
229.017567396488,0,0,0,0,0,0,0,0,1,0
230.162275231539,0,0,0,0,0,0,0,0,1,0
230.975801284951,0,0,0,1,0,0,0,0,0,0
231.13903054055,1,0,0,0,0,0,0,0,0,0
232.994751450605,0,0,0,1,0,0,0,0,0,0
233.941988833979,0,0,0,1,0,0,0,0,0,0
235.02482248343,0,1,0,0,0,0,0,0,0,0
235.061203573925,0,1,0,0,0,0,0,0,0,0
236.096197433397,0,0,1,0,0,0,0,0,0,0
237.040483507492,0,1,0,0,0,0,0,0,0,0
237.076867410919,0,1,0,0,0,0,0,1,1,1
237.113244125764,0,0,0,0,0,1,0,1,1,1
238.011400871438,1,0,0,0,0,0,0,0,0,0
238.072102331914,0,1,0,0,0,0,0,0,0,0
239.01970562526,0,1,0,0,0,0,0,0,0,0
239.056102990688,1,1,0,1,0,0,0,0,1,0
239.067368242209,1,1,0,0,0,0,0,0,0,0
242.067042011868,0,1,0,0,0,0,0,0,0,0
243.032814146862,0,0,0,0,0,0,0,0,1,0
243.033294284009,0,0,0,0,1,0,0,1,1,1
243.196564362491,0,1,0,1,0,1,0,1,0,0
245.048457690986,0,0,0,0,0,0,0,0,1,0
245.114324215602,0,0,0,0,0,0,1,0,0,0
247.137371430142,0,1,0,1,1,1,1,1,0,0
247.939889960045,0,0,1,0,0,0,0,0,0,0
249.113254751525,0,0,0,0,1,1,0,0,0,0
249.152981215788,1,1,1,1,1,1,1,1,1,1
251.01976940635,0,1,0,0,0,0,0,0,0,0
251.056133941414,1,1,1,0,0,1,0,1,0,1
251.07859958616,1,1,0,0,1,1,1,1,0,0
251.092496275315,0,1,0,0,1,1,0,0,1,1
251.113635791176,0,1,0,1,0,1,1,0,1,1
251.984956499337,0,1,0,1,0,0,1,0,1,0
