,ECA2_0006_01.a_p1,ECA2_0006_02.a_p1,ECA2_0006_03.a_p1,ECA2_0006_04.a_p1,ECA2_0006_05.a_p1,ECA2_0006_06.a_p1,ECA2_0006_07.a_p1,ECA2_0006_09.a_p1,ECA2_0006_10.a_p1
257.077947553122,1,0,0,0,0,0,1,1,1
257.081989912799,0,0,0,1,1,1,0,0,0
257.085353119604,1,0,1,0,0,0,1,0,1
257.114316207114,1,1,0,1,1,1,1,0,1
258.09835108965,1,1,0,0,1,1,1,0,1
258.145973610707,1,1,0,1,1,1,0,1,1
259.009578823961,0,0,0,0,0,0,0,1,0
259.024846541681,1,0,0,1,1,1,1,1,1
259.028223572559,0,0,0,0,0,0,0,1,0
259.061211474333,0,0,0,0,1,0,0,0,0
259.09359254392,0,1,0,0,0,0,0,0,1
259.096624369109,0,0,1,0,0,0,0,0,0
259.100553370043,0,0,0,0,0,0,1,0,0
259.129974451967,1,1,1,1,1,1,1,1,1
259.191501035286,0,0,0,0,1,0,0,0,1
260.095784178823,0,0,1,0,0,0,0,0,0
261.004075995802,1,1,0,1,1,1,1,1,1
261.040499747034,1,1,0,1,1,1,1,1,1
261.043875774277,1,0,1,1,0,1,0,0,0
261.076848305366,1,0,0,1,1,1,1,1,0
261.080183936275,1,0,0,0,0,0,0,0,0
261.113272643658,0,0,0,1,0,0,1,0,0
261.116642352868,1,0,0,0,0,0,0,0,0
261.124472801397,1,1,0,0,0,0,0,0,1
261.955591546,0,0,0,1,0,0,0,0,0
262.100131005709,1,0,1,0,0,0,0,0,0
262.10858703746,0,0,1,0,0,0,0,0,0
263.019720608659,1,0,1,1,1,1,1,1,1
263.056162162984,1,1,1,1,1,1,1,1,1
263.059518354884,1,0,1,0,0,0,0,0,0
263.092501343246,1,1,0,1,1,1,0,1,1
263.095882245298,1,0,0,0,0,0,0,0,0
263.128918628623,1,1,0,1,1,1,1,1,1
263.132294307463,1,0,1,0,0,1,1,1,0
263.140121306846,0,0,0,1,0,0,0,0,0
263.165265369389,1,1,0,0,0,0,0,0,0
264.047399140689,1,1,0,1,1,1,1,1,1
264.073943908181,0,0,0,1,0,0,0,0,0
264.160524638605,1,1,0,0,0,1,1,0,0
264.998978478457,1,1,0,1,1,1,1,1,1
264.999853704141,0,1,0,0,0,0,0,0,0
265.035416012644,1,1,1,1,1,1,1,1,1
265.038847585143,1,0,0,0,0,0,0,0,0
265.057856790769,1,0,0,0,1,0,1,0,1
265.07175654152,1,1,0,1,1,1,1,1,1
265.108161078953,1,1,0,1,1,1,1,1,1
265.111551658498,0,0,0,0,1,0,0,0,0
265.119415187426,0,0,0,0,0,0,0,1,0
265.180917735873,0,1,0,0,0,0,0,0,0
266.030602462601,0,0,0,1,0,0,0,0,0
266.044467873695,1,1,0,0,1,0,1,0,1
266.089479883299,1,1,0,1,1,0,1,1,1
266.994272940638,0,0,0,0,0,0,0,1,1
267.01468081692,1,1,1,1,1,1,1,1,1
267.051013014992,1,1,1,1,1,1,1,1,1
267.072910660589,0,0,0,0,0,0,0,0,1
267.073503387235,1,1,1,1,1,0,1,1,1
267.127176248894,0,0,0,0,1,0,0,0,0
267.196602454627,1,1,0,0,1,0,1,0,1
268.046339522371,0,0,0,0,1,0,0,0,0
268.993882172413,0,0,0,0,0,0,0,1,0
269.030335719134,1,1,1,1,1,1,1,1,1
269.04554913076,0,0,0,0,1,1,0,0,0
269.085344122802,0,1,0,0,0,0,0,0,0
269.121692324685,0,0,0,0,0,0,1,1,0
269.212206948243,1,1,0,1,1,1,1,1,1
270.061980946967,1,0,0,1,1,1,0,0,0
271.009573771378,0,0,0,0,0,1,0,1,0
271.024834307558,0,1,0,0,0,0,0,1,0
271.057287880943,0,0,0,0,0,0,0,0,1
271.061192022869,0,0,0,1,1,0,1,1,0
271.093572437621,0,0,0,0,0,0,1,0,0
271.129983188619,1,1,0,0,1,0,0,0,1
