,ECA2_0038_01.a_p1,ECA2_0038_02.b_p1,ECA2_0038_03.a_p1,ECA2_0038_04.a_p1,ECA2_0038_05.a_p1,ECA2_0038_06.a_p1,ECA2_0038_07.a_p1,ECA2_0038_08.a_p1,ECA2_0038_09.a_p1,ECA2_0038_10.a_p1
285.116568006492,0,0,0,0,1,0,0,0,0,0
287.019652973634,0,0,0,1,1,0,0,1,0,0
287.040868822099,1,1,1,1,1,1,1,1,0,1
287.055215643865,0,0,0,0,0,0,1,0,1,1
287.056056994507,0,0,1,0,0,1,0,1,0,0
289.035335238622,1,1,1,1,1,1,1,1,0,1
289.071733504922,0,1,0,0,0,0,0,1,1,0
289.108143001339,0,0,0,0,0,0,1,0,0,0
291.014598605754,1,1,1,1,1,1,1,1,1,1
291.050985782488,1,1,1,1,1,1,1,1,1,1
293.030316334653,1,1,1,1,1,1,1,1,1,1
293.066707280246,1,1,1,1,1,1,1,1,1,1
293.07787801187,0,0,1,0,0,0,0,0,0,0
293.114267381535,1,0,0,0,0,1,0,0,1,1
295.00951132373,1,1,1,1,1,1,0,1,0,1
295.04590311567,1,1,1,1,1,1,1,1,1,1
295.133908405647,0,0,0,0,0,0,0,0,1,0
295.19144189826,0,0,0,0,0,0,0,1,0,0
296.100059394463,0,0,0,0,1,0,0,0,0,0
297.025193164039,1,1,1,1,1,1,1,1,1,1
297.116608279898,0,0,0,0,0,0,0,0,0,1
297.243503391361,1,0,0,0,0,0,0,0,0,0
299.019723068594,0,0,0,0,0,0,0,1,0,0
299.040885905944,1,1,1,1,1,1,1,1,1,1
299.056107822858,0,0,1,0,0,0,0,1,0,0
299.092465654528,0,0,0,0,1,0,0,0,0,0
300.072452790186,0,1,0,0,0,0,0,0,0,0
301.035341309197,1,1,1,1,1,0,1,1,0,1
301.071730761426,1,1,1,1,0,1,1,1,0,0
301.084785218452,0,1,0,1,0,0,0,0,0,0
301.157568702067,0,0,0,0,0,0,1,1,0,0
303.014615944586,0,1,1,1,0,1,1,1,0,0
303.051014761484,1,1,0,1,1,1,1,1,1,1
303.087420249974,1,1,0,1,0,1,0,1,1,0
303.173192746032,1,1,1,1,1,0,0,1,1,0
303.217659936381,1,0,0,1,1,1,1,1,1,1
304.00254759048,1,1,0,1,0,0,1,0,1,0
304.134433325475,1,0,0,0,0,0,0,0,0,0
305.030274203965,1,1,1,1,1,1,1,1,1,1
305.066654821895,1,1,1,1,1,1,1,1,1,1
305.070009125444,0,0,1,0,0,0,0,0,0,0
305.077841070476,0,0,0,0,0,0,1,0,1,0
305.103064603926,1,1,0,1,0,0,1,1,0,0
305.139456921456,1,1,0,0,0,0,0,0,0,0
305.165227154888,0,0,0,0,0,1,0,0,0,0
307.009519970076,1,1,1,1,1,1,1,1,1,1
307.026168289049,0,1,0,1,0,1,1,1,1,1
307.045927506599,1,1,1,1,1,1,1,1,1,1
308.077605234938,1,1,0,0,0,0,1,0,0,0
309.02518522443,1,1,1,1,1,1,1,1,1,1
311.040842997254,1,1,1,1,1,1,1,1,1,1
311.092459254113,0,0,0,0,0,0,0,0,1,0
311.13223291676,0,0,0,0,0,0,0,0,1,1
312.130021952221,0,0,0,1,0,0,0,0,0,0
313.020089602638,1,0,0,1,1,1,0,1,0,0
313.035411054317,1,1,0,1,0,1,0,1,0,1
313.056500859105,1,1,1,1,1,1,1,1,1,1
313.071784263219,0,0,0,0,0,0,1,1,0,0
313.078509429947,0,0,0,0,0,1,0,0,0,1
313.147853219841,0,0,0,0,0,0,0,0,0,1
315.014674019742,0,0,0,0,0,0,1,1,0,0
315.035765556434,1,1,0,1,1,1,1,1,0,1
315.051086379127,1,1,0,0,1,1,1,1,0,0
315.087459716489,0,0,0,1,0,0,0,0,0,0
315.196537048815,0,0,1,0,0,0,0,0,0,0
316.151388768487,0,0,0,0,0,0,1,0,1,1
317.030261218142,1,1,1,1,1,1,1,1,1,1
317.051456086289,1,1,0,1,1,1,1,1,0,0
317.066687796083,1,1,0,1,1,1,1,1,1,1
317.076333761869,0,0,1,0,0,0,0,0,0,0
317.103096216893,1,0,0,1,1,0,0,1,0,0
318.080100943147,0,0,0,0,0,0,1,0,0,0
318.22859727698,0,0,0,0,1,1,0,0,0,0
319.009596531152,0,1,1,1,1,0,0,1,0,0
319.045941232075,1,1,1,1,1,1,1,1,1,1
319.082295876229,1,1,1,1,1,1,1,1,0,0
319.085647606549,0,0,1,0,0,0,0,0,0,0
319.118690232607,1,1,0,1,0,1,0,1,1,0
320.041198944159,0,0,0,0,0,0,0,1,0,0
320.07753794792,0,0,0,0,0,0,0,1,0,0
321.010825107841,0,0,0,0,1,0,0,0,0,0
321.025154726554,1,1,1,1,1,1,1,1,1,1
321.061551978378,1,1,1,1,1,1,1,1,1,1
321.097982635803,1,1,0,1,1,1,1,1,1,1
322.187167160996,1,0,0,1,1,1,0,1,1,1
323.004428911665,1,0,1,1,0,0,0,1,0,0
323.040869446973,1,1,1,1,1,1,1,1,1,1
323.134729600681,0,0,1,1,0,0,0,0,1,1
323.141898846552,0,0,0,0,0,0,0,0,0,1
323.16866461507,0,1,1,0,0,0,0,0,1,1
324.072481239561,0,1,0,0,0,0,1,1,0,0
325.020080061909,1,1,1,1,1,1,1,1,0,1
325.056517335562,1,1,1,1,1,1,1,1,1,1
325.071724012524,0,0,0,1,0,0,0,0,0,0
325.147929172056,0,0,1,0,0,0,0,0,0,1
326.051772671994,0,0,0,1,0,0,0,1,0,0
327.014689708301,1,0,0,0,0,1,0,1,0,0
327.035717224585,1,1,1,1,1,1,1,1,1,1
327.051027975317,0,0,0,1,0,1,1,1,0,0
327.087345024074,0,0,0,0,0,0,0,1,0,0
327.090745961451,0,0,0,0,0,0,0,0,0,1
327.127116379932,0,0,1,0,0,0,0,0,0,0
328.224197142005,0,0,0,0,1,0,0,0,0,0
329.030222012527,1,1,0,1,1,1,1,1,1,0
329.051455290203,1,1,1,1,1,1,1,1,1,1
329.066687502906,1,0,0,1,0,1,1,1,0,1
329.079723149283,1,1,0,0,1,1,0,1,1,1
329.123272903103,1,0,0,0,0,0,0,0,0,0
329.139390121741,0,1,1,1,1,1,0,0,0,0
329.24862576893,1,0,1,1,1,0,0,0,0,1
330.167007082931,1,0,0,0,0,1,0,0,1,1
330.922483564988,0,0,1,0,0,0,0,0,0,0
331.009541385231,0,1,0,1,1,0,0,1,0,0
331.030703384729,0,0,0,0,0,0,0,1,0,0
331.04599443956,1,1,1,1,1,1,1,1,1,1
331.082339553397,1,1,1,1,1,1,1,1,1,0
331.11864424628,1,0,0,0,0,0,0,1,0,0
331.19150873051,0,0,1,0,0,0,0,0,0,0
333.025203537804,1,1,1,1,1,1,1,1,1,1
333.061621279429,1,1,1,1,1,1,1,1,1,1
333.104194363749,0,0,0,0,1,0,0,0,0,0
333.13431589464,1,1,0,1,0,1,1,0,1,1
334.09264614642,0,0,0,1,0,0,0,0,0,0
335.00305254878,0,0,0,0,0,0,0,1,0,1
335.004429898644,1,0,0,0,1,0,0,1,0,0
335.039452128724,0,0,0,0,0,1,0,0,0,1
335.040827177713,1,1,1,1,1,1,1,1,1,1
335.077281643427,1,1,1,1,1,1,1,1,1,1
335.09852470687,0,0,0,1,0,0,0,0,0,0
336.028701162973,0,0,0,1,0,0,1,0,0,0
336.072516720963,0,0,0,0,0,0,0,1,0,0
336.953828220284,0,0,0,0,0,1,0,0,0,0
337.020135431421,1,1,1,1,1,1,1,1,1,1
337.056543872599,1,1,1,1,1,1,1,1,1,1
337.168655832585,0,0,0,0,0,0,0,0,1,0
338.051699341556,0,0,0,0,0,0,0,1,0,0
338.088107656659,0,0,0,1,1,0,0,0,0,0
339.015946950759,0,0,0,0,0,0,0,0,1,0
339.035826927654,1,1,1,1,1,1,1,1,1,1
339.25411484148,0,0,0,0,1,1,0,0,0,0
341.014976956191,1,0,0,0,0,0,0,1,0,0
341.015157092437,0,0,0,1,0,0,0,0,0,0
341.022870662328,0,0,0,0,1,0,0,0,0,0
341.030286778022,0,1,1,1,0,1,1,1,0,0
341.051432806298,1,1,1,1,1,1,1,1,1,1
341.066613639013,0,0,0,1,0,0,0,0,0,0
341.079710504834,0,1,0,0,0,0,0,0,0,0
341.116083556712,0,1,0,0,0,0,0,0,0,0
341.142820338194,1,0,1,0,0,0,0,0,0,0
342.167025057996,0,0,0,0,0,0,0,0,1,0
343.009524112467,1,1,0,0,1,0,1,1,0,0
343.030698713285,1,1,1,1,1,1,1,1,0,0
343.045930973354,1,1,0,1,1,1,1,1,0,1
343.058965226189,0,1,0,0,0,0,0,0,0,0
343.082325259695,0,1,0,1,1,0,1,1,1,0
343.116453535533,0,0,1,0,0,0,0,0,0,0
343.118642673311,1,0,0,0,0,0,1,1,0,0
