ID_scanned,Wet_weight_g_tube.without.cap,Date_time.x,true_wet_weight_g,Weight_dry_g,Date_time.y,true_dry_weight_g,percent_water_content_dry,percent_water_content_wet
ECA2_0009_04_SM,47.29,10/20/2020 14:00,40.632,15.56,10/23/20 10:15,8.902,356.436755785217,78.0911596771018
ECA2_0009_05_SM,46.17,10/20/2020 14:00,39.512,14.71,10/23/20 10:15,8.052,390.710382513661,79.6213808463252
ECA2_0009_06_SM,43.53,10/20/2020 14:00,36.872,13.84,10/23/20 10:15,7.182,413.394597605124,80.5218051638099
ECA2_0009_07_SM,43.22,10/20/2020 14:00,36.562,13.64,10/23/20 10:15,6.982,423.660842165569,80.903670477545
ECA2_0009_08_SM,43.24,10/20/2020 14:00,36.582,13.16,10/23/20 10:15,6.502,462.626884035681,82.2262314799628
ECA2_0009_09_SM,44.02,10/20/2020 14:00,37.362,13.91,10/23/20 10:15,7.252,415.195808052951,80.5899041807184
ECA2_0009_10_SM,47.85,10/20/2020 14:00,41.192,15.58,10/23/20 10:15,8.922,361.690203990137,78.3404544571762
ECA2_0010_01_SM,71.05,10/20/20 12:00 PM,64.392,60.05,10/23/20 10:15,53.392,20.6023374288283,17.0828674369487
ECA2_0010_02_SM,78.95,10/20/20 12:00 PM,72.292,63.17,10/23/20 10:15,56.512,27.9232729331823,21.8281414264372
ECA2_0010_03_SM,63.93,10/20/20 12:00 PM,57.272,51.61,10/23/20 10:15,44.952,27.4070119238299,21.5113842715463
ECA2_0010_04_SM,72.78,10/20/20 12:00 PM,66.122,56.07,10/23/20 10:15,49.412,33.817696106209,25.2714678926832
ECA2_0010_05_SM,63.57,10/20/20 12:00 PM,56.912,50.65,10/23/20 10:15,43.992,29.3689761774868,22.7017149283104
ECA2_0010_06_SM,77.32,10/20/20 12:00 PM,70.662,60.71,10/23/20 10:15,54.052,30.7296677273736,23.5062692819337
ECA2_0010_07_SM,58.59,10/20/20 12:00 PM,51.932,48.11,10/23/20 10:15,41.452,25.2822541735019,20.1802356928291
ECA2_0010_08_SM,65.18,10/20/20 12:00 PM,58.522,54.17,10/23/20 10:15,47.512,23.1730931133188,18.8134376815557
ECA2_0010_09_SM,81.99,10/20/20 12:00 PM,75.332,70.34,10/23/20 10:15,63.682,18.2940234289124,15.4648754845218
ECA2_0010_10_SM,77.6,10/20/20 12:00 PM,70.942,59.89,10/23/20 10:15,53.232,33.2694619777577,24.9640551436385
ECA2_0011_01_SM,55.56,10/28/20 10:00,48.902,43.15,NA,36.492,34.0074536884797,25.3772851826101
ECA2_0011_02_SM,68.28,10/28/20 10:00,61.622,50.3,NA,43.642,41.1988451491682,29.1778910129499
ECA2_0011_03_SM,43.41,10/28/20 10:00,36.752,32.25,NA,25.592,43.6073773054079,30.3656943839791
ECA2_0011_04_SM,40.69,10/28/20 10:00,34.032,30.87,NA,24.212,40.5584007929952,28.8551951104842
ECA2_0011_05_SM,57.39,10/28/20 10:00,50.732,42.79,10/30/20 14:30,36.132,40.4073951068305,28.7786801229993
ECA2_0011_06_SM,52.71,10/28/20 10:00,46.052,31.26,NA,24.602,87.1880334932119,46.5777816381482
ECA2_0011_07_SM,62.41,10/28/20 10:00,55.752,45.88,NA,39.222,42.1447147009331,29.6491605682307
ECA2_0011_08_SM,55.47,10/28/20 10:00,48.812,41.94,10/30/20 14:30,35.282,38.34816620373,27.7185937884127
ECA2_0011_09_SM,62.12,10/28/20 10:00,55.462,44.76,NA,38.102,45.561912760485,31.3007103963074
ECA2_0011_10_SM,64.82,10/28/20 10:00,58.162,50.13,10/30/20 14:30,43.472,33.7918660287081,25.2570406794814
ECA2_0013_01_SM,48.61,10/20/2020 14:00,41.952,39.64,10/23/20 10:15,32.982,27.1966527196653,21.3815789473684
ECA2_0013_02_SM,52.06,10/20/2020 14:00,45.402,46.53,10/23/20 10:15,39.872,13.8693820224719,12.1800801726796
ECA2_0013_03_SM,57.94,10/20/2020 14:00,51.282,41.09,10/23/20 10:15,34.432,48.9370353159851,32.8575328575329
ECA2_0013_04_SM,54.14,10/20/2020 14:00,47.482,36.92,10/23/20 10:15,30.262,56.903046725266,36.2663746261741
ECA2_0013_05_SM,46.97,10/20/2020 14:00,40.312,29.39,10/23/20 10:15,22.732,77.335914129861,43.6098432228617
ECA2_0013_06_SM,45.97,10/20/2020 14:00,39.312,35.29,10/23/20 10:15,28.632,37.300922045264,27.1672771672772
